Mcode,subclass,Code,Industry,AvgTotalAsset,RPA,weights
1752,63,1734,M1722,15.24633663,1,1
1784,64,1799,M1722,14.39176465,0,1
1799,64,1784,M1722,14.38436314,1,1
4188,65,4747,M1722,13.99109003,0,1
4747,65,4188,M1722,13.96687232,1,1
2425,66,3213,M2325,14.86441849,0,1
3213,66,2425,M2325,14.86472117,1,1
3005,67,6414,M2325,16.96774341,0,1
6414,67,3005,M2325,17.12050254,1,1
3211,68,6188,M2325,16.13448965,0,1
6188,68,3211,M2325,16.09057745,1,1
3483,69,5474,M2325,14.95700337,0,1
5474,69,3483,M2325,14.98032283,1,1
3652,70,3494,M2325,13.91502441,0,1
3494,70,3652,M2325,13.91102271,1,1
3706,71,2376,M2325,17.63876118,0,1
2376,71,3706,M2325,17.2904792,1,1
6277,72,6206,M2325,16.14329956,0,1
6206,72,6277,M2325,16.11551823,1,1
8234,73,6235,M2325,15.17561256,0,1
6235,73,8234,M2325,15.14910552,1,1
2515,74,2534,M2500,16.39322196,0,1
2534,74,2515,M2500,16.36167281,1,1
1718,75,1773,M1721,16.73725377,0,1
1773,75,1718,M1721,16.55410189,1,1
4721,76,4755,M1721,15.75639708,0,1
4755,76,4721,M1721,15.74735044,1,1
2464,77,3617,M2331,15.79093104,0,1
3617,77,2464,M2331,15.93157674,1,1
6613,78,6187,M2331,15.50794146,0,1
6187,78,6613,M2331,15.51285076,1,1
5903,79,5904,M3800,17.55827327,0,1
5904,79,5903,M3800,17.70468424,1,1
2607,80,2608,M2600,16.7411547,0,1
2608,80,2607,M2600,16.81831576,1,1
2609,81,2610,M2600,18.17430982,0,1
2610,81,2609,M2600,18.02251971,1,1
2618,82,2615,M2600,18.38184892,0,1
2615,82,2618,M2600,18.28996875,1,1
5609,83,2636,M2600,15.51154019,0,1
2636,83,5609,M2600,15.51557964,1,1
2337,84,8299,M2324,17.9816732,0,1
8299,84,2337,M2324,17.97990893,1,1
2340,85,4961,M2324,16.31940017,0,1
4961,85,2340,M2324,16.33212508,1,1
2454,86,2303,M2324,19.59868657,0,1
2303,86,2454,M2324,20.50538926,1,1
