代號,名稱,Year,Industry,Key,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,NI,Price,BVLAG,MV,BV,ADJEBEI,RD,ADV,CAPEX
1109,信大,2019,M1100,11092019,0,0,0,0,0,341958,8630122,1439626,14.12,7690087,0.627879367,1.122239839,0.210732076,0,0.023526652,0.064201354
1109,信大,2018,M1100,11092018,0,0,0,0,0,341958,7690087,1222069,14.32,6795076,0.72064515,1.131714642,0.204356213,0,0.024509954,0.071295744
1109,信大,2017,M1100,11092017,0,0,0,0,0,359956,6795076,708939,11.67,6328821,0.663739189,1.0736717,0.135708847,0,0.0236913,0.074533788
1110,東泥,2022,M1100,11102022,0,0,0,0,0,572001,8726668,41631,19.15,8710709,1.257511777,1.001832113,0.008023342,0,0.003244053,0.033987819
1110,東泥,2021,M1100,11102021,0,0,0,0,0,572001,8710709,115778,19.48,8548719,1.303420955,1.018949038,0.017645568,0,0.004102252,0.11792995
1110,東泥,2020,M1100,11102020,0,0,0,0,0,572001,8548719,12863,15.27,8570984,1.019072637,0.997402282,0.003259369,0,0.001758608,0.012289837
1110,東泥,2019,M1100,11102019,0,0,0,0,0,572001,8570984,10103,15.96,8512138,1.072484487,1.006913187,0.003083009,0,0.001896116,0.010237381
1110,東泥,2018,M1100,11102018,0,0,0,0,0,572001,8512138,58718,16.25,8579809,1.083359344,0.992112761,0.009288785,0,0.002445043,0.002502037
1110,東泥,2017,M1100,11102017,0,0,0,0,0,572001,8579809,-108408,13.69,8640850,0.906241133,0.992935764,-0.009526493,0,0.003019495,0.004074136
1201,味全,2022,M1200,12012022,0,0,0,0,0,506063,7232656,455999,20.05,7052053,1.438809826,1.025609989,0.676941594,0.029826492,0.582453223,0.264117272
1201,味全,2021,M1200,12012021,0,0,0,0,0,506063,7052053,576643,19.46,6855788,1.43644844,1.028627636,0.703454074,0.032904897,0.586438787,0.280275149
1201,味全,2020,M1200,12012020,0,0,0,0,0,506063,6855788,678202,20.1,6943795,1.464885743,0.987325807,0.68171569,0.033005007,0.551040461,0.244035718
1201,味全,2019,M1200,12012019,0,0,0,0,0,506063,6943795,176864,20.31,6200442,1.657646266,1.119887098,0.776620118,0.037980518,0.710115182,0.349919732
1201,味全,2018,M1200,12012018,0,0,0,0,0,506063,6200442,104659,28.21,7807916,1.828405586,0.794122529,0.606010362,0.031499186,0.561106959,0.277886186
1201,味全,2017,M1200,12012017,0,0,0,0,0,506063,7807916,444045,20.73,7089386,1.479773564,1.101352924,0.678925086,0.034621052,0.58166885,0.250400246
1203,味王,2022,M1200,12032022,0,0,0,0,0,240000,6575579,779655,44.64,6251420,1.713786628,1.051853659,0.2317771,0.001268992,0.105791644,0.061067725
1203,味王,2021,M1200,12032021,0,0,0,0,0,240000,6251420,699389,31.63,6312382,1.202588817,0.990342473,0.222432198,0.001547593,0.110088236,0.038471373
1203,味王,2020,M1200,12032020,0,0,0,0,0,240000,6312382,692673,31.46,6215574,1.214755065,1.01557507,0.230503731,0.001366245,0.117695968,0.037192703
1203,味王,2019,M1200,12032019,0,0,0,0,0,240000,6215574,711057,25.99,5879648,1.060879835,1.057133692,0.242612313,0.001506723,0.120170289,0.046181506
1203,味王,2018,M1200,12032018,0,0,0,0,0,240000,5879648,697733,22.52,5609073,0.963581683,1.048238809,0.24658834,0.001830427,0.120364274,0.081599402
1203,味王,2017,M1200,12032017,0,0,0,0,0,240000,5609073,743410,20.78,5282872,0.944031958,1.061746906,0.263795337,0.001485745,0.121588787,0.052591848
1210,大成,2022,M1200,12102022,0,0,0,0,0,894767,28896226,1147885,51.78,27739609,1.670212268,1.041695505,0.248939342,0.005479061,0.202079561,0.215645217
1210,大成,2021,M1200,12102021,0,0,0,0,0,852159,27739609,2306606,43.99,27886752,1.34423953,0.994723552,0.290206905,0.004958986,0.202534594,0.181597663
