Code,Key,Industry,YICounts,Year,Equity,Asset,PPE,NI_Ctd,NI_Ctd_1,NI,NI_1,EBITDA,EBITDA_1,OCF,S,AR,Asset_1,S_1,AR_1,S_2,EXP,PROD
1323,13232022,M1300,25,2022,2908378,5617303,2372023,291110,342977,290717,342891,657812,738666,704270,3752381,750035,5728613,3797590,935871,3406532,491078,2871094
1324,13242022,M1300,25,2022,953592,1176409,340111,4803,635,4210,409,52798,50405,81157,983017,178233,1245313,1076840,220357,1055758,152883,773391
1325,13252022,M1300,25,2022,2879008,3005348,1168563,13526,277492,6116,277742,82148,452901,77926,553968,69704,3217382,1191043,95139,4056858,48696,464291
1326,13262022,M1300,25,2022,373356464,555538628,142848941,9203861,42707431,9131703,42793814,29851437,69200760,32732255,379896563,30059576,598345271,365812098,37105260,253294668,18028435,368391117
1336,13362022,M2328,205,2022,1723535,2773483,918561,157807,77058,166233,70185,405326,270537,286548,2669152,556021,2266610,2085430,397663,1906581,223539,2208791
1337,13372022,M1300,25,2022,4893473,5067362,1257414,-476892,-460921,-434899,-506293,-311663,-246640,-329885,643603,125766,5507928,1107098,106013,1008157,240747,869140
1338,13382022,M2200,34,2022,6742011,11087758,3946954,130693,350689,77252,268368,927674,1098836,1008044,7344840,2305681,11708434,7314879,2589776,6166478,1285503,5541397
1339,13392022,M2200,34,2022,3815549,5537470,2974815,400993,127699,357920,75967,929628,536210,747592,2020758,561362,5051865,1918100,497048,2120901,350460,1476798
1340,13402022,M1300,25,2022,4648537,4789329,706867,-429878,-512492,-393619,-485186,-344833,-465394,-362577,499230,109679,5153271,650629,147448,656406,176066,756118
1402,14022022,M1400,51,2022,271672077,657757910,172053588,13341150,14844485,14270748,13895357,48214572,48069821,38510852,263944525,29095332,635327585,238806217,29336993,206769281,36254642,218904139
1409,14092022,M1400,51,2022,46077875,181731074,20374003,3620488,4775832,3564214,4900083,6931409,7879920,2474581,44280469,16591123,196031587,43407024,19677866,31259082,4645797,35821370
1410,14102022,M1400,51,2022,1152691,1376124,211752,55980,87482,60273,87021,94706,136205,112533,395971,32375,1422922,477354,72173,416256,87042,256510
1413,14132022,M1400,51,2022,1227959,2665203,1125962,99041,106311,99136,103145,182976,193796,95303,3145933,136405,2833785,2965326,134880,1558963,110244,2897846
1414,14142022,M1400,51,2022,3103396,4462226,1542513,104362,142503,114459,141631,187245,226962,138641,688943,25780,4601845,809714,46877,702471,84940,516612
1416,14162022,M9900,90,2022,3677089,4493601,35768,96256,72705,94778,-248651,146511,120838,167599,249391,21637,3875923,236931,47252,20370,114652,182848
1417,14172022,M1400,51,2022,2704667,4498294,846260,-48476,89005,-6676,87911,57047,161632,-136165,1511442,358205,3984631,1322446,343188,1035869,600713,1154991
1418,14182022,M1400,51,2022,1229531,3886513,637176,21810,-168560,-115861,-296855,68325,-111260,-111883,20754,0,3555900,39297,0,100142,75541,19469
1419,14192022,M1400,51,2022,11742942,16698647,630474,2070986,450883,510048,443769,2447393,641812,282238,3349289,349067,16135125,2748914,429761,2149213,618188,2710809
