公司代號,公司名稱,報告書內容涵蓋期間,中文版上傳日期,產業類別,Year,Key,BVE,LNAT,NIS,Industry,Price,RPA,LN_RPA_Count,RPA_Count,KY,Price9m,Price6m,Price12m,Finance
2457,飛宏,107/01/01~107/12/31,108/08/22,,2018,24572018,15.08,16,-1.17,M2328,10.16,0,0,0,0,8.27,9.05,9.92,0
2458,義隆,107/01/01~107/12/31,108/12/13,,2018,24582018,21.66,16,4.8,M2324,61.86,0,0,0,0,63.92,50.88,68.02,0
2474,可成,107/01/01~107/12/31,108/06/28,,2018,24742018,196.43,19,36.21,M2331,173.73,0,0,0,0,181.53,163.1,175.35,0
2484,希華,107/01/01~107/12/31,108/10/05,,2018,24842018,19.29,15,1.62,M2328,15.61,0,0,0,0,16.78,15.38,17.83,0
2489,瑞軒,107/01/01~107/12/31,108/06/28,,2018,24892018,15.07,17,0.16,M2326,10.88,0,0,0,0,10.65,10.14,9.82,0
2492,華新科,107/01/01~107/12/31,108/06/26,,2018,24922018,76.81,18,42.52,M2328,157.13,0,0,0,0,152.11,128.84,208.34,0
2498,宏達電,107/01/01~107/12/31,108/06/13,,2018,24982018,55.23,18,-22.33,M2327,39.51,0,0,0,0,35.5,36.14,38.45,0
2501,國建,107/01/01~107/12/31,108/08/12,,2018,25012018,21.85,18,1.82,M2500,18.8,0,0,0,0,17.29,21.6,17.67,0
2504,國產,107/01/01~107/12/31,108/07/01,,2018,25042018,14.86,17,0.35,M2500,7.28,0,0,0,0,7.94,7.25,12.61,0
2505,國揚,107/01/01~107/12/31,108/06/28,,2018,25052018,12.09,17,-0.07,M2500,15.36,0,0,0,0,18.04,15.87,22.06,0
2511,太子,107/01/01~107/12/31,108/09/23,,2018,25112018,14.89,18,0.72,M2500,9.27,0,0,0,0,9.3,9.39,9.51,0
2514,龍邦,107/01/01~107/12/31,108/06/28,,2018,25142018,18.33,16,0.06,M9900,16.8,0,0,0,0,17.36,17.34,15.4,0
2515,中工,107/01/01~107/12/31,108/06/13,,2018,25152018,13.06,17,0.27,M2500,6.66,0,0,0,0,6.42,6.43,6.6,0
2520,冠德,107/01/01~107/12/31,108/06/25,,2018,25202018,26.93,18,2.38,M2500,13.7,0,0,0,0,19.41,19.15,22.56,0
2534,宏盛,107/01/01~107/12/31,108/06/26,,2018,25342018,19.07,17,4.06,M2500,30.52,0,0,0,0,20.45,21.37,23.35,0
2535,達欣工,107/01/01~107/12/31,108/08/05,,2018,25352018,23.91,17,2.58,M2500,17.72,0,0,0,0,18,17.93,18.66,0
2542,興富發,107/01/01~107/12/31,108/06/21,,2018,25422018,34.37,19,7.38,M2500,28.79,0,0,0,0,28.28,28.03,28.84,0
2547,日勝生,107/01/01~107/12/31,108/09/20,,2018,25472018,14.07,18,4.05,M2500,11.91,0,0,0,0,10.22,10.91,10.14,0
2601,益航,107/01/01~107/12/31,108/06/28,,2018,26012018,20.73,17,0.98,M2900,10.64,0,0,0,0,10.86,10.47,9.76,0
2603,長榮,107/01/01~107/12/31,108/09/25,,2018,26032018,15.73,19,0.01,M2600,12.29,0,0,0,0,13.36,12.8,12.87,0
2605,新興,107/01/01~107/12/31,108/06/28,,2018,26052018,30.8,17,0.15,M2600,13.51,0,0,0,0,14.39,13.85,15.11,0
2606,裕民,107/01/01~107/12/31,108/06/12,,2018,26062018,30.32,18,1.8,M2600,23.76,0,0,0,0,27.08,25.6,27.12,0
2607,榮運,107/01/01~107/12/31,108/06/28,,2018,26072018,21.11,17,0.83,M2600,11.98,0,0,0,0,12.51,12.69,13.1,0
2609,陽明,107/01/01~107/12/31,108/06/26,,2018,26092018,8.74,19,-2.68,M2600,4.9,0,0,0,0,4.42,4.62,4.09,0
2610,華航,107/01/01~107/12/31,108/06/28,,2018,26102018,11.08,19,0.48,M2600,9.14,0,0,0,0,8.6,9.12,8.58,0
2614,東森,107/01/01~107/12/31,108/10/01,,2018,26142018,14.75,17,-1.3,M2900,18.48,0,0,0,0,15.99,17.06,17.21,0
2615,萬海,107/01/01~107/12/31,108/06/27,,2018,26152018,15.7,18,0.24,M2600,9.92,0,0,0,0,11.65,11.19,11.81,0
2618,長榮航,107/01/01~107/12/31,108/06/28,,2018,26182018,14.96,19,1.39,M2600,13.29,0,0,0,0,12.83,13.16,12.92,0
2633,台灣高鐵,107/01/01~107/12/31,108/06/28,,2018,26332018,12.33,20,1.9,M2600,31.16,0,0,0,0,31.36,39.56,34.12,0
2634,漢翔,107/01/01~107/12/31,108/06/21,,2018,26342018,15.01,17,2.22,M2600,28.93,0,0,0,0,29.87,30.08,33.25,0
2636,台驊投控,107/01/07~107/12/31,108/06/27,,2018,26362018,22.38,16,3.12,M2600,16.78,0,0,0,0,16.14,16.31,16.58,0
2637,慧洋-KY,107/01/01~107/12/31,108/06/25,,2018,26372018,44.63,18,2.87,M2600,22.11,0,0,0,1,22.98,22.59,22.63,0
2704,國賓,107/01/01~107/12/31,108/10/01,,2018,27042018,27.24,16,1.06,M2700,21.48,0,0,0,0,21.39,21.53,29.37,0
2707,晶華,107/01/01~107/12/31,108/09/25,,2018,27072018,34.03,16,7.38,M2700,122.1,0,0,0,0,134.31,145.59,142.81,0
2712,遠雄來,107/01/01~107/12/31,108/12/31,,2018,27122018,11.42,14,-0.3,M2700,41.96,0,0,0,0,57.29,42.8,52.88,0
2722,夏都,107/01/01~107/12/31,108/01/10,,2018,27222018,16.54,15,0.02,M2700,24.67,0,0,0,0,23.68,23.05,22.77,0
2723,美食-KY,107/01/01~107/12/31,108/09/25,,2018,27232018,58.21,17,9.83,M2700,176.63,0,0,0,1,126.81,149.49,109.52,0
2727,王品,107/01/01~107/12/31,108/08/15,,2018,27272018,58,16,6.41,M2700,72.16,0,0,0,0,63.27,64.33,65.15,0
2739,寒舍,107/01/01~107/12/31,108/08/28,,2018,27392018,16.7,15,1.04,M2700,33.17,0,0,0,0,29.08,33.54,29.55,0
2748,雲品,107/01/01~107/12/31,108/10/01,,2018,27482018,19.38,15,3.27,M2700,48.07,0,0,0,0,45.3,47.03,39.37,0
