公司代號,公司名稱,報告書內容涵蓋期間,中文版上傳日期,產業類別
2729,瓦城,110/01/01~110/12/31,111/09/30,觀光餐旅
2740,天蔥,110/01/01~110/12/31,111/09/29,觀光餐旅
2752,豆府,110/01/01~110/12/31,111/09/30,觀光餐旅
2754,亞洲藏壽司,110/01/01~110/12/31,111/06/24,觀光餐旅
2755,揚秦,110/01/01~110/12/31,111/09/26,觀光餐旅
3081,聯亞,110/01/01~110/12/31,111/06/30,通信網路業
3083,網龍,110/01/01~110/12/31,111/09/27,文化創意業
3086,華義,110/01/01~110/12/31,111/09/28,文化創意業
3088,艾訊,110/01/01~110/12/31,111/06/29,電腦及週邊設備業
3093,港建*,110/01/01~110/12/31,111/09/29,其他電子業
3105,穩懋,110/01/01~110/12/31,111/06/28,半導體業
3131,弘塑,110/01/01~110/12/31,111/11/01,其他電子業
3152,璟德,110/01/01~110/12/31,111/05/12,通信網路業
3205,佰研,110/01/01~110/12/31,111/09/29,生技醫療業
3206,志豐,110/01/01~110/12/31,111/09/30,電子零組件業
3211,順達,110/01/01~110/12/31,111/09/30,電腦及週邊設備業
3218,大學光,110/01/01~110/12/31,111/09/28,生技醫療業
3224,三顧,110/01/01~110/12/31,111/06/30,電子通路業
3227,原相,110/01/01~110/12/31,111/09/07,半導體業
3236,千如,110/01/01~110/12/31,111/09/26,電子零組件業
3264,欣銓,110/01/01~110/12/31,111/08/01,半導體業
3272,東碩,110/01/01~110/12/31,111/08/04,電腦及週邊設備業
3293,鈊象,110/01/01~110/12/31,111/09/13,文化創意業
3294,英濟,110/01/01~110/12/31,111/09/21,電子零組件業
3303,岱稜,110/01/01~110/12/31,111/09/30,其他電子業
3324,雙鴻,110/01/01~110/12/31,111/06/30,其他電子業
3357,臺慶科,110/01/01~110/12/31,111/09/30,電子零組件業
3374,精材,110/01/01~110/12/31,111/06/30,半導體業
3388,崇越電,110/01/01~110/12/31,111/09/22,電子零組件業
3489,森寶,110/01/01~110/12/31,111/04/29,建材營造
3522,御頂,110/01/01~110/12/31,111/09/30,觀光餐旅
3529,力旺,110/01/01~110/12/31,111/09/30,半導體業
3546,宇峻,110/01/01~110/12/31,111/10/14,文化創意業
3558,神準,110/01/01~110/12/31,111/11/30,通信網路業
3587,閎康,110/01/01~110/12/31,111/06/30,其他電子業
3594,磐儀,110/01/01~110/12/31,111/06/30,電腦及週邊設備業
3623,富晶通,110/01/01~110/12/31,111/09/30,光電業
3624,光頡,110/01/01~110/12/31,111/06/28,電子零組件業
3628,盈正,110/01/01~110/12/31,111/09/01,其他電子業
3629,地心引力,110/01/01~110/12/31,111/09/22,文化創意業
3663,鑫科,110/01/01~110/12/31,111/06/28,其他電子業
3675,德微,110/01/01~110/12/31,111/10/14,半導體業
3680,家登,110/01/01~110/12/31,111/08/29,半導體業
4105,東洋,110/01/01~110/12/31,111/07/04,生技醫療業
4114,健喬,110/01/01~110/12/31,111/09/30,生技醫療業
4121,優盛,110/01/01~110/12/31,111/06/28,生技醫療業
4123,晟德,110/01/01~110/12/31,111/09/30,生技醫療業
4126,太醫,110/01/01~110/12/31,111/08/10,生技醫療業
4128,中天,110/01/01~110/12/31,111/09/28,生技醫療業
4129,聯合,110/01/01~110/12/31,111/09/20,生技醫療業
4153,鈺緯,110/01/01~110/12/31,111/06/30,生技醫療業
4157,太景*-KY,110/01/01~110/12/31,111/12/16,生技醫療業
4162,智擎,110/01/01~110/12/31,111/09/29,生技醫療業
4174,浩鼎,110/01/01~110/12/31,111/06/29,生技醫療業
4205,中華食,110/01/01~110/12/31,111/09/15,食品工業
4207,環泰,110/01/01~110/12/31,111/09/23,食品工業
4419,元勝,110/01/01~110/12/31,111/09/29,紡織纖維
4506,崇友,110/01/01~110/12/31,111/09/30,電機機械
4530,宏易,110/01/01~110/12/31,111/09/30,觀光餐旅
4535,至興,110/01/01~110/12/31,111/08/30,電機機械
4543,萬在,110/01/01~110/12/31,111/09/28,電機機械
4549,桓達,110/01/01~110/12/31,111/09/30,電機機械
4702,中美實,110/01/01~110/12/31,111/09/29,居家生活
4706,大恭,110/01/01~110/12/31,111/08/19,化學工業
4707,磐亞,110/01/01~110/12/31,111/09/28,化學工業
4711,永純,110/01/01~110/12/31,111/09/26,化學工業
4712,福格創新,110/01/01~110/12/31,111/09/30,食品工業
4714,永捷,110/01/01~110/12/31,111/08/29,化學工業
4716,大立,110/01/01~110/12/31,111/09/30,化學工業
4721,美琪瑪,110/01/01~110/12/31,111/06/30,化學工業
4741,泓瀚,110/01/01~110/12/31,111/09/13,化學工業
4743,合一,110/01/01~110/12/31,111/06/29,生技醫療業
4754,國碳科,110/01/01~110/12/31,111/09/07,化學工業
4767,誠泰科技,110/01/01~110/12/31,111/09/22,化學工業
4931,新盛力,110/01/01~110/12/31,111/09/23,電腦及週邊設備業
4953,緯軟,110/01/01~110/12/31,111/06/28,資訊服務業
4966,譜瑞-KY,110/01/01~110/12/31,111/05/27,半導體業
4979,華星光,110/01/01~110/12/31,111/09/26,通信網路業
4995,晶達,110/01/01~110/12/31,111/08/03,光電業
5009,榮剛,110/01/01~110/12/31,111/06/30,鋼鐵工業
5013,強新,110/01/01~110/12/31,111/11/03,鋼鐵工業
5209,新鼎,110/01/01~110/12/31,111/08/24,其他
5227,立凱-KY,110/01/01~110/12/31,111/06/30,電子零組件業
5263,智崴,110/01/01~110/12/31,111/09/13,文化創意業
5274,信驊,110/01/01~110/12/31,111/09/29,半導體業
5289,宜鼎,110/01/01~110/12/31,111/07/27,電腦及週邊設備業
5299,杰力,110/01/01~110/12/31,111/09/28,半導體業
5301,寶得利,110/01/01~110/12/31,111/09/29,觀光餐旅
5309,系統電,110/01/01~110/12/31,111/09/28,電子零組件業
5347,世界,110/01/01~110/12/31,111/06/29,半導體業
5356,協益,110/01/01~110/12/31,111/09/27,電腦及週邊設備業
5364,力麗店,110/01/01~110/12/31,111/09/30,觀光餐旅
5371,中光電,110/01/01~110/12/31,111/06/30,光電業
5426,振發,110/01/01~110/12/31,111/06/27,電腦及週邊設備業
5457,宣德,110/01/01~110/12/31,111/09/20,電子零組件業
5478,智冠,110/01/01~110/12/31,111/09/30,文化創意業
5483,中美晶,110/01/01~110/12/31,111/06/27,半導體業
5511,德昌,110/01/01~110/12/31,111/09/26,建材營造
5512,力麒,110/01/01~110/12/31,111/06/23,建材營造
5530,龍巖,110/01/01~110/12/31,111/07/29,其他
5536,聖暉*,110/01/01~110/12/31,111/07/05,其他電子業
