代號,名稱,Key,RPA_Count,FY,,上傳日期,Page
3025,星通,30252020,1,109,2020,0110/06/11,102
3029,零壹,30292018,1,107,2018,0108/05/21,55
3044,健鼎,30442018,2,107,2018,0108/06/06,"4, 34"
3045,台灣大,30452021,1,110,2021,0111/06/02,104
3147,大綜,31472021,1,110,2021,0111/05/23,86
3147,大綜,31472022,2,111,2022,0112/05/10,"6, 79"
3147,大綜,31472020,2,109,2020,0110/05/18,"65, 75"
3163,波若威,31632022,1,111,2022,0112/05/30,71
3211,順達,32112022,1,111,2022,0112/05/18,35
3297,杭特,32972020,1,109,2020,0110/04/29,13
3406,玉晶光,34062019,1,108,2019,0109/05/25,41
3434,哲固,34342021,1,110,2021,0111/05/27,52
3465,進泰電子,34652020,1,109,2020,0110/05/25,9
3465,進泰電子,34652018,1,107,2018,0108/05/29,8
3465,進泰電子,34652019,1,108,2019,0109/05/14,8
3465,進泰電子,34652017,1,106,2017,0107/05/22,9
3465,進泰電子,34652021,1,110,2021,0111/06/01,9
3465,進泰電子,34652022,1,111,2022,0112/05/25,9
3481,群創,34812022,1,111,2022,0112/05/12,11
3483,力致,34832022,1,111,2022,0112/05/12,32
3483,力致,34832021,1,110,2021,0111/06/02,35
3529,力旺,35292021,1,110,2021,0111/05/24,10
3529,力旺,35292022,1,111,2022,0112/05/17,10
3535,晶彩科,35352019,1,108,2019,0109/05/25,67
3545,敦泰,35452022,1,111,2022,0112/05/11,36
3552,同致,35522017,2,106,2017,0107/06/19,"46, 51"
3552,同致,35522018,1,107,2018,0108/06/12,52
3552,同致,35522019,1,108,2019,0109/06/22,54
3552,同致,35522020,1,109,2020,0110/06/10,56
3552,同致,35522021,1,110,2021,0111/06/17,57
3552,同致,35522022,1,111,2022,0112/06/09,58
3563,牧德,35632022,2,111,2022,0112/05/05,"36, 37"
3645,達邁,36452020,1,109,2020,0110/06/08,48
3652,精聯,36522021,6,110,2021,0111/05/16,"42, 43"
3652,精聯電子股份有限公司,36522021,6,110,2021,111/05/16,"42, 43"
3687,歐買尬,36872019,1,108,2019,0109/05/29,101
3702,大聯大,37022021,1,110,2021,0111/05/06,100
3706,神達,37062018,1,107,2018,0108/05/14,5
3706,神達,37062020,1,109,2020,0110/05/10,6
3708,上緯投控,37082022,1,111,2022,0112/05/08,34
4188,安克,41882020,1,109,2020,0110/05/04,55
4433,興采,44332021,1,110,2021,111/05/11,37
4534,慶騰,45342022,1,111,2022,0112/05/10,60
4536,拓凱,45362020,2,109,2020,0110/05/14,"71, 72"
4721,美琪瑪,47212020,1,109,2020,0110/06/09,16
4971,IET-KY,49712018,1,107,2018,0108/06/06,12
4971,IET-KY,49712019,1,108,2019,0109/05/26,12
4971,IET-KY,49712021,1,110,2021,111/06/08,13
4971,IET-KY,49712022,1,111,2022,0112/05/31,14
4979,華星光,49792022,1,111,2022,0112/06/01,12
5202,力新,52022019,4,108,2019,0109/05/29,"91, 93, 96"
5202,力新,52022020,4,109,2020,0110/06/11,"20, 91, 94"
5202,力新,52022021,4,110,2021,111/06/02,"20, 115, 118"
5202,力新,52022022,4,111,2022,0112/06/02,"6, 14, 101, 103"
5202,力新,52022018,6,107,2018,0108/05/28,"8, 95, 98, 100"
5278,尚凡,52782021,1,110,2021,111/05/30,36
5288,豐祥-KY,52882022,1,111,2022,0112/05/12,75
5328,華容,53282022,1,111,2022,0112/05/19,73
5347,世界,53472020,1,109,2020,0110/05/17,7
5347,世界,53472021,1,110,2021,111/05/13,7
5371,中光電,53712022,1,111,2022,0112/05/26,37
5609,中菲行,56092019,1,108,2019,0109/05/22,77
5609,中菲行,56092022,7,111,2022,0112/05/19,"5, 7, 8, 85, 90"
5609,中菲行,56092020,2,109,2020,0110/05/24,"61, 80"
5609,中菲行,56092021,3,110,2021,111/05/20,"7, 8, 80"
5703,亞都,57032021,1,110,2021,111/06/08,47
5876,上海商銀,58762022,2,111,2022,0112/05/22,"107, 110"
5876,上海商銀,58762021,5,110,2021,111/05/17,"6, 36, 90, 93, 95"
5880,合庫金,58802019,2,108,2019,0109/05/29,77
5880,合庫金,58802021,1,110,2021,111/05/27,82
5880,合庫金,58802022,1,111,2022,0112/05/24,82
5880,合庫金,58802020,3,109,2020,0110/06/07,"7, 79"
5903,全家,59032019,1,108,2019,0109/05/29,45
5903,全家,59032020,1,109,2020,0110/05/26,48
6015,宏遠證,60152022,2,111,2022,0112/05/12,"115, 116"
6015,宏遠證,60152021,2,110,2021,111/05/05,"116, 117"
6015,宏遠證,60152019,2,108,2019,0109/05/22,"95, 96"
6015,宏遠證,60152020,2,109,2020,0110/04/27,"96, 97"
6023,元大期,60232020,5,109,2020,0110/05/11,154
6023,元大期,60232021,3,110,2021,111/05/05,165
6023,元大期,60232022,4,111,2022,0112/05/05,"7, 148"
6112,邁達特,61122018,4,107,2018,0108/05/08,60
6112,邁達特,61122022,2,111,2022,0112/05/05,"39, 54"
6173,信昌電,61732018,1,107,2018,0108/05/28,80
6173,信昌電,61732019,1,108,2019,0109/05/28,81
6183,關貿,61832022,9,111,2022,0112/05/26,"8, 9, 10, 85, 88, 89, 90"
6203,海韻電,62032020,1,109,2020,0110/05/28,32
6214,精誠,62142019,1,108,2019,0109/06/01,10
6214,精誠,62142020,1,109,2020,0110/05/10,11
6214,精誠,62142022,1,111,2022,0112/05/05,11
6214,精誠,62142021,1,110,2021,111/05/06,12
6216,居易,62162021,1,110,2021,111/06/08,37
6218,豪勉,62182019,1,108,2019,0109/06/01,59
6218,豪勉,62182021,4,110,2021,111/05/19,"66, 67"
6220,岳豐,62202018,4,107,2018,0108/06/04,56
6221,晉泰,62212018,1,107,2018,0108/06/04,77
6221,晉泰,62212019,1,108,2019,0109/05/26,83
6263,普萊德,62632020,2,109,2020,0110/05/21,"38, 116"
6277,宏正,62772021,1,110,2021,111/05/23,5
6446,藥華藥,64462022,1,111,2022,0112/05/05,70
6613,朋億,66132020,1,109,2020,0110/05/07,68
6689,伊雲谷,66892022,1,111,2022,0112/05/25,72
6689,伊雲谷,66892020,1,109,2020,0110/05/21,59
6689,伊雲谷,66892021,1,110,2021,111/06/14,70
6697,東捷資訊,66972018,2,107,2018,0108/06/16,6
6811,宏碁資訊,68112022,2,111,2022,0112/05/19,"75, 76"
6874,倍力,68742021,1,110,2021,111/05/30,58
6874,倍力,68742022,1,111,2022,0112/05/23,69
6916,華凌,69162022,5,111,2022,0112/05/08,"76, 78"
8028,昇陽半導體,80282022,1,111,2022,0112/05/05,42
8077,洛碁,80772020,2,109,2020,0110/05/04,"9, 63"
8077,洛碁,80772021,2,110,2021,111/05/31,"9, 63"
8077,洛碁,80772022,2,111,2022,0112/05/24,"8, 65"
8099,大世科,80992019,2,108,2019,0109/05/20,"87, 104"
8099,大世科,80992020,1,109,2020,0110/05/14,7
8099,大世科,80992022,5,111,2022,0112/05/23,"7, 11, 78"
8099,大世科,80992021,2,110,2021,111/05/18,"7, 78"
8103,瀚荃,81032022,3,111,2022,0112/06/01,"11, 96"
8103,瀚荃,81032021,3,110,2021,111/06/01,"11, 97"
8234,新漢,82342020,2,109,2020,0110/06/04,"5, 64"
8234,新漢,82342021,3,110,2021,111/06/10,"6, 77, 83"
8234,新漢,82342022,3,111,2022,0112/06/07,"6, 84, 89"
8411,福貞-KY,84112021,2,110,2021,111/06/02,"49, 103"
8916,光隆,89162021,3,110,2021,111/05/06,128
8916,光隆,89162022,6,111,2022,0112/05/05,"5, 126, 127"
9904,寶成,99042021,1,110,2021,111/05/27,8
9904,寶成,99042022,1,111,2022,0112/05/26,8
9933,中鼎,99332021,2,110,2021,111/05/04,"6, 109"
9933,中鼎,99332022,4,111,2022,0112/05/09,"7, 105, 107"
2890,永豐金,28902019,1,108,2019,109/04/20,71
6204,艾華,62042019,1,108,2019,0109/05/28,71
6669,緯穎,66692021,1,110,2021,111/05/12,6
3045,台灣大,30452018,1,107,2018,0108/05/28,33
