Key,Industry,Year,Trade,RPA,RPA_Ctd,Big4,GC,LGTA,BM,LEV,OCF,MTB,Age_Raw,Age_Trade_Raw,Age,Age_Trade,ESG,RD,ADV,DA,DA1,DA2,DA3,ROA,Median_ROA,ADJROA,ABCFO,ABPROD,ABEXP
11012017,M1100,2017,TSE,0,0,1,0,19.4233585,1.517370996,0.43994398,0.045166911,0.659034608,73,61,4.304065093,4.127134385,60.43,0.000329554,0.008051325,0.018475848,0.019106218,0.021618128,0.006915065,0.038663809,0.037403349,0.00126046,-0.005343422,0.062913433,-0.076349923
11012018,M1100,2018,TSE,0,0,1,0,19.65639962,1.318348227,0.42636445,0.064375699,0.758524933,73,61,4.304065093,4.127134385,60.89,0.000189944,0.007236356,0.02100569,0.023749289,0.016085411,0.030204561,0.083080115,0.049534019,0.033546096,0.025017789,0.029271667,-0.076754772
11012019,M1100,2019,TSE,0,0,1,0,19.72218594,1.211196502,0.432729634,0.07949374,0.825629861,73,61,4.304065093,4.127134385,63.97,0.00033187,0.008251255,0.007667849,0.006627829,-0.001182793,0.022974522,0.07397905,0.050569325,0.023409725,0.034874945,0.027673476,-0.079964972
11012020,M1100,2020,TSE,0,0,1,0,19.78039043,0.903399565,0.438186009,0.080304943,1.106929911,73,61,4.304065093,4.127134385,63.9,0.000253971,0.009673469,0.009759992,0.007897354,-0.00083802,0.023020318,0.076170707,0.053832946,0.022337761,0.03713664,0.019448488,-0.077782118
11012021,M1100,2021,TSE,0,0,1,0,19.90610652,1.065668841,0.489104456,0.042954569,0.938377816,73,61,4.304065093,4.127134385,63.26,0.003340313,0.006623827,0.021590065,0.019542914,0.017855216,0.012766542,0.05172625,0.046227812,0.005498438,0.001855002,0.04925071,-0.074397934
11012022,M1100,2022,TSE,0,0,1,0,19.94849411,0.887196783,0.482918519,0.013412293,1.127145656,73,61,4.304065093,4.127134385,61.79,0.00593193,0.007202477,0.012370928,0.01142198,0.022343135,-0.020384545,0.009411887,0.039731572,-0.030319685,-0.033242054,0.09840922,-0.069456638
11022017,M1100,2017,TSE,0,0,1,0,19.32515938,1.850388062,0.409885056,0.032943029,0.540427179,66,61,4.204692619,4.127134385,57.4,0,0,0.005574942,0.006039956,0.012011609,-0.003365578,0.027951185,0.037403349,-0.009452164,-0.014830798,0.083278516,-0.0779991
11022018,M1100,2018,TSE,0,0,1,0,19.44739594,1.384301949,0.430318111,0.038365073,0.722385749,66,61,4.204692619,4.127134385,63.13,0,0,0.025335648,0.026666692,0.024717119,0.018672457,0.06026445,0.049534019,0.01073043,-0.008232035,0.051690417,-0.079049142
11022019,M1100,2019,TSE,0,0,1,0,19.51018001,1.51243781,0.429999037,0.125377044,0.661184211,66,61,4.204692619,4.127134385,63.42,0,0,-0.046552663,-0.046984183,-0.054527978,0.004400313,0.079673744,0.050569325,0.029104419,0.0829782,0.04229149,-0.080309932
11022020,M1100,2020,TSE,0,0,1,0,19.5095351,1.219296203,0.428157291,0.066054272,0.820145259,66,61,4.204692619,4.127134385,64.18,0,0,0.009987704,0.006906549,0.001225765,0.0181598,0.06315225,0.053832946,0.009319304,0.020254432,0.037134384,-0.081491119
11022021,M1100,2021,TSE,0,0,1,0,19.57458919,1.325111135,0.431416385,0.027114157,0.754653684,66,61,4.204692619,4.127134385,67.84,0,0,0.03183647,0.031661873,0.030400189,0.018425576,0.058998807,0.046227812,0.012770995,-0.021162676,0.057224377,-0.078602057
11022022,M1100,2022,TSE,0,0,1,0,19.59700418,1.233530028,0.431805242,0.047213433,0.810681522,66,61,4.204692619,4.127134385,64.49,0,0,-0.004250086,-0.005414492,-0.003809548,-0.003010321,0.039731572,0.039731572,0,0.000743111,0.085847671,-0.082189769
11032017,M1100,2017,TSE,0,0,1,0,17.15900771,2.586859693,0.319837223,0.01424501,0.386569091,69,54,4.248495242,4.007333185,51.83,0,0.005677111,0.026650543,0.024571394,0.025690265,0.020493693,0.037403349,0.037403349,0,-0.023607748,0.085481223,-0.061348973
11032018,M1100,2018,TSE,0,0,1,0,17.28079727,2.042431527,0.345961932,-0.019883961,0.489612497,69,54,4.248495242,4.007333185,57.84,0,0.006045193,0.034732942,0.034015035,0.044050273,-0.000572495,0.008990646,0.049534019,-0.040543373,-0.0624413,0.087978838,-0.063888785
11032019,M1100,2019,TSE,0,0,1,0,17.47188319,2.103138542,0.388537259,-0.004369453,0.475479851,69,54,4.248495242,4.007333185,60.05,0,0.007023877,0.043410719,0.042065945,0.047606843,0.013313069,0.02558993,0.050569325,-0.024979395,-0.044647789,0.09119065,-0.057266764
11032020,M1100,2020,TSE,0,0,1,0,17.52041657,1.652485913,0.384509932,0.013059785,0.60514888,69,54,4.248495242,4.007333185,61,0,0.014960044,0.040718842,0.03988667,0.039765654,0.021613246,0.047429363,0.053832946,-0.006403583,-0.025845816,0.101548137,-0.060241642
