代號,名稱,Year,Industry,Key,LGTA,MVE,RPA,RPA_Ctd,LN_RPA_Count,RPA_Count,Finance,KY,BM,ABSDA,DA,ABCFO,DA_ROA,LGTA,LEV,OCF,MTB,Age,Age_Trade,Big4,GC,ESG,RD
1108,幸福,2019,M1100,11082019,15.80733286,3343135.88,0,0,0,0,0,0,1.292480221,0.012424614,-0.012424614,-0.022768145,-0.001894633,15.80733286,0.410423043,0.035850922,0.773706231,49,33,1,0,45.62,0
1108,幸福,2018,M1100,11082018,15.80249369,2371764.68,0,0,0,0,0,0,1.782216438,0.017581659,-0.017581659,-0.04336508,0.000193457,15.80249369,0.420442896,0.010385416,0.561099078,49,33,1,0,48.04,0
1108,幸福,2017,M1100,11082017,15.79469686,2703649.84,0,0,0,0,0,0,1.637986523,0.006142555,-0.006142555,-0.039380285,0.004691716,15.79469686,0.388056851,0.011197825,0.610505634,49,33,1,0,53.85,0
1109,信大,2022,M1100,11092022,16.25698991,6031691.12,0,0,0,0,0,0,1.602129785,0.067008286,-0.067008286,0.07183186,-0.066638416,16.25698991,0.158961694,0.130013457,0.624169159,59,32,1,0,51.6,0
1109,信大,2021,M1100,11092021,16.27529981,5994523.74,0,0,0,0,0,0,1.643695551,0.022629601,0.022629601,0.035605063,0.008483197,16.27529981,0.158017303,0.098630745,0.608385172,59,32,1,0,53.02,0
1109,信大,2020,M1100,11092020,16.28454635,7382873.22,0,0,0,0,0,0,1.292317464,0.040136444,-0.040136444,0.127868471,-0.059662277,16.28454635,0.192195988,0.181832221,0.773803673,59,32,1,0,55.42,0
1109,信大,2019,M1100,11092019,16.23064671,4828446.96,0,0,0,0,0,0,1.787349446,0.042166164,-0.042166164,0.137195743,-0.060399418,16.23064671,0.228853965,0.191070756,0.559487683,59,32,1,0,57.63,0
1109,信大,2018,M1100,11092018,16.1351962,4896838.56,0,0,0,0,0,0,1.570418732,0.056189792,0.056189792,0.041454751,0.030968632,16.1351962,0.244029969,0.097999936,0.636772843,59,32,1,0,62.18,0
1109,信大,2017,M1100,11092017,15.96458602,4200686.52,0,0,0,0,0,0,1.617610828,0.044243112,0.044243112,0.001563238,0.037993727,15.96458602,0.207749164,0.068593348,0.618195664,59,32,1,0,60.24,0
1110,東泥,2022,M1100,11102022,16.29955759,10953819.15,0,0,0,0,0,0,0.796678116,0.042169661,0.042169661,-0.068302944,0.051091038,16.29955759,0.272152263,-0.023072992,1.255212086,67,29,0,0,56.18,0
1110,東泥,2021,M1100,11102021,16.20962597,11142579.48,0,0,0,0,0,0,0.781749775,0.00569195,-0.00569195,-0.018012362,0.004276792,16.20962597,0.205118492,0.024328512,1.279181692,67,29,0,0,56.34,0
1110,東泥,2020,M1100,11102020,16.10453613,8734455.27,0,0,0,0,0,0,0.97873522,0.009880184,-0.009880184,-0.03158407,0.001292696,16.10453613,0.133457506,0.011222038,1.021726796,67,29,0,0,59.06,0
1110,東泥,2019,M1100,11102019,16.0917874,9129135.96,0,0,0,0,0,0,0.938860374,0.014891559,-0.014891559,-0.023559132,-0.004692193,16.0917874,0.120053616,0.018251093,1.065121106,67,29,0,0,56.82,0
1110,東泥,2018,M1100,11102018,16.03989094,9295016.25,0,0,0,0,0,0,0.915774408,0.005107266,0.005107266,-0.041632089,0.014568133,16.03989094,0.07954507,0.001722257,1.091971987,67,29,0,0,61.98,0
1110,東泥,2017,M1100,11102017,16.05252097,7830693.69,0,0,0,0,0,0,1.095663978,0.021992877,0.021992877,-0.062229692,0.03310231,16.05252097,0.083871606,-0.017159638,0.91268858,67,29,0,0,51.7,0
1201,味全,2022,M1200,12012022,16.68387674,10146563.15,0,0,0,0,0,0,0.71281831,0.005754391,0.005754391,-0.037093721,0.015144172,16.68387674,0.589245617,0.048197927,1.402882033,70,61,1,0,71.8,0.010531206
1201,味全,2021,M1200,12012021,16.70360717,9847985.98,0,0,0,0,0,0,0.716090885,0.003388347,0.003388347,-0.022849565,0.011248359,16.70360717,0.607326906,0.063499306,1.396470785,70,61,1,0,74.24,0.011383115
1201,味全,2020,M1200,12012020,16.70763195,10171866.3,0,0,0,0,0,0,0.673995096,0.031259979,-0.031259979,0.022870634,-0.029888043,16.70763195,0.619788702,0.103907984,1.483690321,70,61,1,0,74.35,0.012287898
1201,味全,2019,M1200,12012019,16.76503883,10278139.53,0,0,0,0,0,0,0.675588707,0.030823626,0.030823626,-0.011847645,0.029362459,16.76503883,0.636392327,0.07479904,1.480190521,70,61,1,0,63.04,0.011642012
1201,味全,2018,M1200,12012018,16.87152372,14276037.23,0,0,0,0,0,0,0.434325149,0.032373696,0.032373696,-0.045729374,0.04025866,16.87152372,0.708114182,0.029750742,2.302422511,70,61,1,0,63.52,0.012653496
1201,味全,2017,M1200,12012017,17.30784707,10490685.99,0,0,0,0,0,0,0.744271252,0.022540147,0.022540147,-0.031855965,0.028626893,17.30784707,0.762407539,0.02992976,1.343596165,70,61,1,0,62.65,0.01382824
1203,味王,2022,M1200,12032022,16.11819225,10713600,0,0,0,0,0,0,0.613759987,0.092092967,0.092092967,-0.047002795,0.083376567,16.11819225,0.342505614,0.018489214,1.62930139,64,59,0,0,60.84,0.001242335
1203,味王,2021,M1200,12032021,16.07547402,7591200,0,0,0,0,0,0,0.8235088,0.002917357,-0.002917357,0.041754337,-0.011145286,16.07547402,0.347637455,0.100709202,1.214316107,64,59,0,0,64.1,0.001677128
1203,味王,2020,M1200,12032020,16.04891726,7550400,0,0,0,0,0,0,0.836032793,0.016774998,-0.016774998,0.053253569,-0.024499904,16.04891726,0.323547875,0.116215201,1.19612533,64,59,0,0,62.84,0.0014051
1203,味王,2019,M1200,12032019,16.05887905,6237600,0,0,0,0,0,0,0.996468834,0.054532609,0.054532609,-0.017020609,0.047462917,16.05887905,0.340524472,0.047228093,1.003543679,64,59,0,0,60.08,0.001401023
1203,味王,2018,M1200,12032018,16.01550962,5404800,0,0,0,0,0,0,1.08785672,0.022517862,0.022517862,0.016001233,0.014770233,16.01550962,0.348515818,0.080642504,0.919238703,64,59,0,0,62.4,0.001688365
1203,味王,2017,M1200,12032017,16.03387467,4987200,0,0,0,0,0,0,1.124693816,0.01759961,0.01759961,0.03056309,0.006674491,16.03387467,0.389806186,0.089647934,0.889130878,64,59,0,0,57,0.001266955
1210,大成,2022,M1200,12102022,17.94813823,46331035.26,0,0,0,0,0,0,0.623690488,0.031027191,0.031027191,-0.089215332,0.040123442,17.94813823,0.536485066,0.037536684,1.603359389,63,45,1,0,57.86,0.001341488
1210,大成,2021,M1200,12102021,17.85385127,37486474.41,0,0,0,0,0,0,0.739989808,0.019754824,-0.019754824,-0.052916876,-0.000830218,17.85385127,0.511042349,0.07547166,1.351369964,63,45,1,0,56.79,0.001363298
1210,大成,2020,M1200,12102020,17.76083363,41342129.83,0,0,0,0,0,0,0.67453593,0.017537783,-0.017537783,0.023017216,-0.023131136,17.76083363,0.460531744,0.125140628,1.482500717,63,45,1,0,61.69,0.00207138
1210,大成,2019,M1200,12102019,17.67203643,28021971.93,0,0,0,0,0,0,0.868051651,0.024011907,-0.024011907,0.007089037,-0.022987784,17.67203643,0.485747569,0.113828226,1.152005182,63,45,1,0,61.83,0.002134808
1210,大成,2018,M1200,12102018,17.56563282,22897594.52,0,0,0,0,0,0,0.970522601,0.043307052,0.043307052,-0.062685848,0.036522023,17.56563282,0.477437658,0.044831524,1.030372707,63,45,1,0,58.43,0.000605884
1210,大成,2017,M1200,12102017,17.52291368,19411345.84,0,0,0,0,0,0,1.119084538,0.015888663,-0.015888663,-0.00546381,-0.021211026,17.52291368,0.46689369,0.10872605,0.893587541,63,45,1,0,58.31,0.001808089
1213,大飲,2022,M1200,12132022,13.87225377,365218.35,0,0,0,0,0,0,1.001849989,0.031196592,-0.031196592,-0.019062871,-0.006924918,13.87225377,0.654289936,0.00925562,0.998153427,58,42,0,0,47.54,0
1213,大飲,2021,M1200,12132021,13.93138244,426371.19,0,0,0,0,0,0,1.035986977,0.015794826,-0.015794826,-0.053774925,0.012236218,13.93138244,0.606613338,-0.024621232,0.965263099,58,42,0,0,37.37,0
1213,大飲,2020,M1200,12132020,14.04287001,502812.24,0,0,0,0,0,0,1.066294647,0.031566402,0.031566402,-0.032824403,0.043945628,14.04287001,0.572887664,-0.003012075,0.937827084,58,42,0,0,37.99,0
1213,大飲,2019,M1200,12132019,14.05137446,339738,0,0,0,0,0,0,1.658357322,0.068630471,0.068630471,-0.076707575,0.080746791,14.05137446,0.554971477,-0.053273218,0.603006353,58,42,0,0,48.21,0
6689,伊雲谷,2020,M2331,66892020,15.05528265,#N/A,1,1,0.693147181,1,0,0,#N/A,0.04689594,0.04689594,-0.131417197,0.049421135,15.05528265,0.531120815,-0.007735845,#N/A,10,5,1,0,50.5,0.005822822
1213,大飲,2017,M1200,12132017,13.67032986,832358.1,0,0,0,0,0,0,0.8362098,0.094828931,0.094828931,-0.091930115,0.096493463,13.67032986,0.195220994,-0.053697336,1.195872136,58,42,1,0,49.58,0
1215,卜蜂,2022,M1200,12152022,17.08863761,26746296.7,0,0,0,0,0,0,0.354731876,0.047249765,0.047249765,-0.036623301,0.050620488,17.08863761,0.64052983,0.053138272,2.819030563,46,36,1,0,61.32,0
1215,卜蜂,2021,M1200,12152021,16.95869133,18311825.03,0,0,0,0,0,0,0.469259999,0.074434932,0.074434932,-0.060354712,0.074729942,16.95869133,0.629251758,0.030170547,2.131014794,46,36,1,0,66.56,0
