"","EXP","A1","A2","ABEXP"
"1",0.01906752,2.26406e-09,0.242348187,-0.0456816051717635
"2",0.010043047,3.15402e-09,0.296585359,-0.0587124608245959
"3",0.013117685,2.48462e-08,0.055164809,-0.039571712028855
"4",0.020927351,3.98457e-08,0.242226167,-0.0464016472164313
"5",0.034794092,1.24352e-07,0.468684148,-0.0548279811978794
"6",0.028935226,8.5453e-08,0.630491496,-0.0697768253406475
"7",0.013941507,9.12534e-08,0.168525346,-0.0515678072685846
"8",0.28753505,5.56821e-08,1.103500099,0.15646822840549
"9",0.103521864,1.04354e-07,0.60784688,0.00515496284024405
"10",0.146311552,1.76267e-08,1.788013988,-0.0319237531392018
"11",0.049472237,8.90589e-07,0.381534699,-0.0865917539533418
"12",0.081743471,4.31453e-08,1.071788373,-0.0461531406797856
"13",0.269693916,1.94538e-09,0.921138452,0.155593198787473
"14",0.091472333,7.22712e-08,0.340460862,0.0147644069269172
"15",0.172769629,9.40002e-08,0.934829854,0.0513319902176149
"16",0.125066296,1.09287e-07,1.615133011,-0.0469079363037546
"17",0.074940532,3.03795e-07,0.978034384,-0.0640910629091772
"18",0.070140434,1.0978e-07,1.43854565,-0.08902322502008
"19",0.173767071,3.53493e-08,1.212728418,0.0361558395742062
"20",0.015880104,1.39528e-08,0.157984856,-0.0435377981252702
"21",0.143805174,1.08593e-07,1.033575065,0.0141798494207861
"22",0.132749663,1.42786e-07,2.9026510613,-0.135183006085945
"23",0.436571326,4.32999e-07,0.767707047,0.303938425523778
"24",0.091447726,4.3882e-08,0.404717998,0.0120214356160309
"25",0.007444972,2.13792e-07,0.01032309787,-0.0549979643767115
"26",0.163274599,2.8931e-07,0.507772901,0.0594464492843758
"27",0.11763263,4.69002e-07,1.406819471,-0.0639677516429885
"28",0.127773275,2.07402e-07,0.950309402,-0.00260180177041733
"29",0.252016134,1.89157e-07,0.952252884,0.122756469443766
"30",0.205956833,2.34604e-07,1.160908152,0.0583895538876858
"31",0.321199025,2.14472e-07,0.628370959,0.213753958081039
"32",0.028986827,1.83932e-09,0.503235071,-0.0547093145658478
"33",0.032718277,1.49545e-09,0.615632169,-0.059129667677898
"34",0.061351511,1.17889e-08,0.845922332,-0.0479562240263408
"35",0.097944044,5.89091e-08,1.191231149,-0.0397264061138555
"36",0.097744882,6.78421e-08,0.568788362,0.00473406314378494
"37",0.015067751,5.26911e-08,0.504032975,-0.0721892680549278
"38",0.142830778,9.30695e-08,1.933161862,-0.0511589797405913
"39",0.022617239,1.07536e-07,1.259681327,-0.123381692417125
"40",0.03390415,2.04445e-08,0.460968713,-0.0479992267937018
"41",0.050521533,1.85971e-08,1.523890979,-0.108568954804562
"42",0.019316524,7.39419e-09,0.260004728,-0.0470702752158542
"43",0.026255527,7.84023e-08,0.186511288,-0.0396768141497802
"44",0.039386649,9.43472e-08,0.097720855,-0.0211856310015251
"45",0.089789391,2.90247e-08,0.533481864,0.00202055220425646
"46",0.043249621,7.70405e-08,0.500018605,-0.0453926703356309
"47",0.085723717,1.74562e-07,0.662916137,-0.0214849480111682
"48",0.122766726,8.03011e-07,0.864714333,-0.0424099056262043
"49",0.015135287,3.10812e-07,0.370190111,-0.0801665563979708
"50",0.030130488,1.67128e-09,0.611372924,-0.0614197613690775
"51",0.098622613,4.41188e-07,0.920065649,-0.0456565651501012
"52",0.043709177,1.81556e-07,0.201000812,-0.0303826669670699
"53",0.109792907,8.54085e-08,0.624752977,0.0115013268050477
"54",0.0693724,1.97947e-07,0.379681563,-0.0188453114502782
"55",0.034165873,1.94052e-07,0.126255538,-0.0353499486204993
"56",0.104381889,4.22383e-07,1.168106008,-0.0566437872331368
"57",0.082614641,4.16251e-07,0.860972072,-0.055648471301486
"58",0.057064486,1.57399e-09,0.375878874,-0.0173498004533706
"59",0.023699227,5.10122e-09,0.221428723,-0.0397237005488587
"60",0.061171308,7.02779e-07,0.335474467,-0.0586053962635642
"61",0.038903445,3.52885e-07,1.046418836,-0.108483750333716
"62",0.018457814,2.17304e-07,0.17595421,-0.0562746426464905
"63",0.029580567,2.58003e-07,0.061128923,-0.039603261710922
"64",0.150757498,2.50964e-07,0.331886692,0.0623642811102106
"65",0.021243848,2.81223e-07,0.011051211,-0.045896921318183
"66",0.038313183,6.19766e-08,0.170368311,-0.0253135005822844
"67",0.010213984,2.9212e-07,0.055545202,-0.0609137910445569
"68",0.087298697,2.04379e-07,0.159018187,0.014688442276892
"69",0.030721155,1.22937e-08,0.403222581,-0.0464204551400562
"70",0.029251977,7.30401e-08,0.188381818,-0.0364470557393018
"71",0.007444972,8.3701e-08,0.058426713,-0.0495358025132741
"72",0.007444972,1.90723e-07,0.01032309787,-0.0534088948547694
"73",0.017078407,2.0505e-07,0.126215434,-0.053192076408461
"74",0.04080226,1.99217e-08,0.402288739,-0.0367968667921892
"75",0.08729205,4.21218e-07,0.651410134,-0.0360701829466801
"76",0.014939138,7.09674e-08,0.244847162,-0.0547242712898562
"77",0.015668479,1.5631e-07,0.135491855,-0.0519193751184166
"78",0.04884255,4.82986e-08,0.525401133,-0.0396661665847852
"79",0.076072883,4.97413e-07,0.623829773,-0.0505317872104276
"80",0.013703523,2.30443e-07,0.044527578,-0.0523743399235081
"81",0.042617738,5.06155e-08,1.22754898,-0.0971230915401395
"82",0.053677063,1.57324e-07,0.438284703,-0.0360050500468251
"83",0.054877873,1.10497e-07,0.885350796,-0.0640971346184366
"84",0.036258513,3.12902e-07,0.656366752,-0.0800030855291829
"85",0.027482718,5.28097e-07,0.023387322,-0.0575608528819178
"86",0.078502283,4.86866e-07,0.766725918,-0.0577697908477596
"87",0.042573803,9.27918e-08,1.04098595,-0.0865021319677608
"88",0.015053822,1.4034e-07,0.331655899,-0.0657024581589838
"89",0.014239028,5.39963e-08,0.223878137,-0.0527301198259937
"90",0.022913518,1.53838e-07,0.37989556,-0.0622813842998103
"91",0.109410675,6.84568e-08,0.685028949,0.00790245754887773
"92",0.0262565,3.64739e-07,0.166526911,-0.0579460516178901
"93",0.085398169,5.22687e-08,0.54755043,-0.00499510698409085
"94",0.047323536,5.47872e-07,0.241899165,-0.0549762197696616
"95",0.078697039,2.71376e-07,0.968988819,-0.0574434749833148
"96",0.147391615,1.16033e-07,0.770217207,0.0364098049562231
"97",0.035590698,2.91309e-07,0.332019626,-0.0555912861015079
"98",0.084423145,7.96888e-07,0.713046894,-0.069299795416773
"99",0.126354587,8.41489e-07,0.299415165,-0.000354058422289012
"100",0.047466333,4.12317e-07,0.248191269,-0.0459536153328288
"101",0.188661609,1.91819e-07,1.105161393,0.0480963860402355
"102",0.081438276,2.34588e-07,0.821964395,-0.0414739610389559
"103",0.072987185,1.12454e-06,0.538279363,-0.0905933532232361
"104",0.113676884,3.41544e-08,1.226733592,-0.0248707408404466
"105",0.172081924,4.49988e-08,1.301837237,0.0273244453254052
"106",0.066068278,2.21262e-08,0.612670258,-0.0269853392600644
"107",0.059369757,7.31998e-09,0.375137017,-0.0153863715104331
"108",0.076531877,4.11157e-07,0.437527008,-0.0305799852733216
"109",0.10551892,5.36604e-07,0.537822278,-0.0175293819256967
"110",0.055263443,2.91888e-08,0.526193416,-0.0319865556676778
"111",0.096672954,1.2207e-07,0.693554587,-0.00914845321488071
"112",0.046674929,7.98631e-08,1.466830753,-0.112485343564156
"113",0.032298202,1.9472e-06,2.318332107,-0.31742657902481
"114",0.07165829,1.76068e-07,0.859203834,-0.0499316003301156
"115",0.116744151,1.00782e-07,0.909064651,-0.00328654289146489
"116",0.159118246,2.94597e-07,1.470672092,-0.0151130220983128
"117",0.137066342,4.15721e-08,0.689124333,0.0371121439739439
"118",0.050592263,1.85074e-07,0.363378051,-0.0355528357632432
"119",0.019299819,1.87833e-07,0.239601013,-0.0580320898420711
"120",0.10528632,3.53477e-07,0.667198178,-0.0145580710497381
"121",0.071246254,1.94873e-07,0.873955577,-0.0527119930441789
"122",0.196782218,1.96017e-07,0.703233052,0.0851631073649737
"123",0.01756152,3.92612e-07,0.127381288,-0.065713659773639
"124",0.058765675,1.61101e-07,0.584951219,-0.0418447740574696
"125",0.071334294,2.04791e-07,0.603519172,-0.0336362552015667
"126",0.044867336,2.00112e-08,0.378975336,-0.0310421959327917
"127",0.125443574,1.29591e-07,0.380030415,0.0419090767610721
"128",0.069955724,1.45708e-07,1.236276018,-0.0769701769253537
"129",0.05480695,4.73852e-08,0.316834947,-0.0184682542659924
"130",0.111173085,1.90299e-07,1.103307822,-0.0291526110780195
"131",0.258363598,3.2026e-06,0.850460855,-0.0710679495927135
"132",0.028156847,2.54153e-07,0.798712105,-0.0944117776680804
"133",0.043494905,6.57748e-07,0.237310231,-0.0660396876156801
"134",0.081546232,1.92456e-07,1.193796171,-0.0655099466209126
"135",0.135057872,1.25532e-07,0.969101216,0.00895540280160145
"136",0.108023951,9.84105e-08,0.593202687,0.0111316406914835
"137",0.046715443,1.16279e-07,0.628093545,-0.0539455847562582
"138",0.070408256,3.11085e-07,0.56798179,-0.0392992755444196
"139",0.082545921,1.36737e-07,0.652356754,-0.0212891683884807
"140",0.069550106,9.4189e-07,0.650970382,-0.0896457612570677
"141",0.245914925,2.68972e-07,1.155099852,0.096402745165629
"142",0.108493573,8.48011e-08,0.864530673,-0.00719701065104782
"143",0.066362945,7.64054e-08,0.513863714,-0.0232426579013509
"144",0.03998012,3.54754e-07,0.39337269,-0.0600348387504275
"145",0.079216619,2.26702e-07,0.598415083,-0.0268919738773137
"146",0.13978032,3.30425e-07,0.777570161,0.0134956393454756
"147",0.067474809,5.41423e-08,0.48447649,-0.0184596826520828
"148",0.091239988,2.09737e-08,0.532730935,0.00408034962680113
