,CFO,A1,A2,A3,ABCFO
5023,0.028761456,8.40E-07,0.763,0.077920911,-0.017497693
5024,0.120900814,1.30E-06,0.409,-0.122729799,0.111761515
5025,-0.044993181,7.67E-07,0.111,-0.14002197,-0.059036774
5026,0.099618858,8.79E-08,0.771,0.103979776,0.026984034
5027,0.03418538,9.19E-07,0.765,-0.138228761,-0.001785663
5028,0.100212934,1.31E-07,0.491,0.002374161,0.044185583
5029,0.003509682,2.52E-07,1.45,0.102753291,-0.091570298
5030,0.092574415,6.55E-08,2.88,0.32680264,-0.07565124
5031,0.171921172,2.61E-08,1.01,0.193633862,0.08417083
5032,0.000124267,1.61E-06,0.908,-0.105741624,-0.019825586
5033,0.05987161,8.18E-07,0.639,-0.277102896,0.03068614
5034,0.18380484,5.07E-07,0.9,-0.069290752,0.126049446
5035,-0.047868752,1.28E-07,0.545,0.05123268,-0.107968452
5036,0.0951449,3.53E-07,0.406,-0.012468642,0.050562725
5037,0.024097327,3.19E-07,0.413,-0.432900597,-0.006867965
5038,-0.008945616,1.17E-07,0.445,-0.230879641,-0.055201246
5039,0.121490813,4.81E-07,3.08,-0.410111571,-0.014736379
5040,-0.022444073,1.92E-06,0.498,0.042691442,-0.020464272
5041,-0.095712536,8.80E-07,1.67,-0.358358645,-0.162388683
5042,0.118142573,2.40E-08,0.369,0.042314725,0.062138762
5043,0.081702731,5.55E-08,0.912,0.053267354,0.003992286
5044,-0.03098963,2.66E-07,0.564,-0.566284909,-0.065172816
5045,-0.013329631,4.10E-07,0.501,0.171477411,-0.066502101
5046,0.110890741,3.94E-07,0.485,0.00017948,0.063971072
5047,0.047595714,1.58E-07,0.354,-0.139940161,0.003204246
5048,0.01065621,1.72E-07,0.0757,-0.133413477,-0.022037835
5049,0.159351771,1.40E-07,1.04,0.243434496,0.072387451
5050,0.069148073,5.84E-07,1.1,0.239548036,-0.005322739
5051,0.050134121,7.91E-07,0.808,-0.566284909,0.023431014
5052,-0.020779182,3.48E-07,0.282,-0.062138432,-0.058643758
5053,0.215653747,2.50E-07,0.885,0.333910032,0.135510432
5054,0.046422812,3.08E-06,0.191,-0.0588925,0.103416685
5055,0.144189475,7.71E-07,1.46,0.253446869,0.060636978
5056,0.261172425,6.14E-07,1.61,0.102155433,0.171611095
5057,0.107922125,3.78E-07,0.496,0.04245568,0.058502699
5058,0.020093096,1.16E-06,0.372,-0.00637469,0.003640529
5059,0.066436905,1.65E-06,0.883,0.192538236,0.038181826
5060,-0.015920914,1.64E-07,3.1891,0.670284372,-0.205877308
5061,0.031798864,1.79E-06,0.143,0.039120031,0.044188271
5062,0.033309004,3.34E-07,1.43,0.086080832,-0.057612596
5063,-0.147693199,3.17E-07,0.969,0.194225052,-0.224062211
5064,0.071979324,2.32E-07,0.727,0.00019968,0.009681277
5065,0.106765443,2.84E-07,0.47,-0.004447531,0.056956074
5066,0.011824978,8.19E-08,0.586,-0.135643824,-0.044817584
5067,0.021628969,4.68E-07,0.38,0.003905451,-0.018627962
5068,0.120930465,3.05E-07,0.37,-0.016441277,0.076370476
5069,0.071121053,5.81E-08,0.347,-0.044290252,0.020260307
5070,0.081380774,5.55E-07,0.525,0.091551014,0.034920811
5071,-0.279756151,3.47E-08,3.1891,0.83812164,-0.480034308
5072,0.03477346,7.04E-08,0.569,-0.116574615,-0.022235044
5073,0.060483617,2.83E-07,0.614,0.010351206,0.004179958
5074,0.233389602,7.53E-08,0.731,0.018751672,0.165030629
5075,0.108312429,1.18E-06,0.888,0.077396445,0.068276368
5076,0.173155004,2.91E-08,0.671,0.077931231,0.103607696
5077,0.279271672,4.06E-07,1.18,0.364970008,0.191075014
5078,0.052664469,4.79E-08,1.07,0.153791234,-0.035404056
5079,-0.126512337,1.07E-06,0.266,0.089260783,-0.145025189
5080,0.009588709,8.91E-07,0.367,-0.566284909,0.004389958
5081,0.0715124,2.24E-07,0.675,0.087354474,0.007971269
5082,0.057111875,2.92E-07,0.857,-0.188078797,-0.001802007
5083,0.137862363,9.98E-07,1.06,-0.133958245,0.09222518
5084,0.051610385,1.56E-07,1.18,0.110702831,-0.035838048
5085,0.071343459,3.45E-08,0.788,0.039488355,-0.001467612
5086,0.106827115,9.68E-08,1.46,0.10718314,0.005994356
5087,0.014428597,6.60E-07,0.262,-0.246832361,-0.005586699
5088,0.133565242,1.44E-07,0.966,-0.073701194,0.061127831
5089,0.024515014,1.21E-07,1.25,0.060292158,-0.065182099
5090,0.078002471,2.29E-07,0.777,-0.175983986,0.019847501
5091,0.072520304,1.38E-07,0.425,-0.040168162,0.020967203
5092,0.183522469,4.45E-07,1.39,0.403905744,0.086585114
5093,0.078839304,2.34E-07,1.67,-0.077994826,-0.019437638
5094,-0.041064861,1.23E-06,0.539,-0.566284909,-0.04202865
5095,0.114182244,5.19E-07,0.68,0.007346139,0.063147937
5096,0.120261595,8.32E-07,1.57,0.178637003,0.036891245
5097,0.034893133,5.06E-07,0.802,0.026505842,-0.022285974
5098,0.152704995,1.85E-06,0.404,-0.331010028,0.16958812
5099,0.170876714,2.59E-08,1.26,0.098431624,0.076227737
5100,0.21977173,1.71E-07,0.498,0.049072869,0.163121112
5101,0.066912732,6.21E-07,0.973,0.181912568,0.000970509
5102,0.080271426,8.40E-08,0.741,-0.092522809,0.015771787
5103,0.042665045,2.88E-07,0.218,-0.003340639,0.003329749
5104,0.110677275,1.46E-07,0.882,0.119237554,0.034864489
5105,0.089445968,1.40E-07,0.267,0.009662384,0.042685173
5106,0.035853465,3.33E-07,0.918,-0.053783199,-0.029008293
5107,0.170294431,2.03E-07,0.633,-0.105842772,0.114693532
5108,0.122999491,3.10E-07,1.03,-0.160739962,0.056582616
5109,0.1185905,6.84E-07,0.857,-0.04429044,0.067622288
5110,0.170215496,2.37E-07,0.972,0.231223657,0.089727985
5111,0.220561636,6.95E-08,0.455,-0.001033559,0.164085474
5112,-0.013503016,2.23E-06,0.481,-0.043096251,0.002597436
5113,0.109343273,5.32E-07,0.666,0.123324909,0.055170705
5114,0.021427852,9.59E-08,0.555,-0.026869648,-0.037361597
5115,0.069538492,3.27E-08,0.498,-0.137924408,0.014959441
5116,0.227484036,7.40E-07,0.955,0.04498307,0.171155382
5117,0.093626536,2.62E-07,0.386,-0.12436047,0.050832351
5118,0.08623,6.35E-07,1.01,-0.143512809,0.03087297
5119,-0.001560142,4.01E-07,0.472,-0.056170343,-0.045694728
5120,0.257202224,1.41E-07,0.378,-0.003669308,0.20637956
5121,0.061993554,1.81E-06,0.513,-0.086953763,0.064320331
5122,0.167147983,8.26E-07,0.68,-0.095878513,0.130057696
5123,0.058119704,5.42E-07,0.421,-0.474937699,0.035775076
5124,-0.027584292,1.30E-07,0.0491,-0.220964535,-0.057453059
5125,0.096316665,7.47E-07,0.776,0.190211321,0.042399525
5126,0.009187699,7.91E-07,0.354,-0.047322464,-0.017380113
5127,0.179591029,3.72E-07,0.844,-0.229907436,0.125380345
5128,0.15257999,1.07E-06,0.766,-0.05632524,0.118679889
5129,0.249040644,9.23E-08,0.759,-0.123956815,0.185201241
5130,0.031244406,2.68E-07,0.108,-0.185794094,0.002299366
5131,0.089660176,1.65E-06,1.16,0.006680672,0.056644091
5132,0.092674015,2.21E-07,0.827,-0.566284909,0.046154997
5133,0.064525943,3.74E-07,0.511,-0.079817197,0.018729279
5134,0.020159223,1.16E-07,0.406,0.080800047,-0.035673387
5135,0.172721904,3.84E-07,0.447,-0.128715591,0.131644666
5136,-0.03870857,5.59E-07,0.26,-0.072740607,-0.06824201
5137,0.255198224,6.85E-08,3.1891,0.83812164,0.056048708
5138,0.073212073,5.16E-07,0.718,-0.566284909,0.041033422
5139,0.200285931,1.42E-07,0.523,0.021695309,0.142616585
5140,0.01833166,1.95E-07,0.642,0.042081376,-0.043198931
5141,0.272740652,4.51E-08,1.1,0.02190408,0.188061036
5142,0.065148841,2.28E-07,0.657,-0.133507994,0.01038385
5143,0.09005528,4.25E-07,0.44,-0.171116771,0.052152299
5144,0.083204622,8.53E-07,0.353,-0.025867385,0.057980754
5145,0.03916708,6.95E-08,0.312,0.002779156,-0.011555181
5146,-0.034150524,7.72E-07,0.406,0.04196172,-0.066688758
5147,-0.021217187,8.84E-07,3.1891,-0.467904719,-0.146413946
5148,-0.038218591,1.60E-07,0.675,0.085383226,-0.103826273
5149,0.118063187,6.00E-07,0.826,0.084986736,0.060942224
5150,0.157257698,2.36E-07,0.902,-0.046286662,0.089547815
5151,0.004358106,1.87E-07,0.523,-0.203751252,-0.043743484
5152,0.151135979,5.32E-07,0.771,-0.019583421,0.097750772
5153,0.172108896,3.37E-07,0.796,0.170412324,0.10438562
5154,0.237347205,2.20E-07,0.534,-0.05209666,0.184469149
5155,0.016743465,1.38E-06,0.257,-0.013168584,0.012617076
5156,0.059297306,1.85E-07,1.17,-0.359029943,-0.009966631
5157,0.161809851,1.32E-07,1.12,-0.22787257,0.088143671
5158,0.106711907,2.15E-07,0.496,-0.030437091,0.054457297
5159,0.050992187,9.68E-07,0.541,0.015029032,0.020401451
5160,0.08875917,1.28E-06,0.558,0.013008491,0.067958691
5161,0.176137142,2.72E-07,1.07,0.003382241,0.100932436
5162,0.120659314,4.89E-08,0.456,0.104145567,0.059691412
5163,0.071695943,1.96E-07,0.865,-0.144736236,0.007696391
5164,0.146125297,4.20E-07,0.939,-0.07646032,0.084114862
5165,0.114774677,6.83E-07,0.795,-0.135695977,0.069596852
5166,0.028012798,5.69E-07,0.542,-0.061202047,-0.013215336
5167,0.130491881,2.63E-07,0.484,0.055983609,0.077242749
5168,0.023060301,8.21E-07,0.656,-0.079097186,-0.013808698
5169,0.121691898,2.15E-07,0.867,-0.007315232,0.053328306
5170,0.026334567,5.81E-07,0.518,-0.045088692,-0.014080724
5171,-0.006305485,8.23E-08,0.305,-0.009647216,-0.055867455
5172,-0.034358829,1.16E-06,0.327,-0.021031088,-0.048433487
5173,0.164697207,1.21E-07,1.46,0.038519051,0.067128918
5174,0.083446268,4.58E-07,0.466,-0.236891991,0.047927294
5175,0.171060151,5.87E-07,1.64,0.20820797,0.075567593
5176,0.056089692,9.88E-08,0.304,-0.131146908,0.011466408
5177,0.021036019,3.60E-07,0.748,-0.002492643,-0.03775658
5178,0.106647486,7.70E-08,0.873,-0.115240954,0.037289626
5179,-0.003201811,7.20E-07,0.311,0.121106955,-0.036394623
5180,0.056073541,2.75E-09,0.688,-0.174083933,-0.00603829
5181,0.037017676,1.02E-07,0.743,-0.082229368,-0.027331532
5182,-0.269916564,1.50E-07,0.0251,0.022593364,-0.306841958
5183,0.131759216,2.83E-08,0.847,-0.07337463,0.060348416
5184,0.06179116,5.86E-08,0.208,-0.040671064,0.01654317
5185,0.200107101,2.42E-08,1.67,-0.120446731,0.09634325
5186,0.195714835,1.46E-07,0.968,0.048068788,0.118905625
5187,0.102581927,1.29E-06,0.698,-0.075825421,0.079526586
5188,0.082254713,3.89E-08,1.05,-0.045593301,0.001842265
5189,0.154923986,4.44E-08,0.609,0.013098029,0.090760751
5190,0.128941714,1.98E-07,0.394,-0.034583886,0.080469263
5191,0.169215392,1.75E-07,0.892,0.180514181,0.091766947
5192,0.19308533,1.69E-08,1.19,0.111151945,0.100564133
5193,0.0274239,1.20E-07,1.08,0.042097442,-0.054653256
5194,0.083320567,6.22E-08,0.447,0.00723034,0.026634539
5195,0.173993126,1.59E-07,0.35,-0.032625035,0.125960721
5196,0.069462057,1.53E-07,1.3,-0.198967076,-0.011951322
5197,0.010588334,2.70E-07,0.207,0.009192388,-0.029343269
5198,0.04367534,2.57E-07,0.193,-0.112111096,0.008225829
5199,0.127369815,8.48E-08,0.845,0.039381923,0.053894275
5200,0.104244378,2.25E-07,0.277,-0.050172876,0.062050518
5201,-0.040429697,1.44E-08,0.799,-0.038170108,-0.111586886
5202,0.048890071,6.31E-08,1.06,-0.015660533,-0.032197021
5203,0.023156933,1.74E-07,1.05,0.062318066,-0.056604715
5204,0.075006011,7.56E-08,1.39,-0.345690124,-0.007450196
5205,0.190270423,3.62E-08,0.53,-0.023685879,0.130403364
5206,0.133952973,3.17E-08,0.614,-0.069124989,0.072101156
5207,0.11222637,3.16E-08,0.412,0.019684041,0.055514718
5208,0.005499459,4.99E-09,0.148,0.002404779,-0.040608203
5209,0.115239323,2.37E-07,0.68,-0.03365197,0.056255216
5210,0.166832379,1.64E-07,0.45,-0.039549363,0.115095554
5211,0.072329592,1.94E-07,0.456,-0.097362624,0.023415586
5212,0.01171692,6.66E-09,0.127,0.012166976,-0.033819203
5213,0.013789783,8.64E-08,0.129,-0.30990345,-0.017644313
5214,0.006922516,1.68E-06,0.3,-0.123564465,0.01499174
5215,-0.06307566,2.06E-07,0.225,-0.449617238,-0.089472308
5216,0.168238511,1.84E-07,0.854,-0.219245106,0.106956839
5217,-0.041026791,3.42E-07,1.03,0.437681746,-0.127783077
