"","PROD","A1","A2","A3","A4","ABPROD"
"6122",0.430151168,3.00952e-08,0.486863178,-0.109,0.025046873,0.053250091120062
"6123",0.5445993,1.76727e-07,0.62980688,-0.0829,-0.092144813,0.037837825350715
"6124",0.167154213,9.8461e-07,0.163023775,-0.076,-0.061563698,0.10531981402955
"6125",0.685011988,1.09631e-06,0.685200554,-0.177,0.086960573,0.161324653148344
"6126",1.632031415,3.20301e-06,1.879672396,-0.0537,0.452441657,0.173955726257412
"6127",0.574587448,3.96119e-08,0.67013631,-0.0192,0.289726329,0.07756847499383
"6128",0.003106373,6.76814e-08,0.01078040565,0.00142,0.000752143,0.0663033069946667
"6129",0.503562953,2.30582e-07,0.668405793,-0.102,0.109495321,-0.0182230876055105
"6130",0.027366611,3.59447100000003e-06,0.030658001,-0.0436,-0.023233883,0.176762694532204
"6131",0.498272777,6.48966e-07,0.548398255,-0.164,-0.005341638,0.074326308819138
"6132",0.320851615,2.0582e-07,0.473523585,0.0523,0.030716915,-0.0107852440576396
"6133",0.451112905,2.89751e-07,0.586644561,0.00308,0.083939155,0.0189125768700093
"6134",0.995996423,6.13763e-07,1.128132877,-0.0907,0.106481155,0.0799136822419259
"6135",0.741531299,5.95831e-07,0.941472073,-0.0142,0.060287417,-0.00123284820548174
"6136",1.266576294,9.23555e-08,1.501637833,0.275,0.284158108,0.0818042509550996
"6137",0.60162882,4.48464e-07,0.688075575,-0.439,-0.140805934,-0.0130662212631556
"6138",0.530384296,1.63273e-06,0.653738708,0.124,-0.034097941,0.0901975667235077
"6139",0.423768643,1.41649e-07,0.606262748,0.00433,-0.004802603,-0.0395496901488968
"6140",0.327238693,2.05657e-07,0.387195682,-0.175,-0.010866085,0.0297126169683666
"6141",0.396419621,3.95867e-07,0.544808383,-0.269,0.065625246,-0.0428967220250577
"6142",0.341789694,4.07117e-07,0.394738503,-0.0197,-0.19534527,0.0512548915149748
