TAC,A1,A2,A3,A4,DA_ROA
-0.04559731,4.87E-07,0.111,0.387630584,0.015672705,-0.007616404
-0.13440086,9.28E-08,-0.105,0.421987387,-0.026148171,-0.082300016
0.272046036,1.40E-07,-0.241,0.008708642,-0.010590457,0.283066518
0.117979275,5.40E-08,0.00298,0.178477276,0.109619849,0.113889438
-0.089088616,1.54E-07,-0.067,0.326334639,-0.068206583,-0.034125486
-0.0210635,6.85E-08,0.0385,0.385083961,0.001495233,0.021589225
-0.025674553,3.65E-07,0.015,0.167959243,0.02512289,-0.009429896
-0.080090097,5.23E-08,0.105,0.257862558,0.021233218,-0.053183042
0.000191808,5.48E-07,0.0825,0.241936968,0.053006612,0.015215278
-0.024816684,2.71E-07,-0.176,0.484924947,-0.018112696,0.029435626
-0.08065152,1.16E-07,0.00375,0.224705321,-0.004835544,-0.050655883
-0.099880766,2.91E-07,0.0796,0.197401289,0.010433529,-0.076462499
-0.136557908,7.97E-07,0.00814,0.319019094,0.026172203,-0.109220293
-0.091412066,8.41E-07,-0.094,0.037167717,-0.132365341,-0.047404007
-0.058711446,4.12E-07,0.251,0.041442796,0.001353636,-0.045718893
-0.05533805,1.92E-07,0.332,0.202037349,0.0577437,-0.041938795
-0.074594252,2.35E-07,-0.00686,0.350020726,0.018900492,-0.040551578
0.045345261,1.12E-06,0.645,0.000487592,0.333376352,-0.033220894
-0.165679536,3.42E-08,0.167,0.465427864,0.231920559,-0.176072761
-0.007160299,4.50E-08,0.14,0.235226543,0.159295703,-0.018513741
0.022250161,2.21E-08,0.0508,0.156669511,0.046955092,0.033315526
-0.018843289,7.32E-09,0.0503,0.140044169,0.029221422,-0.004469196
0.007346416,4.11E-07,0.0383,0.459847058,0.037791464,0.045533931
-0.077434836,5.37E-07,-0.115,0.229418681,-0.09907967,-0.024523521
-0.072143384,2.92E-08,-0.00941,0.418290658,0.071993997,-0.045454712
0.02983603,1.22E-07,0.186,0.187567253,0.064193999,0.039548728
0.203112037,7.99E-08,-0.50682,0.249103038,-0.02388864,0.236926979
-0.264425446,1.95E-06,0.641,0.087113822,0.094480078,-0.275473849
-0.05237073,1.76E-07,0.104,0.210847482,0.097753865,-0.05029684
-0.001325762,1.01E-07,-0.0756,0.199213798,0.082873582,0.002747014
-0.10703043,2.95E-07,-0.0864,0.284770522,0.02616732,-0.081348926
-0.014455736,4.16E-08,0.0814,0.333271336,0.041649444,0.013466003
-0.063627241,1.85E-07,0.0807,0.582835131,0.062267073,-0.020082805
0.059986205,1.88E-07,0.0216,0.103239665,0.050680668,0.064583913
0.040234141,3.53E-07,0.207,0.257155259,0.136655641,0.036034367
-0.109548275,1.95E-07,-0.0352,0.171387926,0.144606298,-0.12432941
0.005394474,1.96E-07,0.0424,0.198480905,0.030171776,0.023795715
0.03982791,3.93E-07,0.0342,0.275514851,0.018230531,0.067249123
0.018757919,1.61E-07,-0.0992,0.289574983,0.05627054,0.03731908
0.005398023,2.05E-07,-0.0476,0.199490971,0.038185567,0.0211153
-0.004399937,2.00E-08,-0.0812,0.212331686,0.019789269,0.017795667
0.04043242,1.30E-07,0.0562,0.294329422,-0.008597456,0.077766848
0.077213965,1.46E-07,0.0371,0.04524962,0.075843784,0.070387031
0.034021086,4.74E-08,0.0187,0.651979502,0.029808774,0.092273115
0.004648934,1.90E-07,0.276,0.141367126,0.167763172,-0.016726127
-0.027769269,3.20E-06,0.0387,0.062998405,-0.088065179,-0.001550566
-0.060503718,2.54E-07,0.0177,0.300290141,0.099617296,-0.052058197
0.012608108,6.58E-07,0.0625,0.20113672,0.071126242,0.018728162
-0.241720288,1.92E-07,-0.124,0.124294239,0.052359466,-0.236749995
-0.045390437,1.26E-07,-0.194,0.442605605,0.078482198,-0.019948167
-0.070769034,9.84E-08,0.0892,0.448654654,0.125409449,-0.055190188
-0.03242639,1.16E-07,-0.0154,0.42546457,0.118494596,-0.017810122
-0.0708254,3.11E-07,0.0344,0.419976718,0.051450404,-0.039350164
-0.100142567,1.37E-07,0.0987,0.367880898,0.055705913,-0.073195615
-0.053009402,9.42E-07,-0.0389,0.175116206,0.101833389,-0.059078662
-0.064702949,2.69E-07,-0.0696,0.305962323,0.095400503,-0.055302846
-0.172207047,8.48E-08,0.105,0.184963179,0.032008109,-0.154603714
0.031533132,7.64E-08,-0.0484,0.251383338,0.066826726,0.044662514
0.211637023,3.55E-07,0.198,0.294267771,0.051947052,0.233021332
0.005141238,2.27E-07,-0.0256,0.447450762,0.009778553,0.049954217
-0.073222731,3.30E-07,0.0517,0.324699991,0.045468123,-0.048383573
-0.006617676,5.41E-08,-0.00354,0.522509001,-0.024059473,0.054492558
0.014400156,2.10E-08,-0.0188,0.604655781,0.126107959,0.04289064
-0.263383311,1.58E-06,0.268,0.439244419,0.135826859,-0.255939673
0.029530569,6.06E-07,-0.15,0.530714223,0.120593817,0.049890258
-0.042132556,2.22E-07,-0.0412,0.172420536,0.049865366,-0.031879297
-0.021083042,2.63E-07,-0.0182,0.49029245,0.091327054,0.005758864
-0.060298636,8.20E-08,-0.333,0.302589316,-0.007760398,-0.024937819
0.054637293,3.24E-07,-0.057,0.417885195,0.089072747,0.075292873
0.024213491,1.14E-07,0.0927,0.375921519,0.03768676,0.056678853
0.021044482,7.67E-08,0.0242,0.422270824,0.054918458,0.05264469
0.020731698,5.46E-09,0.0851,0.358710097,0.104570638,0.034362253
0.018579808,7.32E-08,0.00889,0.234383565,0.00656723,0.046597084
0.034572552,2.91E-08,-0.0081,0.36728257,0.031020668,0.067697429
-0.021999768,1.76E-07,-0.027,0.138216198,0.013577842,-0.004826706
-0.016693738,1.14E-07,-0.0323,0.152606369,0.040514567,-0.005200652
0.049054946,1.45E-07,0.0537,0.269992084,0.042727386,0.070609945
0.080861662,2.82E-07,-0.0699,0.335622002,0.121637672,0.085833067
0.010382473,3.20E-07,0.156,0.246723614,0.005901509,0.039687402
-0.090163634,2.77E-07,-0.227,0.316725976,0.011246541,-0.058647838
0.071844087,2.18E-07,-0.019,0.285593883,0.05412469,0.090953094
-0.053687568,1.01E-07,-0.021,0.280180045,0.047558826,-0.032866467
0.024334137,7.82E-08,0.023,0.321890664,0.037483589,0.051830725
-0.024156456,3.40E-08,0.0177,0.406419346,0.023516696,0.014507431
-0.054523878,7.11E-08,0.0444,0.523443947,0.15430664,-0.040310067
-0.038186398,8.25E-08,0.256,0.771486277,0.099325287,0.013503258
-0.003488986,8.63E-08,0.125,0.324940316,0.093316544,0.010149766
0.007321429,2.96E-08,-0.154,0.43629836,-0.023390011,0.059845356
-0.035075872,7.07E-08,-0.000116,0.321237285,0.027768287,-0.005191437
-0.034441298,6.25E-08,0.211,0.34650976,0.103379761,-0.02091708
0.063694145,3.87E-07,0.00459,0.12681479,0.110720324,0.053543516
0.016492497,4.17E-08,0.0844,0.21894469,0.02676341,0.038459982
-0.066636239,1.65E-08,0.0245,0.288638823,0.043271681,-0.043305901
0.001645965,1.25E-09,0.00103,0.033722,0.003491065,0.013299529
-0.006766252,9.91E-08,0.113,0.362413756,0.114275933,0.00444028
-0.055640477,2.44E-07,0.0878,0.38044661,0.014990155,-0.017312252
-0.036026723,1.26E-08,0.0289,0.170005321,0.033646854,-0.020392434
-0.082669705,8.52E-08,0.22,0.324827286,0.145137477,-0.082112454
-0.028834941,1.42E-07,-0.176,0.122852286,0.036091021,-0.019840958
0.020480594,8.90E-08,0.0532,0.295824901,0.072476331,0.036612716
-0.102017983,3.86E-07,0.15,0.565135958,0.018089797,-0.048620199
-0.027929512,3.76E-07,-0.105,0.194790835,0.104427855,-0.031222239
0.005512451,3.71E-07,-0.0108,0.269290409,0.060105354,0.021082441
-0.034200291,1.49E-06,-0.0226,0.270489246,0.007713932,-0.009096995
0.061571932,3.74E-07,0.0375,0.240171476,0.067947292,0.072857147
-0.042217613,1.61E-07,0.0532,0.501491979,0.026390584,0.003678568
-0.09020515,2.69E-07,-0.00407,0.369414375,0.009473157,-0.052097141
-0.004309994,2.84E-08,0.0472,0.127453848,0.006379029,0.014918177
-0.018653097,1.18E-07,-0.0548,0.433965544,0.050488212,0.014434652
0.218887747,4.16E-07,-0.0387,0.232531378,-0.051398658,0.260433934
-0.004794751,2.92E-07,0.0362,0.466645046,0.102656807,0.017253464
-0.099409447,3.39E-07,0.162,0.506798799,0.061747082,-0.062368767
-0.058639473,2.28E-07,0.0596,0.447543475,0.10640617,-0.038831769
-0.033032379,9.14E-08,0.0455,0.717782755,0.166856942,-0.005357044
-0.039948199,5.46E-07,0.0163,0.184204208,0.011457409,-0.019372544
