KEY,Code,Industry,YEAR,IndustryY,RPA,TMP,POST,MA,FOREIGN,LOSS,DIV,ANALYST,LEV,MB,LNAT,CAPINT,RDINT,ADVINT,DIV,Asset,Asset_1,Debt,Equity,S,S_1,RD,ADV,MV,NI_Ctd
11042022,1104,M1100,2022,2022M1100,0,0,0,1,0,0,1,4.110873864,0.25044673,0.674059175,17.03825178,0.281142728,0.003679948,0.004757335,,27811895,25096822,6285417,21526478,7055789,6079107,92355,119394,14510120,2183492
11082017,1108,M1100,2017,2017M1100,0,0,0,0,1,1,1,1.098612289,0.362238999,0.76495989,15.8635445,0.443004219,0,0.013174989,,7236852,7752644,2808310,4428542,3434454,4251061,0,102141,3387657,-102303
11082018,1108,M1100,2018,2018M1100,0,0,0,0,1,1,0,2.564949357,0.423733828,0.702810127,15.79469686,0.460227873,0,0.014606351,,7293497,7236852,3066499,4226998,3330601,3434454,0,105704,2970777,-200942
11082019,1108,M1100,2019,2019M1100,0,0,0,0,1,0,0,0,0.412413963,0.784946413,15.80249369,0.511647019,0,0.015732919,,7328877,7293497,3007940,4320937,3731696,3330601,0,114748,3391704,45904
11082020,1108,M1100,2020,2020M1100,0,0,0,0,1,0,1,0,0.459877823,1.103771184,15.80733286,0.618126351,0,0.016299086,,8027307,7328877,3370388,4656919,4530172,3731696,0,119454,5140173,392269
11082021,1108,M1100,2021,2021M1100,0,0,0,0,1,0,1,0,0.423072894,1.0367679,15.89835966,0.469525085,0,0.013889465,,8041710,8027307,3396136,4645574,3769022,4530172,0,111495,4816382,262205
11082022,1108,M1100,2022,2022M1100,0,0,0,0,1,0,1,0,0.591426699,0.886897908,15.90015231,0.515966505,0,0.013646724,,9661871,8041710,4756082,4905789,4149253,3769022,0,109743,4350934,581221
11092017,1109,M1100,2017,2017M1100,0,0,0,0,1,0,1,0,0.206145102,0.693945292,15.97233712,0.621944236,0,0.017346579,,8576925,8643664,1781849,6795076,5375877,4346147,0,149938,4715411,710004
11092018,1109,M1100,2018,2018M1100,0,0,0,0,1,0,1,2.564949357,0.289426455,0.613648064,15.96458602,0.781297493,0,0.019418032,,10172476,8576925,2482389,7690087,6701130,5375877,0,166547,4719007,1253506
11092019,1109,M1100,2019,2019M1100,0,0,0,0,1,0,1,0,0.251774691,0.796435554,16.1351962,0.769025653,0,0.017785444,,11191294,10172476,2561172,8630122,7822895,6701130,0,180922,6873336,1458617
11092020,1109,M1100,2020,2020M1100,0,0,0,0,1,0,1,0,0.202839547,0.716814645,16.23064671,0.678500091,0,0.016451985,,11811053,11191294,2270037,9541016,7593294,7822895,0,184119,6839140,1448873
11092021,1109,M1100,2021,2021M1100,0,0,0,0,1,0,1,3.135494216,0.156562925,0.721869668,16.28454635,0.624688502,0,0.014615462,,11702345,11811053,1849173,9853172,7378229,7593294,0,172624,7112706,1212790
11092022,1109,M1100,2022,2022M1100,0,0,0,0,1,0,1,3.218875825,0.156077607,0.552501089,16.27529981,0.545902381,0,0.010342286,,11490026,11702345,1826474,9663552,6388338,7378229,0,121029,5339123,517738
11102017,1110,M1100,2017,2017M1100,0,0,0,0,0,0,1,0,0.085302022,0.983355224,16.03560994,0.186433442,0,0.002833439,,9365291,9208246,785482,8579809,1716725,1478515,0,26091,8437000,58307
11102018,1110,M1100,2018,2018M1100,0,0,0,0,0,0,1,0,0.078546732,1.13900879,16.05252097,0.178978635,0,0.002239973,,9247751,9365291,735613,8512138,1676187,1716725,0,20978,9695400,65589
11102019,1110,M1100,2019,2019M1100,0,0,0,0,0,0,1,0,0.126448474,1.164557068,16.03989094,0.171386535,0,0.001745289,,9740348,9247751,1169364,8570984,1584940,1676187,0,16140,9981400,33243
11102020,1110,M1100,2020,2020M1100,0,0,0,0,0,0,1,0,0.135169811,1.197699913,16.0917874,0.163339749,0,0.001547481,,9865320,9740348,1316601,8548719,1590986,1584940,0,15073,10238800,16949
11102021,1110,M1100,2021,2021M1100,0,0,0,0,0,0,1,0,0.227847754,1.329742504,16.10453613,0.187199706,0,0.003554776,,10958500,9865320,2247791,8710709,1846785,1590986,0,35069,11583000,133811
11102022,1110,M1100,2022,2022M1100,0,0,0,1,0,0,1,0,0.297761646,1.225714098,16.20962597,0.163709906,0,0.002578638,,11989689,10958500,3263021,8726668,1794015,1846785,0,28258,10696400,108124
12592017,1259,M2700,2017,2017M2700,0,0,0,0,1,0,1,0,0.424931609,1.625876437,14.83082203,1.782215422,0,0.246982581,,2953839,2760223,1172906,1780933,4919312,4663585,0,681727,2895577,148712
12592018,1259,M2700,2018,2018M2700,0,0,0,0,1,0,1,0,0.393200848,1.17326772,14.89861624,1.778060348,0,0.257409425,,2950308,2953839,1161452,1788856,5252104,4919312,0,760346,2098807,121020
12592019,1259,M2700,2019,2019M2700,0,0,0,0,1,0,1,0,0.917725539,1.338769211,14.89742013,1.858955743,0,0.27293286,,4570443,2950308,2707573,1862870,5484492,5252104,0,805236,2493953,147231
12592020,1259,M2700,2020,2020M2700,0,0,0,0,1,0,1,0,0.595901535,1.168981965,15.33512069,1.168835056,0,0.176196049,,4663025,4570443,2723534,1939491,5342094,5484492,0,805294,2267230,150438
12592021,1259,M2700,2021,2021M2700,0,0,0,0,1,0,1,2.197224577,0.68524445,1.060898775,15.35517494,1.079595756,0,0.173956177,,5286602,4663025,3195312,2091290,5034182,5342094,0,811162,2218647,88945
12592022,1259,M2700,2022,2022M2700,0,0,0,0,1,0,1,2.564949357,0.627774325,1.18861896,15.48068625,1.083011356,0,0.165220684,,5324339,5286602,3318793,2005546,5725450,5034182,0,873456,2383830,117951
12682017,1268,M2700,2017,2017M2700,0,0,0,0,1,0,1,3.663561646,0.501265517,2.828781967,14.77319464,1.283347181,0.006190382,0.353387152,,3213208,2605655,1306125,1907083,3343960,3166484,16130,920805,5394722,265594
12682018,1268,M2700,2018,2018M2700,0,0,0,0,1,0,1,4.465908119,0.398185863,3.082622824,14.98278037,1.109687888,0.005595654,0.320502127,,2776619,3213208,1279454,1497165,3565658,3343960,17980,1029840,4615195,234445
12682019,1268,M2700,2019,2019M2700,0,0,0,0,1,0,1,3.63758616,0.923708654,3.412703,14.83674456,1.359648191,0.006493509,0.385287286,,4114909,2776619,2564787,1550122,3775225,3565658,18030,1069796,5290106,288074
12682020,1268,M2700,2020,2020M2700,0,0,0,0,1,0,1,0,0.679444673,2.832513439,15.23012728,0.840666707,0.00437774,0.263723451,,4527174,4114909,2795853,1731321,3459267,3775225,18014,1085198,4903990,279713
12682021,1268,M2700,2021,2021M2700,0,0,0,0,1,0,1,0,0.588902702,2.396616171,15.32560846,0.64717084,0.004204389,0.222809638,,4662620,4527174,2666065,1996555,2929855,3459267,19034,1008698,4784976,75343
12682022,1268,M2700,2022,2022M2700,0,0,0,0,0,0,1,0,0.950627544,2.989874923,15.35508808,0.805743123,0.003991962,0.268411966,,6282870,4662620,4432415,1850455,3756874,2929855,18613,1251503,5532629,130052
13012017,1301,M1300,2017,2017M1300,0,0,0,0,1,0,1,4.828313737,0.287624816,1.821101521,19.9372708,0.453643068,0.00212523,0.012681216,,476071036,455666072,131060870,345010166,206709755,180173192,968395,5778400,628298538,49382853
13012018,1301,M1300,2018,2018M1300,0,0,0,0,1,0,1,4.700480366,0.306561952,1.808204726,19.98107764,0.48389843,0.002390765,0.012845341,,501513267,476071036,145945266,355568001,230370027,206709755,1138174,6115295,642939740,49549540
13012019,1301,M1300,2019,2019M1300,0,0,0,0,1,0,1,5.010635294,0.294976522,1.819546931,20.03314062,0.414442819,0.002485282,0.012106589,,497087959,501513267,147934639,349153320,207848572,230370027,1246402,6071615,635300852,37324162
13012020,1301,M1300,2020,2020M1300,0,0,0,0,1,0,1,4.820281566,0.295207881,1.845385395,20.02427755,0.373803874,0.002149272,0.0118449,,479280423,497087959,146744283,332536140,185813405,207848572,1068377,5887957,613657336,20036199
13012021,1301,M1300,2021,2021M1300,0,0,0,0,1,0,1,4.844187086,0.293124111,1.641996354,19.98779642,0.570852236,0.003574711,0.018083916,,543678922,479280423,140488648,403190274,273598301,185813405,1713289,8667267,662036960,71355311
13012022,1301,M1300,2022,2022M1300,0,0,0,0,1,0,1,4.553876892,0.282463671,1.544785058,20.11386941,0.462860236,0.003481941,0.01568615,,511254407,543678922,153569544,357684863,251647354,273598301,1893058,8528229,552546232,36142868
13032017,1303,M1300,2017,2017M1300,1,0,0,0,1,0,1,4.691347882,0.329219346,1.68240118,20.10185273,0.569896895,0,0.018364144,,544071389,537184804,176851630,367219759,306139952,275294431,0,9864939,617810956,53974776
13032018,1303,M1300,2018,2018M1300,1,0,0,0,1,0,1,4.624972813,0.336985836,1.54760729,20.11459103,0.61216518,0,0.018860994,,570249344,544071389,183344352,386904992,333061560,306139952,0,10261727,598776986,52658851
13032019,1303,M1300,2019,2019M1300,1,0,0,0,1,0,1,4.718498871,0.349159506,1.623766438,20.16158427,0.502066442,0,0.016942669,,554678679,570249344,199107979,355570700,286303059,333061560,0,9661546,577363769,23209523
13032020,1303,M1300,2020,2020M1300,1,0,0,0,1,0,1,4.844187086,0.411275713,1.599124098,20.13389955,0.492814699,0,0.01711826,,584712347,554678679,228125869,356586478,273353806,286303059,0,9495134,570226030,26888091
13032021,1303,M1300,2021,2021M1300,1,1,1,0,1,0,1,4.983606622,0.410380621,1.579724067,20.18663057,0.704056265,0,0.022122989,,668695386,584712347,239954616,428740770,411670391,273353806,0,12935585,677292113,84832825
13032022,1303,M1300,2022,2022M1300,1,0,1,0,1,0,1,4.718498871,0.405587853,1.428790276,20.32083919,0.531158592,0,0.018166702,,665316156,668695386,271214726,394101430,355183300,411670391,0,12147990,563088291,38484719
13042017,1304,M1300,2017,2017M1300,1,0,0,1,1,0,1,3.091042453,0.477219216,0.549104112,17.94257196,0.93771268,0.006273361,0.032874157,,64393851,61995475,29585432,34808419,58133943,53101997,388920,2038049,19113446,2712050
13042018,1304,M1300,2018,2018M1300,1,0,0,1,1,0,1,0,0.505270744,0.388050828,17.98052871,0.945626206,0.006547209,0.031804698,,68991038,64393851,32536329,36454709,60892513,58133943,421600,2048027,14146280,1868349
