代號,名稱,Year,Industry,Key,RPA_Ctd,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,Asset,Price,eps2,eps1,dvps1
1201,味全,2018,M1200,12012018,0,0,0,0,0,0,506063,6200442,21242697,28.21,0.43,0.42,0
1201,味全,2017,M1200,12012017,0,0,0,0,0,0,506063,7807916,32862642,20.73,0.42,-2.77,0
1203,味王,2022,M1200,12032022,0,0,0,0,0,0,240000,6575579,10000966,44.64,2.17,1.89,1.113966
1203,味王,2021,M1200,12032021,0,0,0,0,0,0,240000,6251420,9582739,31.63,1.89,1.8,1.10736
1203,味王,2020,M1200,12032020,0,0,0,0,0,0,240000,6312382,9331602,31.46,1.8,1.9,0.99807
1203,味王,2019,M1200,12032019,0,0,0,0,0,0,240000,6215574,9425026,25.99,1.9,1.79,0.994703
1203,味王,2018,M1200,12032018,0,0,0,0,0,0,240000,5879648,9025005,22.52,1.79,1.85,1.30425
1203,味王,2017,M1200,12032017,0,0,0,0,0,0,240000,5609073,9192281,20.78,1.85,1.64,0.930536
1210,大成,2022,M1200,12102022,0,0,0,0,0,0,894767,28896226,62341521,51.78,0.58,2.38,1.627444
1210,大成,2021,M1200,12102021,0,0,0,0,0,0,852159,27739609,56732130,43.99,2.38,4.05,2.897775
1210,大成,2020,M1200,12102020,0,0,0,0,0,0,827339,27886752,51693036,49.97,4.05,3.19,2.542749
1210,大成,2019,M1200,12102019,0,0,0,0,0,0,827339,24324519,47300737,33.87,3.19,2.36,1.387916
1210,大成,2018,M1200,12102018,0,0,0,0,0,0,787942,22222633,42526281,29.06,2.36,3.39,2.229942
1210,大成,2017,M1200,12102017,0,0,0,0,0,0,736394,21722937,40747852,26.36,3.39,2.76,1.481016
1213,大飲,2022,M1200,12132022,0,0,0,0,0,0,56623,365894,1058384,6.45,-1.34,-1.64,0
1213,大飲,2021,M1200,12132021,0,0,0,0,0,0,56623,441715,1122852,7.53,-1.64,-0.48,0
1213,大飲,2020,M1200,12132020,0,0,0,0,0,0,56623,536146,1255281,8.88,-0.48,-0.76,0
1213,大飲,2019,M1200,12132019,0,0,0,0,0,0,56623,563407,1266002,6,-0.76,-1.58,0
6689,伊雲谷,2020,M2331,66892020,1,1,0.693147181,1,0,0,49224,1619896,3454826,#N/A,3.35,3.97,0.351742
1213,大飲,2017,M1200,12132017,0,0,0,0,0,0,56623,696026,864866,14.7,0.04,0.32,0
1215,卜蜂,2022,M1200,12152022,0,0,0,0,0,0,294790,9487764,26393745,90.73,5.26,5.07,3.007017
1215,卜蜂,2021,M1200,12152021,0,0,0,0,0,0,267991,8593007,23177472,68.33,5.07,5.88,4.279464
1215,卜蜂,2020,M1200,12152020,0,0,0,0,0,0,267991,8733486,19546349,68.08,5.88,2.52,1.845396
1215,卜蜂,2019,M1200,12152019,0,0,0,0,0,0,267991,8626994,18650361,54.59,2.52,3.56,3.010336
1215,卜蜂,2018,M1200,12152018,0,0,0,0,0,0,267991,7256685,15790164,50.06,3.56,5.34,2.99574
1215,卜蜂,2017,M1200,12152017,0,0,0,0,0,0,267991,6957514,13886122,41.28,5.34,4.71,3.001212
1216,統一,2022,M1200,12162022,0,0,0,0,0,0,5682015,192194954,551399914,73.15,2.98,3.31,2.554327
1216,統一,2021,M1200,12162021,0,0,0,0,0,0,5682015,180993745,514039630,61.7,3.31,3.46,2.464212
1216,統一,2020,M1200,12162020,0,0,0,0,0,0,5682015,180598593,495338492,64.84,3.46,3.28,2.451144
1216,統一,2019,M1200,12162019,0,0,0,0,0,0,5682015,174005305,477455273,60.92,3.28,2.99,2.435056
1216,統一,2018,M1200,12162018,0,0,0,0,0,0,5682015,170300834,407150086,68.48,2.99,-0.94,-0.737242
1216,統一,2017,M1200,12162017,0,0,0,0,0,0,5682015,191300194,414655454,59.62,-0.94,2.07,1.700298
1217,愛之味,2022,M1200,12172022,0,0,0,0,0,0,494513,7517472,13755189,12.8,0.24,0.39,0.287586
1217,愛之味,2021,M1200,12172021,0,0,0,0,0,0,494513,7397369,13836774,9.82,0.39,0.42,0
1217,愛之味,2020,M1200,12172020,0,0,0,0,0,0,494513,6858474,13340859,10.94,0.42,0.01,0
