KEY,Code,Industry,YEAR,RPA,TMP,POST,Asset,Asset_1,Debt,Equity,CA,CL,SLTD,PPE,Cash,S,S_1,S_2,OPCOST,EXP,RD,ADV,RE,EBIT,OCF,NI_Ctd,CYCLE,CYCLE_1,MV,COGS,INV,INV_1,INST_1,BIG4
11092022,1109,M1100,2022,0,0,0,11490026,11702345,1826474,9663552,6560477,1629093,0,2755243,2767084,6388338,7378229,7593294,5138589,338610,0,121029,4475164,993624,1493858,517738,84.31,85.76,5339123,5138589,1011311,907317,0.1473,1
11102017,1110,M1100,2017,0,0,0,9365291,9208246,785482,8579809,2117646,460946,150000,228265,369847,1716725,1478515,1857289,1759930,93970,0,26091,2009757,64263,-160705,58307,133.49,203.39,8437000,1759930,408198,587394,0.8338,0
11102018,1110,M1100,2018,0,0,0,9247751,9365291,735613,8512138,2029986,412748,49985,216383,214502,1676187,1716725,1478515,1531733,103957,0,20978,2136831,72308,15927,65589,142.43,133.49,9695400,1531733,560186,408198,0.7943,0
11102019,1110,M1100,2019,0,0,0,9740348,9247751,1169364,8570984,2026192,661655,200000,226093,207931,1584940,1676187,1716725,1502651,90798,0,16140,2114087,48085,177772,33243,185.05,142.43,9981400,1502651,650957,560186,0.7929,0
11102020,1110,M1100,2020,0,0,0,9865320,9740348,1316601,8548719,1963779,723920,235000,249698,176743,1590986,1584940,1676187,1523614,97945,0,15073,2093199,13556,110709,16949,225.77,185.05,10238800,1523614,884310,650957,0.8009,0
11102021,1110,M1100,2021,0,0,0,10958500,9865320,2247791,8710709,2053373,1683431,1321969,1201139,419504,1846785,1590986,1584940,1712217,122514,0,35069,2176233,160230,266604,133811,214.06,225.77,11583000,1712217,841074,884310,0.7973,0
11102022,1110,M1100,2022,0,0,0,11989689,10958500,3263021,8726668,2486102,2381025,1949705,1580344,296374,1794015,1846785,1590986,1672736,152778,0,28258,2211351,127687,-276638,108124,226.81,214.06,10696400,1672736,1016152,841074,0.8043,0
12592017,1259,M2700,2017,0,0,0,2953839,2760223,1172906,1780933,2388168,1147051,0,404679,1772857,4919312,4663585,4424550,3630812,1107859,0,681727,617583,195669,395572,148712,-18.53,-15.3,2895577,3630812,45853,42218,0.7763,1
12592018,1259,M2700,2018,0,0,0,2950308,2953839,1161452,1788856,2358449,1136192,0,424793,1748383,5252104,4919312,4663585,3894871,1189575,0,760346,661867,172099,386097,121020,-19.38,-18.53,2098807,3894871,41932,45853,0.7727,1
12592019,1259,M2700,2019,0,0,0,4570443,2950308,2707573,1862870,2372633,1515894,0,430702,1763169,5484492,5252104,4919312,4061543,1248776,0,805236,710470,197692,784987,147231,-16.73,-19.38,2493953,4061543,48018,41932,0.78,1
12592020,1259,M2700,2020,0,0,0,4663025,4570443,2723534,1939491,2164441,1518754,0,396480,1501036,5342094,5484492,5252104,3948616,1266515,0,805294,764172,199526,891024,150438,-13.56,-16.73,2267230,3948616,58423,48018,0.7353,1
12592021,1259,M2700,2021,0,0,0,5286602,4663025,3195312,2091290,1983652,1628994,0,440015,1046751,5034182,5342094,5484492,3796202,1245633,0,811162,803965,129478,749596,88945,-16.05,-13.56,2218647,3796202,64392,58423,0.7379,1
12592022,1259,M2700,2022,0,0,0,5324339,5286602,3318793,2005546,1972271,1713760,0,539135,1078902,5725450,5034182,5342094,4272622,1332309,0,873456,863364,164878,1028016,117951,-18.09,-16.05,2383830,4272622,78469,64392,0.7493,1
12622017,1262,M9900,2017,0,0,0,12237482,11967899,1358124,10879358,3713398,1267992,91090,7996514,1009497,6296238,6923191,6220279,4901796,410826,60224,145840,4979125,1015575,1258489,765443,19.48,1.27,10568745,4901796,176008,218707,0.8837,#N/A
12622018,1262,M9900,2018,0,0,0,11128398,12237482,921294,10207104,1563842,918833,134260,9249072,231222,3859452,6296238,6923191,3881351,380472,70014,117092,4485834,-514519,262471,-444286,38.17,19.48,5831595,3881351,158762,176008,0.8795,#N/A
12682017,1268,M2700,2017,0,0,0,3213208,2605655,1306125,1907083,2047324,1215225,62671,702942,585782,3343960,3166484,2896411,1918465,1151052,16130,920805,464873,327122,265684,265594,-17.96,-21.2,5394722,1918465,83570,68284,0.6795,1
12682018,1268,M2700,2018,0,0,0,2776619,3213208,1279454,1497165,1628012,1196537,0,738689,399961,3565658,3343960,3166484,2029403,1284513,17980,1029840,230666,304472,342137,234445,-8.15,-17.96,4615195,2029403,125456,83570,0.9964,1
12682019,1268,M2700,2019,0,0,0,4114909,2776619,2564787,1550122,1963423,1388034,0,746866,506615,3775225,3565658,3343960,2109772,1322946,18030,1069796,346327,387176,660490,288074,-5.45,-8.15,5290106,2109772,123429,125456,0.7396,1
12682020,1268,M2700,2020,0,0,0,4527174,4114909,2795853,1731321,2054856,1431800,0,788930,682441,3459267,3775225,3565658,1962528,1335092,18014,1085198,652090,343090,622798,279713,-9.2,-5.45,4903990,1962528,116566,123429,0.8157,1
12682021,1268,M2700,2021,0,0,0,4662620,4527174,2666065,1996555,2273137,1463602,0,914189,1175840,2929855,3459267,3775225,1762184,1233898,19034,1008698,456392,116791,423533,75343,-9.78,-9.2,4784976,1762184,148787,116566,0.8098,1
12682022,1268,M2700,2022,0,0,0,6282870,4662620,4432415,1850455,2162752,1569438,0,1056774,824450,3756874,2929855,3459267,2229816,1497629,18613,1251503,400743,166109,603988,130052,-7.91,-9.78,5532629,2229816,172604,148787,0.821,1
13012017,1301,M1300,2017,0,0,0,476071036,455666072,131060870,345010166,184212236,71274256,78517291,69094450,18165145,206709755,180173192,191545395,173240579,11530980,968395,5778400,182149818,56432145,46070154,49382853,36.72,37.85,628298538,173240579,17617600,17140140,0.7671,1
13012018,1301,M1300,2018,0,0,0,501513267,476071036,145945266,355568001,184262229,83051141,90083181,76618563,23310772,230370027,206709755,180173192,193061959,11966756,1138174,6115295,198382191,58572416,50507277,49549540,38.39,36.72,642939740,193061959,20756740,17617600,0.8001,1
13012019,1301,M1300,2019,0,0,0,497087959,501513267,147934639,349153320,175616860,89283378,95796752,85635983,18165952,207848572,230370027,206709755,175734622,11917584,1246402,6071615,198347860,43578266,46580428,37324162,42.5,38.39,635300852,175734622,18269476,20756740,0.8123,1
13012020,1301,M1300,2020,0,0,0,479280423,497087959,146744283,332536140,165635760,68255027,91230319,86785954,14145110,185813405,207848572,230370027,156759121,11955069,1068377,5887957,190229876,25373655,31444453,20036199,41.51,42.5,613657336,156759121,16681271,18269476,0.8124,1
13012021,1301,M1300,2021,0,0,0,543678922,479280423,140488648,403190274,189262221,74541216,69849446,97343039,13715454,273598301,185813405,207848572,197437397,15996911,1713289,8667267,246258845,86747253,57859343,71355311,38.93,41.51,662036960,197437397,24525572,16681271,0.7944,1
13012022,1301,M1300,2022,0,0,0,511254407,543678922,153569544,357684863,160820260,95863320,93097341,107315483,17110163,251647354,273598301,185813405,209088610,15759527,1893058,8528229,230270354,44831441,56801615,36142868,46.82,38.93,552546232,209088610,22411798,24525572,0.8027,1
13032017,1303,M1300,2017,1,0,0,544071389,537184804,176851630,367219759,212066791,79681194,101367913,132901898,44304079,306139952,275294431,299781414,256205610,20117506,0,9864939,208480444,64403256,41140545,53974776,87.62,89.06,617810956,256205610,40731138,35385614,0.7604,1
13032018,1303,M1300,2018,1,0,0,570249344,544071389,183344352,386904992,210274541,81791547,108049938,140907261,52365882,333061560,306139952,275294431,284054265,19642812,0,10261727,220788020,63248655,55558814,52658851,90.33,87.62,598776986,284054265,49040842,40731138,0.7767,1
13032019,1303,M1300,2019,1,0,0,554678679,570249344,199107979,355570700,187476346,83516150,126564423,156095364,43608119,286303059,333061560,306139952,258172796,18251842,0,9661546,204105146,28309458,52299353,23209523,98.64,90.33,577363769,258172796,41567752,49040842,0.7931,1
13032020,1303,M1300,2020,1,0,0,584712347,554678679,228125869,356586478,208837816,119887338,147672784,173463751,55973617,273353806,286303059,333061560,233757221,18375808,0,9495134,212630726,31754059,41633569,26888091,100.76,98.64,570226030,233757221,41156747,41567752,0.7871,1
13032021,1303,M1300,2021,1,1,1,668695386,584712347,239954616,428740770,255907403,113979077,140121908,184787735,74549426,411670391,273353806,286303059,307825271,22845268,0,12935585,273458343,104971652,78876308,84832825,83.23,100.76,677292113,307825271,57566457,41156747,0.7729,1
13032022,1303,M1300,2022,1,0,1,665316156,668695386,271214726,394101430,243213654,170563237,174371415,211967022,89444513,355183300,411670391,273353806,301276564,21878561,0,12147990,247505467,49856988,75296335,38484719,98.26,83.23,563088291,301276564,52985302,57566457,0.7936,1
13042017,1304,M1300,2017,1,0,0,64393851,61995475,29585432,34808419,30484428,12863294,19129689,23758495,8473862,58133943,53101997,52373585,51007011,3749265,388920,2038049,6738561,3725527,4331383,2712050,68.86,75.46,19113446,51007011,6857754,6669407,0.5178,1
13042018,1304,M1300,2018,1,0,0,68991038,64393851,32536329,36454709,30099382,14651784,23376866,23825239,8123304,60892513,58133943,53101997,55097773,3861941,421600,2048027,6814829,2766822,2220104,1868349,70.35,68.86,14146280,55097773,6703104,6857754,0.5535,1
13042019,1304,M1300,2019,1,0,0,71425786,68991038,32248839,39176947,28020172,12634382,23096043,23228911,7927403,55656741,60892513,58133943,48924372,3800636,416083,2042577,7756919,3646592,6072493,2541226,71.55,70.35,16464368,48924372,4919506,6703104,0.5078,1
