Code,Mcode,subclass,Industry,AvgTotalAsset,RPA
5609,8367,83,M2600,15.67249891,1
2337,3034,84,M2324,17.97046884,1
2340,3413,85,M2324,16.17898004,1
2454,2303,86,M2324,20.0306532,1
3545,4966,1,M2324,16.52587089,1
5347,3105,2,M2324,17.73114878,1
8028,5285,3,M2324,15.40813412,1
2345,5388,4,M2327,17.1901938,1
3025,8176,5,M2327,13.81776769,1
3045,2412,6,M2327,18.94969144,1
4979,3234,7,M2327,14.64008649,1
6216,5353,8,M2327,14.36187125,1
6218,4908,9,M2327,14.30052981,1
6263,2444,10,M2327,14.34276331,1
2489,3019,11,M2326,16.79339514,1
3297,2429,12,M2326,13.66888052,1
3434,6560,13,M2326,13.18046863,1
3481,2409,14,M2326,19.81518637,1
3535,8049,15,M2326,14.63993611,1
3563,3615,16,M2326,15.01617315,1
5371,6116,17,M2326,17.76873156,1
2414,6281,18,M2329,15.80054715,1
3702,3036,19,M2329,19.27838578,1
2468,4994,20,M2330,14.4155491,1
2480,5203,21,M2330,15.49413945,1
3029,2427,22,M2330,15.52199148,1
3147,8416,23,M2330,14.32331063,1
5202,5210,24,M2330,13.62551239,1
6112,2453,25,M2330,15.88543271,1
6183,4953,26,M2330,14.95874878,1
6214,5403,27,M2330,16.94881619,1
6221,5410,28,M2330,14.88093761,1
8099,6123,29,M2330,14.82724036,1
2903,2915,30,M2900,18.60650268,1
