CompanyCode,CompanyName,ReportReason,Industry,AssuranceType,ReportURL,ReleaseDate,RPA_Count
1802,台玻,5.股本達新臺幣五十億元以上者,玻璃陶瓷,會計師事務所：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1802_109.pdf,110/10/01,0
1904,正隆,5.股本達新臺幣五十億元以上者,造紙工業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1904_109.pdf,110/06/23,0
1905,華紙,5.股本達新臺幣五十億元以上者,造紙工業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1905_109.pdf,110/06/28,0
1907,永豐餘,5.股本達新臺幣五十億元以上者,造紙工業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1907_109.pdf,110/06/28,0
1909,榮成,5.股本達新臺幣五十億元以上者,造紙工業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1909_109.pdf,110/07/12,0
2002,中鋼,5.股本達新臺幣五十億元以上者,鋼鐵工業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2002_109.pdf,110/06/30,0
2006,東和鋼鐵,5.股本達新臺幣五十億元以上者,鋼鐵工業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2006_109.pdf,110/06/29,0
2007,燁興,5.股本達新臺幣五十億元以上者,鋼鐵工業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2007_109.pdf,110/05/05,0
2010,春源,5.股本達新臺幣五十億元以上者,鋼鐵工業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2010_109.pdf,110/06/25,0
2013,中鋼構,6.係自願編製與申報,鋼鐵工業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2013_109.pdf,110/09/28,0
