Test,代號,名稱,FY,Page
,2891,中信金,107,135
,2891,中信金,109,136
,2891,中信金,109,140
,2891,中信金,111,14
,2891,中信金,111,156
,2891,中信金,111,159
,2891,中信金,110,151
,2891,中信金,110,154
,2891,中信金,110,155
,2892,第一金,111,5
,2892,第一金,110,78
,2892,第一金,110,79
,2903,遠百,111,31
,2903,遠百,111,37
,2936,客思達-KY,110,62
,3005,神基,107,41
,3005,神基,108,46
,3025,星通,109,102
,3029,零壹,107,55
,3044,健鼎,107,4
,3044,健鼎,107,34
,3045,台灣大,110,104
,3147,大綜,110,86
,3147,大綜,111,6
,3147,大綜,111,79
,3147,大綜,109,65
,3147,大綜,109,75
,3163,波若威,111,71
,3211,順達,111,35
,3297,杭特,109,13
,3406,玉晶光,108,41
,3434,哲固,110,52
,3465,進泰電子,109,9
,3465,進泰電子,107,8
,3465,進泰電子,108,8
,3465,進泰電子,106,9
,3465,進泰電子,110,9
,3465,進泰電子,111,9
,3481,群創,111,11
,3483,力致,111,32
,3483,力致,110,35
,3529,力旺,110,10
,3529,力旺,111,10
,3535,晶彩科,108,67
,3545,敦泰,111,36
,3552,同致,106,46
,3552,同致,106,51
,3552,同致,107,52
,3552,同致,108,54
,3552,同致,109,56
,3552,同致,110,57
,3552,同致,111,58
,3563,牧德,111,36
,3563,牧德,111,37
,3645,達邁,109,48
,3652,精聯,110,42
,3652,精聯,110,43
,3652,精聯電子股份有限公司,110,42
,3652,精聯電子股份有限公司,110,43
,3687,歐買尬,108,101
,3702,大聯大,110,100
,3706,神達,107,5
,3706,神達,109,6
,3708,上緯投控,111,34
,4188,安克,109,55
,4433,興采,110,37
,4534,慶騰,111,60
,4536,拓凱,109,71
,4536,拓凱,109,72
,4721,美琪瑪,109,16
,4971,IET-KY,107,12
,4971,IET-KY,108,12
,4971,IET-KY,110,13
,4971,IET-KY,111,14
,4979,華星光,111,12
,5202,力新,108,91
,5202,力新,108,93
,5202,力新,108,96
,5202,力新,109,20
,5202,力新,109,91
,5202,力新,109,94
,5202,力新,110,20
,5202,力新,110,115
,5202,力新,110,118
,5202,力新,111,6
,5202,力新,111,14
,5202,力新,111,101
,5202,力新,111,103
,5202,力新,107,8
,5202,力新,107,95
,5202,力新,107,98
,5202,力新,107,100
,5278,尚凡,110,36
,5288,豐祥-KY,111,75
,5328,華容,111,73
,5347,世界,109,7
,5347,世界,110,7
,5371,中光電,111,37
,5609,中菲行,108,77
,5609,中菲行,111,5
,5609,中菲行,111,7
,5609,中菲行,111,8
,5609,中菲行,111,85
,5609,中菲行,111,90
,5609,中菲行,109,61
,5609,中菲行,109,80
,5609,中菲行,110,7
,5609,中菲行,110,8
,5609,中菲行,110,80
,5703,亞都,110,47
,5876,上海商銀,111,107
,5876,上海商銀,111,110
,5876,上海商銀,110,6
,5876,上海商銀,110,36
,5876,上海商銀,110,90
,5876,上海商銀,110,93
,5876,上海商銀,110,95
,5880,合庫金,108,77
,5880,合庫金,110,82
,5880,合庫金,111,82
,5880,合庫金,109,7
,5880,合庫金,109,79
,5903,全家,108,45
,5903,全家,109,48
,6015,宏遠證,111,115
,6015,宏遠證,111,116
,6015,宏遠證,110,116
,6015,宏遠證,110,117
,6015,宏遠證,108,95
,6015,宏遠證,108,96
,6015,宏遠證,109,96
,6015,宏遠證,109,97
,6023,元大期,109,154
,6023,元大期,110,165
,6023,元大期,111,7
,6023,元大期,111,148
,6112,邁達特,107,60
,6112,邁達特,111,39
,6112,邁達特,111,54
,6173,信昌電,107,80
,6173,信昌電,108,81
,6183,關貿,111,8
,6183,關貿,111,9
,6183,關貿,111,10
,6183,關貿,111,85
,6183,關貿,111,88
,6183,關貿,111,89
,6183,關貿,111,90
,6203,海韻電,109,32
,6214,精誠,108,10
,6214,精誠,109,11
,6214,精誠,111,11
