代號,名稱,Year,Industry,Key,RPA,RPA_Ctd,LN_RPA_Count,RPA_Count,Finance,KY,BM,ABSDA,DA,LGTA,LEV,OCF,MTB
1110,東泥,2021,M1100,11102021,0,0,0,0,0,0,0.781749775,0.00569195,-0.00569195,16.20962597,0.205118492,0.024328512,1.279181692
1110,東泥,2020,M1100,11102020,0,0,0,0,0,0,0.97873522,0.009880184,-0.009880184,16.10453613,0.133457506,0.011222038,1.021726796
1110,東泥,2019,M1100,11102019,0,0,0,0,0,0,0.938860374,0.014891559,-0.014891559,16.0917874,0.120053616,0.018251093,1.065121106
1110,東泥,2018,M1100,11102018,0,0,0,0,0,0,0.915774408,0.005107266,0.005107266,16.03989094,0.07954507,0.001722257,1.091971987
1110,東泥,2017,M1100,11102017,0,0,0,0,0,0,1.095663978,0.021992877,0.021992877,16.05252097,0.083871606,-0.017159638,0.91268858
1201,味全,2022,M1200,12012022,0,0,0,0,0,0,0.71281831,0.005754391,0.005754391,16.68387674,0.589245617,0.048197927,1.402882033
1201,味全,2021,M1200,12012021,0,0,0,0,0,0,0.716090885,0.003388347,0.003388347,16.70360717,0.607326906,0.063499306,1.396470785
1201,味全,2020,M1200,12012020,0,0,0,0,0,0,0.673995096,0.031259979,-0.031259979,16.70763195,0.619788702,0.103907984,1.483690321
1201,味全,2019,M1200,12012019,0,0,0,0,0,0,0.675588707,0.030823626,0.030823626,16.76503883,0.636392327,0.07479904,1.480190521
1201,味全,2018,M1200,12012018,0,0,0,0,0,0,0.434325149,0.032373696,0.032373696,16.87152372,0.708114182,0.029750742,2.302422511
1201,味全,2017,M1200,12012017,0,0,0,0,0,0,0.744271252,0.022540147,0.022540147,17.30784707,0.762407539,0.02992976,1.343596165
1203,味王,2022,M1200,12032022,0,0,0,0,0,0,0.613759987,0.092092967,0.092092967,16.11819225,0.342505614,0.018489214,1.62930139
1203,味王,2021,M1200,12032021,0,0,0,0,0,0,0.8235088,0.002917357,-0.002917357,16.07547402,0.347637455,0.100709202,1.214316107
1203,味王,2020,M1200,12032020,0,0,0,0,0,0,0.836032793,0.016774998,-0.016774998,16.04891726,0.323547875,0.116215201,1.19612533
1203,味王,2019,M1200,12032019,0,0,0,0,0,0,0.996468834,0.054532609,0.054532609,16.05887905,0.340524472,0.047228093,1.003543679
1203,味王,2018,M1200,12032018,0,0,0,0,0,0,1.08785672,0.022517862,0.022517862,16.01550962,0.348515818,0.080642504,0.919238703
1203,味王,2017,M1200,12032017,0,0,0,0,0,0,1.124693816,0.01759961,0.01759961,16.03387467,0.389806186,0.089647934,0.889130878
1210,大成,2022,M1200,12102022,0,0,0,0,0,0,0.623690488,0.031027191,0.031027191,17.94813823,0.536485066,0.037536684,1.603359389
1210,大成,2021,M1200,12102021,0,0,0,0,0,0,0.739989808,0.019754824,-0.019754824,17.85385127,0.511042349,0.07547166,1.351369964
