Mkey,Key,YEAR,Trade,Industry,RPA,POST_RPA,POST,BIG4,SEO,INST,SG,CYCLE,CL,ZSCORE,INSTt,MS,LGTA,BM.x,LEV,OCF,MTB,Age,ESG,RD,ADV,NOA,Code,YICounts,Year.y,Equity,Asset,PPE,NI_Ctd,NI_Ctd_1,NI,NI_1,EBITDA,EBITDA_1,OCF.y,S,AR,Asset_1,S_1,AR_1,S_2,EXP,PROD,DA,DA1,DA2,ABCFO,ABPROD,ABEXP,AC,A1,A21,A2,A3,A4,A6,ROA,Median_ROA,ADJROA,CFO,R1,R2,R3,R4,R5
14092019,14022019,2019,TSE,M1400,1,1,1,1,0,0.8536,0.085888267,66.95,0.199486623,1.253136547,0.8678,0.440085892,20.17175658,2.192344354,0.529021447,0.076290288,0.456132723,4.234106505,65.11,0.004245387,0.075198794,0.814568717,1402,49,2019,271321183,576079699,163017162,16435163,18391602,15152339,16992534,48412380,44848286,43949286,250146590,26486590,565589420,228661933,29347392,217846948,0.054787961,0.350857871,-0.030279153,-0.029575264,-0.018147723,0.040567282,-0.014742828,0.009720298,-0.048646813,1.77E-09,0.037986313,0.043044403,0.288225268,0.02905847,0.077705283,0.02905847,0.014462158,0.014596312,0.077705283,1.77E-09,0.442275936,0.037986313,0.019121618,0.404289622
14092020,14022020,2020,TSE,M1400,1,1,1,1,0,0.8678,-0.209786042,63.82,0.17347363,1.05350469,0.8294,0.431444827,20.24030708,1.800812087,0.563299557,0.067248725,0.555305024,4.234106505,67.4,0.00419218,0.090813199,0.87124502,1402,50,2020,269424640,616955270,162659904,12980539,16435163,10762085,15152339,44815495,48412380,41489455,206769281,26788957,576079699,250146590,26486590,228661933,0.052759922,0.279810744,-0.035840386,-0.029996844,-0.030650804,0.039807247,-0.015124544,0.006408745,-0.049487798,1.74E-09,-0.075297409,-0.07582228,0.282356598,0.02253254,0.072020339,0.02253254,0.004215592,0.018316948,0.072020339,1.74E-09,0.358924783,-0.075297409,0.037294591,0.434222193
14092021,14022021,2021,TSE,M1400,1,1,1,1,0,0.8294,0.134154531,61.26,0.195397337,1.114578749,0.839,0.413339222,20.26965131,1.733754103,0.575943302,0.057258304,0.576783062,4.234106505,64.71,0.003685294,0.096512692,0.818571854,1402,51,2021,269414918,635327585,165089960,14844485,12980539,13895357,10762085,48069821,44815495,36377780,238806217,29336993,616955270,206769281,26788957,250146590,0.056719504,0.355533885,-0.065479522,-0.069593332,-0.062485303,0.062500182,-0.003247932,0.035245792,-0.034902522,1.62E-09,0.051927486,0.047797468,0.267588216,0.024060877,0.058963399,0.024060877,0.027212733,-0.003151856,0.058963399,1.62E-09,0.387072173,0.051927486,-0.070308677,0.335144687
14092022,14022022,2022,TSE,M1400,1,1,1,1,0,0.839,0.095240877,74.72,0.240501497,1.102265517,0.8335,0.418097964,20.3043475,1.583543023,0.586972543,0.058548672,0.631495315,4.234106505,63.43,0.003750606,0.089364441,0.807045864,1402,51,2022,271672077,657757910,172053588,13341150,14844485,14270748,13895357,48214572,48069821,38510852,263944525,29095332,635327585,238806217,29336993,206769281,0.057064486,0.344553179,-0.012056734,-0.011294004,-0.009643192,0.028001768,-0.025959572,0.014118721,-0.039616888,1.57E-09,0.039567474,0.039947847,0.270810826,0.020998852,0.06061574,0.020998852,0.022029319,-0.001030467,0.06061574,1.57E-09,0.415446348,0.039567474,0.050425854,0.375878874
14452017,14542017,2017,TSE,M1400,1,0,0,1,0,0.2218,0.01909361,151.42,0.246179077,2.489269927,0.2253,0.003599207,14.62156357,1.640976426,0.284292065,0.007625992,0.609393276,3.912023005,41.86,0.003534384,0.046597785,0.821298331,1454,48,2017,1602508,2239053,850213,18888,53111,16980,53111,96034,146609,17075,1890004,217125,2143013,1853917,216783,2069544,0.065117664,0.810919486,0.010741453,0.013515151,0.020558423,-0.032973144,0.013310148,-0.032649182,0.000846005,0.000000467,0.016839375,0.016679787,0.396737211,0.008813759,0.007967754,0.008813759,0.020275882,-0.011462123,0.007967754,0.000000467,0.88193772,0.016839375,-0.100618615,0.865098345
14452018,14542018,2018,TSE,M1400,1,0,0,1,0,0.2253,0.029724756,151.22,0.207951721,2.856977982,0.2281,0.003420442,14.53023966,1.556211651,0.246742443,0.070007678,0.642586116,3.912023005,41.19,0.004374957,0.047074164,0.751720035,1454,49,2018,1539382,2043633,825155,20161,18888,21208,16980,81612,96034,143070,1947905,171073,2239053,1890004,217125,1853917,0.064726025,0.801378529,-0.043525249,-0.0445808,-0.031877678,0.021044151,0.03423185,-0.019657298,-0.054893296,0.000000447,0.025859593,0.046427217,0.36852857,0.009004253,0.06389755,0.009004253,0.020052247,-0.011047994,0.06389755,0.000000447,0.869968241,0.025859593,0.016117082,0.844108648
14452019,14542019,2019,TSE,M1400,1,0,0,1,0,0.2281,-0.022775185,141.71,0.216471818,2.691981796,0.2375,0.003350661,14.53049066,1.51475787,0.25454493,0.063682829,0.660171516,3.912023005,43.42,0.006553851,0.052803081,0.797093705,1454,49,2019,1523819,2044146,795269,34898,20161,32792,21208,108356,81612,130177,1904529,189774,2043633,1947905,171073,1890004,0.081979494,0.815301475,-0.009249427,-0.009915385,-0.009167218,0.009677481,0.021822003,-0.009782589,-0.046622363,0.000000489,-0.021224946,-0.030375806,0.389144724,0.017076452,0.063698815,0.017076452,0.014462158,0.002614294,0.063698815,0.000000489,0.931932984,-0.021224946,0.028332386,0.95315793
14452020,14542020,2020,TSE,M1400,1,0,0,1,0,0.2375,-0.580616435,137.98,0.205682367,2.473719424,0.256,0.002514203,14.50474911,1.164538816,0.233466252,0.085814261,0.858709033,3.912023005,44.37,0.007237777,0.055121965,0.763449382,1454,50,2020,1527087,1992198,779815,-38295,34898,-38230,32792,12817,108356,170959,1204928,122630,2044146,1904529,189774,1947905,0.062646699,0.510792771,0.002520427,-0.013935043,-0.029836907,0.032926816,-0.00186226,-0.032625667,-0.102367443,0.000000489,-0.342246102,-0.309399133,0.381486939,-0.018733985,0.083633459,-0.018733985,0.004215592,-0.022949577,0.083633459,0.000000489,0.589453004,-0.342246102,-0.021219619,0.931699106
14452021,14542021,2021,TSE,M1400,1,1,1,1,0,0.256,0.234878421,172.38,0.182841087,4.123662515,0.2476,0.002725785,14.53527679,0.993676688,0.213593008,-0.01630271,1.006363551,3.912023005,44.55,0.005564449,0.047980752,0.714886773,1454,51,2021,1615243,2053953,726964,5133,-38295,4443,-38230,66658,12817,-33485,1574819,151366,1992198,1204928,122630,1904529,0.069871569,0.760412871,0.002508237,0.005778693,0.027928759,-0.025104436,0.003311864,-0.027271737,0.019384619,0.000000502,0.185669798,0.171245529,0.364905496,0.002576551,-0.016808068,0.002576551,0.027212733,-0.024636182,-0.016808068,0.000000502,0.790493214,0.185669798,-0.351170416,0.604823416
14452022,14542022,2022,TSE,M1400,1,1,1,1,0,0.2476,0.123288686,128.15,0.197363743,3.912648515,0.2398,0.002845374,14.52950786,0.734532581,0.217312444,0.061360692,1.361409999,3.912023005,38.3,0.004891776,0.050315096,0.788947459,1454,51,2022,1598356,2042138,796175,32191,5133,32926,4443,120972,66658,125307,1796280,144453,2053953,1574819,151366,1204928,0.078502283,0.783319774,0.005310571,0.007464306,0.012496412,-0.037685599,0.052105466,-0.018653591,-0.04533502,0.000000487,0.107821844,0.111187549,0.387630584,0.015672705,0.061007725,0.015672705,0.022029319,-0.006356613,0.061007725,0.000000487,0.874547762,0.107821844,0.180087373,0.766725918
14192017,14602017,2017,TSE,M1400,1,1,1,1,0,0.5502,0.004151363,202.83,0.461019944,1.546507524,0.5464,0.016848087,16.29094314,0.657811401,0.591597369,0.003394592,1.520192564,3.555348061,61.3,0.034170192,0.078583609,0.987695928,1460,48,2017,4854620,11886848,5378453,215146,524427,215146,524427,852823,1175393,40351,8847214,1376279,9816831,8810486,1192178,8190873,0.14070121,0.76199682,0.042933616,0.043228854,0.033243111,-0.050660242,0.002808608,0.044661596,0.017805644,0.000000102,0.00374133,-0.015012278,0.547880777,0.021916034,0.00411039,0.021916034,0.020275882,0.001640152,0.00411039,0.000000102,0.901229124,0.00374133,0.063117415,0.897487794
14192018,14602018,2018,TSE,M1400,1,1,1,1,0,0.5464,0.059345296,211.31,0.496606523,1.360506988,0.5219,0.016515465,16.34030853,0.774719225,0.586979952,0.026355237,1.290790221,3.555348061,59.95,0.028453505,0.075179214,0.892921488,1460,49,2018,5157948,12488372,6132633,157357,215146,157357,215146,936534,852823,329134,9405379,1186936,11886848,8847214,1376279,8810486,0.122220037,0.686796786,0.001251069,0.000209053,0.022947941,-0.023781825,-0.000903272,0.051391873,-0.014451013,8.41E-08,0.046956519,0.0628853,0.515917508,0.013237908,0.027688921,0.013237908,0.020052247,-0.006814339,0.027688921,8.41E-08,0.791242472,0.046956519,0.003089801,0.744285954
14192019,14602019,2019,TSE,M1400,1,1,1,1,0,0.5219,-0.061120803,211.06,0.412215073,1.044131284,0.5107,0.015593885,16.4199096,0.757665357,0.642083958,0.002334968,1.3198439,3.555348061,59.73,0.02968119,0.072971031,0.893466338,1460,49,2019,4840133,13523096,6302525,-271956,157357,-271956,157357,722255,936534,31576,8863627,1138681,12488372,9405379,1186936,8847214,0.114300807,0.618251362,0.060759099,0.060382812,0.083116803,-0.045614466,0.006208814,0.043474887,-0.02430517,8.01E-08,-0.043380514,-0.03951652,0.504671466,-0.021776738,0.002528432,-0.021776738,0.014462158,-0.036238895,0.002528432,8.01E-08,0.709750398,-0.043380514,0.044694777,0.753130913
14192020,14602020,2020,TSE,M1400,1,1,1,1,0,0.5107,-0.206941102,236.54,0.460513733,0.626359224,0.5142,0.015323735,16.42301058,0.59870109,0.719403386,-0.02320765,1.670282578,3.555348061,62.15,0.030214967,0.100077384,0.795363577,1460,50,2020,3806320,13565096,5740814,-936989,-271956,-936989,-271956,-73395,722255,-314814,7343877,1340899,13523096,8863627,1138681,9405379,0.105331871,0.494020674,-0.016391606,-0.008499571,0.050882249,-0.068993093,0.033512674,0.039141589,-0.046008325,7.39E-08,-0.11238181,-0.127335338,0.424519208,-0.069288054,-0.023279728,-0.069288054,0.004215592,-0.073503646,-0.023279728,7.39E-08,0.543061811,-0.11238181,-0.04006124,0.65544362
14192021,14602021,2021,TSE,M1400,1,1,1,1,1,0.5142,0.266106431,280.29,0.43709032,1.498697466,0.4994,0.017320216,16.4970629,1.320789025,0.533340038,-0.035800649,0.75712319,3.555348061,58.85,0.022748084,0.085838205,0.869379914,1460,51,2021,6816853,14607752,5453756,181871,-936989,175886,-936989,1133932,-73395,-522967,10006733,1964662,13565096,7343877,1340899,8863627,0.113634581,0.674761019,0.023190019,0.031716111,0.05432839,-0.052990494,0.000490298,0.061748541,0.051959677,7.37E-08,0.196302039,0.150319098,0.402043303,0.013407277,-0.038552399,0.013407277,0.027212733,-0.013805456,-0.038552399,7.37E-08,0.737682431,0.196302039,-0.112033855,0.541380393
14192022,14602022,2022,TSE,M1400,1,1,1,1,0,0.4994,-0.020284702,260.68,0.426232981,1.311834207,0.5075,0.015535897,16.52206097,1.103900477,0.528979831,0.022521819,0.905878764,3.555348061,63.43,0.024314868,0.079586573,0.857577812,1460,51,2022,7054714,14977520,5625211,21842,181871,38326,175886,1054146,1133932,337321,9807785,1203790,14607752,10006733,1964662,7343877,0.109410675,0.584824071,0.023759665,0.022277393,0.02748388,-0.035897794,-0.013088588,0.038636795,-0.021596684,6.85E-08,-0.013619344,0.038467521,0.385083961,0.001495233,0.023091917,0.001495233,0.022029319,-0.020534085,0.023091917,6.85E-08,0.671409605,-0.013619344,0.182290608,0.685028949
14172017,14662017,2017,TSE,M1400,1,0,0,0,0,0.1858,0.073109285,91.96,0.26621874,1.775874136,0.2202,0.007552933,15.11997672,1.654856079,0.527865511,0.031051998,0.604282156,3.555348061,59.19,0.006906155,0.039945065,0.801249504,1466,48,2017,1740156,3685721,1870703,-2961,-101282,675,-77178,216594,44412,114449,3966172,574390,3597108,3676208,523565,4068290,0.067849784,1.063165743,-0.003635415,0.001773898,0.008805255,-0.031607523,0.047645085,-0.043275676,-0.03264011,0.000000278,0.080610313,0.066480906,0.520057502,-0.000823161,0.031816949,-0.000823161,0.020275882,-0.021099043,0.031816949,0.000000278,1.1026002,0.080610313,-0.108999229,1.021989887
