"","X","Code","Key","CFO","PROD","EXP","A1","A2","A3","A4","A5","ABCFO","ABPROD","ABEXP"
"1",1,1101,11012022,0.0139930293555949,0.236244932891122,0.0190675196322632,2.26405922422115e-09,0.257943601782104,0.0155954150074782,-0.0165860337445032,0.242348186774625,-0.033242053850064,0.0984092203402732,-0.0694566377688451
"2",2,1102,11022022,0.0482836712392343,0.250323617050838,0.0100430469917925,3.15401626959552e-09,0.287400598535775,-0.0091847603144288,0.0444564207348449,0.296585358850204,0.000743110529286563,0.085847671211851,-0.0821897688060125
"3",3,1103,11032022,-0.00973564892023139,0.0527005414552019,0.0131176848060027,2.48461705255792e-08,0.0559947958205064,0.000829986326406975,0.00402102969934817,0.0551648094940994,-0.0493015722512372,0.09480972478114,-0.0631241949284745
"4",4,1104,11042022,0.0403663459859579,0.226701572015772,0.0209273508813188,3.98456824533401e-08,0.28114272795177,0.0389165608298931,0.0260148476169612,0.242226167121877,-0.00770037199073923,0.0727389017283194,-0.0683459618563394
"5",5,1108,11082022,0.0801661586901293,0.392761365430984,0.0347940923012643,1.24351661524725e-07,0.515966504636452,0.0472823566132079,-0.0946502671695448,0.468684148023244,0.0252122817590375,0.0247506487589052,-0.0715924122401365
"6",6,1109,11092022,0.127654585469835,0.439107631846438,0.0289352262302983,8.54529583600552e-08,0.545902381103958,-0.0845891144039934,-0.0183779404897053,0.630491495507952,0.0747019503643882,0.0321141459634943,-0.0876779111885147
"7",7,1110,11102022,-0.0252441483779714,0.152642788702833,0.0139415065930556,9.12533649678332e-08,0.163709905552767,-0.00481544006935256,0.0233425195054068,0.16852534562212,-0.0672607943152986,0.0987230265249538,-0.071352749012744
"8",8,1201,12012022,0.0472562814137506,0.805986426709499,0.287535050487513,5.56820962126486e-08,1.11212915306307,0.00862905445007415,0.064980505141295,1.10350009861299,-0.0280927697496748,-0.0934142790214494,0.139334741493154
"9",9,1203,12032022,0.019296153218824,0.475895044203959,0.103521863634186,1.04354297868282e-07,0.666360317232891,0.0585134375464051,-0.0228391903400479,0.607846879686486,-0.0414268510279494,-0.022397159095517,-0.0119313140025733
"10",10,1210,12102022,0.0412481251805635,1.79683921615494,0.146311552201548,1.76266958423736e-08,1.99705680008842,0.209042812247663,0.348778549298255,1.78801398784075,-0.0704816853962812,0.140795403715411,-0.0477014268204854
"11",11,1213,12132022,0.00872421298621724,0.361413614617064,0.0494722367685145,8.90589320765337e-07,0.350844991147542,-0.0306897079935735,0.0167386262837845,0.381534699141116,-0.0260723076284832,0.139102866152068,-0.0664274760133111
"12",12,1215,12152022,0.0605121214254946,1.08219062890034,0.0817434705562367,4.31453438925522e-08,1.24945550576008,0.177667132981543,0.11440893985332,1.07178837277853,-0.0244084863191549,0.081609853521705,-0.0640462461045888
"13",13,1216,12162022,0.122115814300154,0.694852457192843,0.269693916400959,1.94537530112221e-09,1.02099455639247,0.0998561044797266,0.0509332130676384,0.921138451912745,0.0464862960186228,-0.113149913624768,0.134985984695324
"14",14,1217,12172022,0.00929212257134503,0.243096765185295,0.0914723330741689,7.22711811293586e-08,0.346946838909127,0.00648597715045429,0.0069665082337834,0.340460861758673,-0.0396007410367785,0.0257648344753995,-0.00513917312005153
"15",15,1218,12182022,-0.0405047772778221,0.904627685914522,0.172769629214358,9.40001932643974e-08,1.04052949932865,0.105699645318471,0.149352489068718,0.93482985401018,-0.115478224154725,0.0842816057496812,0.0352746604111851
"16",16,1219,12192022,-0.0268875144190916,1.69880324954823,0.125066296401334,1.09287288412979e-07,1.85781920494591,0.24268619411936,0.268258436022402,1.61513301082655,-0.133315545741909,0.1681131103965,-0.0590299305334575
"17",17,1220,12202022,-0.0314200304402905,0.980822009362972,0.0749405320671145,3.03795314868654e-07,1.0746929388855,0.0966585553317597,0.134980815325866,0.978034383553737,-0.10392558565786,0.128860994651275,-0.0697228364137893
"18",18,1225,12252022,-5.8951596896665e-05,1.5669536449432,0.0701404343404359,1.09779510049655e-07,1.67681186690157,0.238266217068343,0.317313392397637,1.43854564983322,-0.100175678553556,0.199815808166105,-0.101949328480308
"19",19,1227,12272022,0.066133010759606,0.797628489236506,0.173767071038568,3.53492541660863e-08,1.02239940839488,-0.190329009648225,-0.00562760126324095,1.21272841804311,-0.000971661441040443,-0.0476596292319287,0.0185438220018596
"20",20,1229,12292022,0.0507961539243431,0.13442512248004,0.0158801038908069,1.39527909272368e-08,0.171987193737809,0.0140023372878194,0.0248171734411025,0.157984856449989,0.00672894447915164,0.0751197224393306,-0.0671388995075034
"21",21,1231,12312022,0.0843379891795908,0.898169222200419,0.143805173993445,1.08592854872491e-07,1.16985334209171,0.136278277443668,0.0760770049308758,1.03357506464804,0.0043372250477991,-0.037425388825366,-0.000703306512763944
