"Key","Year","Adopt_Ind","Industry","POST","RPA_Ctd","Adopt","Big4","LGTA","INST","MS","BM.x","LEV","OCF","MTB","Age_","Age","ESG","RD","ADV","Equity","Asset","PPE","NI_Ctd","OCF.y","S","AR","Asset_1","S_1","AR_1","S_2","EXP","PROD_origin","PROD","BM.y","DA","DA1","DA2","ABCFO","ABPROD","ABEXP","AC","A1","A21","A2","A3","A4","A5","A6","ROA","Median_ROA","ADJROA","CFO","R1","R2","R3","R4","R5","ABSDA","ABSDA1","ABSDA2","RM","RM1","RM2","RPA","ADJROA_sq","distance","weights","subclass"
"13042020","2020","1","M1300","0",1,"1","1",18.16352162,0.4781,0.053575971,1.288083249,0.369881048,0.139874409,0.776347337,58,4.060443011,70.05,0.007230115,0.040249019,48723643,77324516,23169313,5682637,10815721,50201273,7481916,71425786,55656741,7045512,60892513,0.050308022,39721391,0.547394928,1.288083249,-0.049609831,-0.04960235,-0.050088712,-0.044345038,0.02500789,0.000233306,-0.071865978,1.4e-08,-0.07637953,-0.082489425,0.324383032,0.079560021,1.288083249,0.151425999,0.079560021,0.04030715,0.03925287,0.151425999,1.4e-08,0.70284523,-0.07637953,-0.073303667,0.779224761,0.049609831,0.04960235,0.050088712,-0.019103842,-0.044111732,0.025241196,1,0.0015407878032369,0.0812356650512708,1,"16"
"13042021","2021","1","M1300","1",1,"1","1",18.25610338,0.5808,0.052271948,2.140333331,0.344004465,0.105312662,0.467216945,58,4.060443011,71.39,0.005990199,0.044084706,55644961,84825213,24471011,10079451,8933169,71755542,9391222,77324516,50201273,7481916,55656741,0.062991445,54001841,0.741103326,2.140333331,-0.024027624,-0.024194647,-0.035880481,-0.077997758,-0.078596391,-0.00671796,0.014824302,1.29e-08,0.278750778,0.254058661,0.31647157,0.130352591,2.140333331,0.115528289,0.130352591,0.067987185,0.062365406,0.115528289,1.29e-08,0.927979194,0.278750778,-0.070552889,0.649228415,0.024027624,0.024194647,0.035880481,-0.163312109,-0.084715718,-0.085314351,1,0.00388944386554484,0.100163520621096,1,"17"
"13042022","2022","1","M1300","1",1,"1","1",18.16890067,0.531,0.05207862,1.913287873,0.344946524,0.125412789,0.522660502,58,4.060443011,70.78,0.006577543,0.051270433,50924885,77741569,25520104,-61189,9749787,66437122,7939581,84825213,71755542,9391222,50201273,0.061351511,55496976,0.649533141,1.913287873,-0.058671902,-0.058977137,-0.06884136,-0.031156462,-0.052852198,-0.005946265,-0.115661083,1.18e-08,-0.062698575,-0.045585255,0.300855171,-0.000721354,1.913287873,0.114939729,-0.000721354,0.003856862,-0.004578216,0.114939729,1.18e-08,0.783223757,-0.062698575,0.25410215,0.845922332,0.058671902,0.058977137,0.06884136,-0.089954925,-0.037102727,-0.058798463,1,2.0960061742656e-05,0.114109765963841,1,"18"
"13092020","2020","1","M1300","0",0,"0","1",16.03968752,0.5187,0.016540234,0.565852945,0.312578914,0.31861344061,1.767243608,63,4.143134726,65.89,0.001324203,0.033169271,6355806,9245870,2076043,1919818,3046274,15498381,2218128,8004741,17672204,2228261,21683702,0.087674167,12375109,1.545293845,0.565852945,-0.150301729,-0.152012331,-0.19857491826,-0.076139575,0.025064027,0.004849625,-0.140723604,1.25e-07,-0.271566938,-0.270301063,0.259351677,0.239835118,0.565852945,0.380558721,0.239835118,0.04030715,0.199527968,0.380558721,1.25e-07,1.936150214,-0.271566938,-0.501140262,2.207717152,0.150301729,0.152012331,0.224724309,-0.046225923,-0.07128995,0.029913652,0,0.039811410014209,0.0415172197256171,1,"318"
"13132019","2019","1","M1300","0",1,"1","1",17.6256558,0.6653,0.058096768,1.727091421,0.544440123,0.097166957,0.579008145,47,3.850147602,66.23,0,0.024085967,20571716,45156997,16362557,-140376,4387768,62714942,3732262,45769849,61258498,4061444,50600125,0.05276928,60653888,1.285302165,1.727091421,-0.071847859,-0.069556487,-0.062012062,0.057508561,0.122251304,0.014258282,-0.098932902,2.18e-08,0.031821036,0.03901315,0.357496416,-0.003066997,1.727091421,0.095865905,-0.003066997,0.040700657,-0.043767654,0.095865905,2.18e-08,1.370223922,0.031821036,0.23286887,1.338402886,0.071847859,0.069556487,0.062012062,0.194018147,0.071766843,0.136509586,1,0.00191560753666372,0.0416888599733048,1,"26"
"13132020","2020","1","M1300","1",1,"1","1",17.60424976,0.6338,0.055353502,0.735081127,0.435422141,0.078012315,1.360394062,47,3.850147602,67.87,0,0.025882511,24954701,44200637,15725460,2134320,3448194,51866839,3985908,45156997,62714942,3732262,61258498,0.052295351,47232128,1.02863977,0.735081127,-0.01586882,-0.017683474,-0.021513813,0.09385502,0.142598506,0.014182391,-0.02909569,2.21e-08,-0.240230833,-0.245847814,0.34823972,0.047264436,0.735081127,0.076360126,0.047264436,0.04030715,0.006957286,0.076360126,2.21e-08,1.148589199,-0.240230833,0.032252898,1.388820032,0.01586882,0.017683474,0.021513813,0.250635917,0.108037411,0.156780897,1,4.8403828485796e-05,0.0604319224184555,1,"27"
"13132021","2021","1","M1300","1",1,"1","1",17.80026054,0.6994,0.059692815,1.432876282,0.444007593,-0.000988231,0.697896959,47,3.850147602,67.82,0,0.019641595,29896737,53771844,15711926,2147462,-53139,81942428,4942116,44200637,51866839,3985908,62714942,0.060874394,76803852,1.800026027,1.432876282,-0.006460416,-0.010925398,0.009400651,0.094217681,0.153510058,0.021339378,0.049786635,2.26e-08,0.680433384,0.65880003,0.355468316,0.048584413,1.432876282,-0.001202222,0.048584413,0.067987185,-0.019402772,-0.001202222,2.26e-08,1.853874368,0.680433384,-0.245428658,1.173440985,0.006460416,0.010925398,0.009400651,0.269067117,0.115557059,0.174849436,1,0.000376467561283984,0.0761145745471948,1,"28"
"13132022","2022","1","M1300","1",1,"1","1",17.73871921,0.6249,0.05708174,1.297156502,0.483683713,0.013314295,0.770917001,47,3.850147602,67.53,0,0.022728277,26106202,50562422,16135794,-1011794.3,673203,72819643,3540688,53771844,81942428,4942116,51866839,0.050521533,72475633,1.352662371,1.297156502,0.03688097,0.036134751,0.013253916,0.120373879,0.11437326,0.034653915,-0.035509792,1.86e-08,-0.169657284,-0.143594797,0.300078867,-0.022990173,1.297156502,0.012519619,-0.022990173,0.003856862,-0.026847035,0.012519619,1.86e-08,1.354233695,-0.169657284,0.559318535,1.523890979,0.03688097,0.036134751,0.013253916,0.269401054,0.155027794,0.149027175,1,0.000720763288291225,0.106736540099096,1,"29"
"13142019","2019","1","M1300","0",0,"0","1",18.38472698,0.2935,0.027442649,2.58748597335999,0.303463089,-0.08711147,0.38647627063,54,3.988984047,61.14,0.013558389,0.025273008,67193864,96468490,20275279,1733635,-6045505.1,29624094,1704528,89704954,38503121,2636083,33335970,0.022703317,27996514,0.395241627,2.58748597335999,0.134358561,0.135605157,0.140453788,0.122234798,0.093730144,0.017999277,0.113005431,1.11e-08,-0.098980342,-0.088595687,0.226021843,0.019325967,2.58602094091,-0.093679464,0.019325967,0.040700657,-0.02137469,-0.093679464,1.11e-08,0.33023922,-0.098980342,0.057601624,0.429219561,0.134358561,0.135605157,0.140453788,0.233964219,0.140234075,0.111729421,0,0.0004568773725961,0.0359749228250034,1,"279"
"13262022","2022","1","M1300","0",0,"0","1",20.1354487,0.7887,0.244432376889998,0.949326602,0.327937887,0.058919854,1.053378256,58,4.060443011,59.05,0,0.031597121,247021877.119998,555538628,95511754.8199994,9203861,32732255,349829393.93,30059576,598345271,333795247.01,37105260,253294668,0.030130488,258967339.939998,0.615683176,0.949326602,-0.002651745,-0.002209612,-0.006111717,0.006089456,0.048499305,0.01460075,-0.039322437,1.67e-09,0.023539026,0.035314308,0.238739985,0.015382191,0.949326602,0.054704627,0.015382191,0.003856862,0.011525329,0.054704627,1.67e-09,0.63491195,0.023539026,0.188047663,0.611372924,0.002651745,0.002209612,0.006111717,0.069189511,0.020690206,0.063100055,0,0.000132833208558241,0.227962019607646,1,"326"
