"Key","Year","Trade","Industry","RPA","RPA_Ctd","Big4","GC","LGTA","BM.x","LEV","OCF","MTB","Age_","Age","ESG","RD","ADV","Equity","Asset","PPE","NI_Ctd","OCF.y","S","AR","Asset_1","S_1","AR_1","S_2","EXP","PROD_origin","PROD","BM.y","DA","DA1","DA2","ABCFO","ABPROD","ABEXP","AC","A1","A21","A2","A3","A4","A5","A6","ROA","Median_ROA","ADJROA","CFO","R1","R2","R3","R4","R5","ABSDA","ABSDA1","ABSDA2","RM","RM1","RM2","ADJROA_sq","distance","weights","subclass"
"13122022","2022","TSE","M1300",0,0,"0","0",17.91602844,2.159808815,0.401906295,0.035680253,0.463003944,50,3.912023005,60.36,0.001878016,0.020126342,36107841,60371545,18822036,-454388,2154072,18176626,1880614,48912979,22547353,2452342,16575784,0.03390415,17305359,0.33976254,2.159808815,0.018047631,0.017918775,0.008025865,0.022634867,0.013709059,0.005201919,-0.053328586,2.04e-08,-0.089357203,-0.077668526,0.384806577,-0.009289722,2.159808815,0.044038863,-0.009289722,0.003856862,-0.013146584,0.044038863,2.04e-08,0.37161151,-0.089357203,0.122085572,0.460968713,0.018047631,0.017918775,0.008025865,0.041545845,0.027836786,0.018910978,0.000172832670869056,0.0924382139865875,1,"154"
"13132019","2019","TSE","M1300",1,1,"1","0",17.6256558,1.727091421,0.544440123,0.097166957,0.579008145,47,3.850147602,66.23,0,0.024085967,20571716,45156997,16362557,-140376,4387768,62714942,3732262,45769849,61258498,4061444,50600125,0.05276928,60653888,1.285302165,1.727091421,-0.071847859,-0.069556487,-0.062012062,0.057508561,0.122251304,0.014258282,-0.098932902,2.18e-08,0.031821036,0.03901315,0.357496416,-0.003066997,1.727091421,0.095865905,-0.003066997,0.040700657,-0.043767654,0.095865905,2.18e-08,1.370223922,0.031821036,0.23286887,1.338402886,0.071847859,0.069556487,0.062012062,0.194018147,0.071766843,0.136509586,0.00191560753666372,0.0474530689774278,1,"26"
"13132020","2020","TSE","M1300",1,1,"1","0",17.60424976,0.735081127,0.435422141,0.078012315,1.360394062,47,3.850147602,67.87,0,0.025882511,24954701,44200637,15725460,2134320,3448194,51866839,3985908,45156997,62714942,3732262,61258498,0.052295351,47232128,1.02863977,0.735081127,-0.01586882,-0.017683474,-0.021513813,0.09385502,0.142598506,0.014182391,-0.02909569,2.21e-08,-0.240230833,-0.245847814,0.34823972,0.047264436,0.735081127,0.076360126,0.047264436,0.04030715,0.006957286,0.076360126,2.21e-08,1.148589199,-0.240230833,0.032252898,1.388820032,0.01586882,0.017683474,0.021513813,0.250635917,0.108037411,0.156780897,4.8403828485796e-05,0.0697938110649953,1,"27"
"13132021","2021","TSE","M1300",0,1,"1","0",17.80026054,1.432876282,0.444007593,-0.000988231,0.697896959,47,3.850147602,67.82,0,0.019641595,29896737,53771844,15711926,2147462,-53139,81942428,4942116,44200637,51866839,3985908,62714942,0.060874394,76803852,1.800026027,1.432876282,-0.006460416,-0.010925398,0.009400651,0.094217681,0.153510058,0.021339378,0.049786635,2.26e-08,0.680433384,0.65880003,0.355468316,0.048584413,1.432876282,-0.001202222,0.048584413,0.067987185,-0.019402772,-0.001202222,2.26e-08,1.853874368,0.680433384,-0.245428658,1.173440985,0.006460416,0.010925398,0.009400651,0.269067117,0.115557059,0.174849436,0.000376467561283984,0.0904371035938594,1,"28"
"13132022","2022","TSE","M1300",1,1,"1","0",17.73871921,1.297156502,0.483683713,0.013314295,0.770917001,47,3.850147602,67.53,0,0.022728277,26106202,50562422,16135794,-1011794.3,673203,72819643,3540688,53771844,81942428,4942116,51866839,0.050521533,72475633,1.352662371,1.297156502,0.03688097,0.036134751,0.013253916,0.120373879,0.11437326,0.034653915,-0.035509792,1.86e-08,-0.169657284,-0.143594797,0.300078867,-0.022990173,1.297156502,0.012519619,-0.022990173,0.003856862,-0.026847035,0.012519619,1.86e-08,1.354233695,-0.169657284,0.559318535,1.523890979,0.03688097,0.036134751,0.013253916,0.269401054,0.155027794,0.149027175,0.000720763288291225,0.116555214014337,1,"29"
"13142020","2020","TSE","M1300",0,0,"1","0",18.4686133,1.641872612,0.324487296,-0.039462858,0.60906065,54,3.988984047,62.99,0.025153653,0.03434305,70868031,104909990,23226955,674660,-4140048,17583092,1835670,96468490,29624094,1704528,38503121,0.019188711,17544864,0.212591334,1.641872612,0.045386562,0.045109352,0.06637229,0.051056589,-0.017853893,0.019144678,0.049909644,1.04e-08,-0.124817979,-0.126177408,0.240772453,0.006993579,1.641872612,-0.042916065,0.006993579,0.04030715,-0.033313571,-0.042916065,1.04e-08,0.182267723,-0.124817979,-0.092040696,0.307085702,0.045386562,0.045109352,0.06637229,0.052347374,0.070201267,0.001290785,0.00110979401277204,0.0573619144091426,1,"41"
"13262022","2022","TSE","M1300",0,0,"1","0",20.1354487,0.949326602,0.327937887,0.058919854,1.053378256,58,4.060443011,59.05,0,0.031597121,247021877.119998,555538628,95511754.8199994,9203861,32732255,349829393.93,30059576,598345271,333795247.01,37105260,253294668,0.030130488,258967339.939998,0.615683176,0.949326602,-0.002651745,-0.002209612,-0.006111717,0.006089456,0.048499305,0.01460075,-0.039322437,1.67e-09,0.023539026,0.035314308,0.238739985,0.015382191,0.949326602,0.054704627,0.015382191,0.003856862,0.011525329,0.054704627,1.67e-09,0.63491195,0.023539026,0.188047663,0.611372924,0.002651745,0.002209612,0.006111717,0.069189511,0.020690206,0.063100055,0.000132833208558241,0.166310345775723,1,"102"
"13422020","2020","TSE","M9900",0,0,"1","0",14.49621161,0.431806377,0.26139621,0.165532977,2.315852783,41,3.713572067,46.96,0.01984914,0.021835621,1458936,1975262,750592,196227,326971,1531351,203007,1518173,1442715,212283,1331066,0.092736467,1140848,0.759505669,0.431806377,-0.068444032,-0.067499749,-0.141601335,-0.142465847,-0.060658473,0.033754363,-0.086119303,6.59e-07,0.058383333,0.064493309,0.494404788,0.129252068,0.431806377,0.215371371,0.129252068,0.024920576,0.104331492,0.215371371,6.59e-07,1.00868017,0.058383333,0.073541685,0.950296837,0.068444032,0.067499749,0.141601335,-0.169369957,-0.108711484,-0.02690411,0.0108850602229461,0.0131447813939942,1,"246"
"14022019","2019","TSE","M1400",1,1,"1","0",20.17175658,2.192344354,0.529021447,0.076290288,0.456132723,69,4.234106505,65.11,0.004245387,0.075198794,247021877.119998,576079699,95511754.8199994,16435163,43949286,250146590,26486590,565589420,228661933,29347392,217846948,0.054787961,205396660,0.350857871,2.192344354,-0.01934545,-0.015223159,-0.01104041,-0.017295145,-0.003036295,-0.008312377,-0.048646813,1.77e-09,0.037986313,0.043044403,0.288225268,0.02905847,2.192344354,0.077705283,0.02905847,0.015649418,0.013409051,0.077705283,1.77e-09,0.442275936,0.037986313,0.019121618,0.404289622,0.01934545,0.015223159,0.01104041,-0.028643817,-0.025607522,-0.011348672,0.000179802648720601,0.107832833707866,1,"74"
"14022020","2020","TSE","M1400",0,1,"1","0",20.24030708,1.800812087,0.563299557,0.067248725,0.555305024,69,4.234106505,67.4,0.00419218,0.090813199,247021877.119998,616955270,95511754.8199994,12980539,41489455,206769281,26788957,576079699,250146590,26486590,228661933,0.052759922,166373605,0.279810744,1.800812087,-0.030817378,-0.032173497,-0.026631722,-0.023867093,-0.0007657,-0.01265821,-0.049487798,1.74e-09,-0.075297409,-0.07582228,0.282356598,0.02253254,1.800812087,0.072020339,0.02253254,0.004215592,0.018316948,0.072020339,1.74e-09,0.358924783,-0.075297409,0.037294591,0.434222193,0.030817378,0.032173497,0.026631722,-0.037291003,-0.036525303,-0.01342391,0.000335510584034704,0.184517869521184,1,"75"
"14022021","2021","TSE","M1400",0,1,"1","0",20.26965131,1.733754103,0.575943302,0.057258304,0.576783062,69,4.234106505,64.71,0.003685294,0.096512692,247021877.119998,635327585,95511754.8199994,14844485,36377780,238806217,29336993,616955270,206769281,26788957,250146590,0.056719504,192320517,0.355533885,1.733754103,-0.068771929,-0.071970573,-0.062744198,-0.06136383,-0.008968881,-0.02027277,-0.034902522,1.62e-09,0.051927486,0.047797468,0.267588216,0.024060877,1.733754103,0.058963399,0.024060877,0.027454518,-0.003393641,0.058963399,1.62e-09,0.387072173,0.051927486,-0.070308677,0.335144687,0.068771929,0.071970573,0.062744198,-0.090605481,-0.0816366,-0.029241651,1.1516799236881e-05,0.220234722569481,1,"76"
"14022022","2022","TSE","M1400",0,1,"1","0",20.3043475,1.583543023,0.586972543,0.058548672,0.631495315,69,4.234106505,63.43,0.003750606,0.089364441,247021877.119998,657757910,95511754.8199994,13341150,38510852,263944525,29095332,635327585,238806217,29336993,206769281,0.057064486,213924074,0.344553179,1.583543023,-0.018700037,-0.018151692,-0.016849943,-0.039790991,-0.02184518,-0.009596375,-0.039616888,1.57e-09,0.039567474,0.039947847,0.270810826,0.020998852,1.583543023,0.06061574,0.020998852,0.022678295,-0.001679443,0.06061574,1.57e-09,0.415446348,0.039567474,0.050425854,0.375878874,0.018700037,0.018151692,0.016849943,-0.071232546,-0.049387366,-0.031441555,2.820528790249e-06,0.266554173613521,1,"77"
"14092020","2020","TSE","M1400",0,0,"1","0",18.97430329,1.387301179,0.757607371,-0.029985303,0.720824011,56,4.025351691,63.68,0.009907393,0.026810896,42165245,173954320,17372107,1598225,-5216073,31259082,17906737,157182832,37357003,7745691,41701958,0.020852296,24794471,0.144251225,1.387301179,0.034174312,0.046524933,0.052722331,0.069845715,-0.007036466,0.003841897,0.043352686,6.36e-09,-0.038795083,-0.10343984,0.110521657,0.010167936,1.387301179,-0.03318475,0.010167936,0.004215592,0.005952344,-0.03318475,6.36e-09,0.198870841,-0.038795083,-0.027642682,0.237665924,0.034174312,0.046524933,0.052722331,0.066651146,0.073687612,-0.003194569,3.5430399094336e-05,0.154224777144605,1,"62"
"14342019","2019","TSE","M1400",0,0,"1","0",18.20701554,1.275431698,0.20477451,0.083601392,0.784048257,50,3.912023005,60.45,0,0.049321648,64223900,80761873,12698739,4625213,6751805,36647721,3372022,93026493,44545053,5459645,40705664,0.028542632,32926402,0.34721296,1.275431698,-0.042990337,-0.045419157,-0.052040829,-0.022740179,-0.002775982,0.022057693,-0.022860068,1.07e-08,-0.084893365,-0.062452198,0.136506694,0.04971931,1.275431698,0.072579378,0.04971931,0.015649418,0.034069891,0.072579378,1.07e-08,0.393949291,-0.084893365,0.041271995,0.478842656,0.042990337,0.045419157,0.052040829,-0.003458468,-0.000682486,0.019281711,0.00116075747275188,0.0305167141786335,1,"198"
"14542021","2021","TSE","M1400",1,1,"1","0",14.53527679,0.993676688,0.213593008,-0.01630271,1.006363551,50,3.912023005,44.55,0.005564449,0.047980752,1615243,2053953,726964,5133,-33485,1574819,151366,1992198,1204928,122630,1904529,0.069871569,1446530,0.760412871,0.993676688,0.00623506,0.006837588,0.026199002,0.025998985,0.010671736,0.021235917,0.019384619,5.02e-07,0.185669798,0.171245529,0.364905496,0.002576551,0.993676688,-0.016808068,0.002576551,0.027454518,-0.024877967,-0.016808068,5.02e-07,0.790493214,0.185669798,-0.351170416,0.604823416,0.00623506,0.006837588,0.026199002,0.057906638,0.047234902,0.031907653,0.000618913242053089,0.0111060072299054,1,"169"
"14542022","2022","TSE","M1400",0,1,"1","0",14.52950786,0.734532581,0.217312444,0.061360692,1.361409999,50,3.912023005,38.3,0.004891776,0.050315096,1598356,2042138,796175,32191,125307,1796280,144453,2053953,1574819,151366,1204928,0.078502283,1607171,0.783319774,0.734532581,0.008386091,0.012696021,0.019157894,0.046602415,0.056863949,0.012943696,-0.04533502,4.87e-07,0.107821844,0.111187549,0.387630584,0.015672705,0.734532581,0.061007725,0.015672705,0.022678295,-0.00700559,0.061007725,4.87e-07,0.874547762,0.107821844,0.180087373,0.766725918,0.008386091,0.012696021,0.019157894,0.11641006,0.059546111,0.069807645,4.90782912481e-05,0.0135688212738747,1,"170"
"14552019","2019","TSE","M1400",0,0,"0","0",16.07928767,1.827578197,0.251487366,0.181866371,0.547172209,54,3.988984047,51.68,0.006102246,0.02139937,7200208,9619354,4746725,-302638,1749437,11841377,1169589,11457506,15832053,2364524,14974969,0.03716856,11856644,0.967353977,1.827578197,-0.122456486,-0.134444291,-0.123699137,-0.100518428,-0.009635184,0.062345477,-0.179103114,8.73e-08,-0.348302327,-0.24400956,0.41428955,-0.026413951,1.827578197,0.152689163,-0.026413951,0.015649418,-0.042063369,0.152689163,8.73e-08,1.033503888,-0.348302327,0.074805459,1.381806215,0.122456486,0.134444291,0.123699137,-0.047808135,-0.038172951,0.052710293,0.00176932701163016,0.0118222316243187,1,"275"
"14572020","2020","TSE","M1400",0,0,"1","0",16.69363057,1.469785866,0.563394679,-0.018247759,0.680371218,42,3.737669618,60.79,0,0.041443329,7763198,17780814,3436768,632321,-324460,2707215,491995,18217844,4071473,595644,5646982,0.012180805,2501874,0.123104688,1.469785866,0.060394855,0.058110317,0.052009966,0.051434296,8.69e-05,0.013202603,0.052518893,5.49e-08,-0.07488581,-0.069196388,0.188648448,0.034708882,1.469785866,-0.017810011,0.034708882,0.004215592,0.03049329,-0.017810011,5.49e-08,0.148602381,-0.07488581,-0.086481639,0.223488191,0.060394855,0.058110317,0.052009966,0.064723799,0.064636899,0.013289503,0.0009298407350241,0.0537548629488705,1,"182"
