"Key","Year","Trade","Industry","RPA","RPA_Ctd","Big4","GC","LGTA","BM.x","LEV","OCF","MTB","Age_","Age_Trade_","Age","Age_Trade","ESG","RD","ADV","Equity","Asset","PPE","NI_Ctd","OCF.y","S","AR","Asset_1","S_1","AR_1","S_2","EXP","PROD","BM.y","DA","DA1","DA2","ABCFO","ABPROD","ABEXP","AC","A1","A21","A2","A3","A4","A5","A6","ROA","Median_ROA","ADJROA","CFO","R1","R2","R3","R4","R5","ABSDA","ABSDA1","ABSDA2","RM","RM1","RM2","ADJROA_sq","distance","weights","subclass"
"28382022","2022","TSE","M2800",0,0,"1","0",20.55484711,1.128632593,0.925305412,-0.003616556,0.88602793,32,28,3.465735903,3.33220451,63.47,0,0,63116922,844999933,12518775,3541534,-3055990,15985339,23024920,841589146,16688773,21506234,14430362,0.012994688,0,1.128632593,0.015147614,0.024424623,0.021972104,0.01736505,0.002540038,-0.001738794,0.007839364,1.19e-09,-0.00083584,-0.002640386,0.014875162,0.004208151,1.128632593,-0.003631214,0.004208151,0.004811556,-0.000603405,-0.003631214,1.19e-09,0.018994231,-0.00083584,0.002683508,0.019830072,0.015147614,0.024424623,0.021972104,0.018166294,0.015626256,0.000801244,3.64097594025e-07,0.440180010058486,1,"66"
"28452019","2019","TSE","M2800",0,0,"1","0",20.2999741,1.593922526,0.92756455017,0.002310093,0.627383065,31,28,3.433987204,3.33220451,49.35,0,0,47284413,654887550,2913291,3632595,1512851,11721680,62.79,627351150,11218277,36.79,10397129,0.011083195,0,1.593922526,0.002224456,-0.001676858,0.011271433,0.001049739,0.009117701,0.006734694,0.00337888,1.59e-09,0.000802426,0.000802426,0.004643796,0.00579037,1.593922526,0.00241149,0.00579037,0.008140667,-0.002350298,0.00241149,1.59e-09,0.0186844,0.000802426,0.001308913,0.017881974,0.002224456,0.001676858,0.011271433,0.016902134,0.007784433,0.015852395,5.523900688804e-06,0.15461118906396,1,"220"
"28452020","2020","TSE","M2800",0,0,"1","0",20.33803114,1.56203083,0.92756455017,0.022820609,0.64019223,31,28,3.433987204,3.33220451,55.54,0,0,48743705,680290956,2984953,2518703,15524654,11215219,62.79,654887550,11721680,36.79,11218277,0.010478541,0,1.56203083,-0.015371065,-0.014329438,-0.013216227,-0.027515388,0.011770833,0.008393828,-0.019859823,1.53e-09,-0.000773356,-0.000773356,0.004557963,0.003846008,1.56203083,0.023705832,0.003846008,0.008286276,-0.004440268,0.023705832,1.53e-09,0.017125412,-0.000773356,0.000768686,0.017898768,0.015371065,0.014329438,0.013216227,-0.007350727,-0.01912156,0.020164661,1.9715979911824e-05,0.261236915690187,1,"300"
"28452021","2021","TSE","M2800",0,0,"1","0",20.39899518,1.401796871,0.92756455017,0.009361946,0.713370119,31,28,3.433987204,3.33220451,68.05,0,0,49701951,723054513,2984077,2939122,6769197,10792889,62.79,680290956,11215219,36.79,11721680,0.009814696,0,1.401796871,0.006647124,0.00713957,0.009232666,-0.00130146,0.008983923,0.008945532,-0.005630054,1.47e-09,-0.000620808,-0.000620808,0.004386472,0.00432039,1.401796871,0.009950444,0.00432039,0.009892978,-0.005572588,0.009950444,1.47e-09,0.015865107,-0.000620808,-0.000744477,0.016485915,0.006647124,0.00713957,0.009232666,0.016627995,0.007644072,0.017929455,3.1053737017744e-05,0.391963882639277,1,"233"
"28452022","2022","TSE","M2800",0,0,"1","0",20.42288973,1.175668263,0.925767198,-0.025122412,0.850580076,31,28,3.433987204,3.33220451,65.88,0,0,54972333,740539643,4760573,3677502,-6045505.1,11738931,62.79,723054513,10792889,36.79,11215219,0.009686286,0,1.175668263,0.027545906,0.034056706,0.037151945,0.03889593,0.004472237,0.000772088,0.030815995,1.38e-09,0.001308397,0.001308397,0.006583975,0.005086065,1.175668263,-0.02572993,0.005086065,0.004811556,0.000274508,-0.02572993,1.38e-09,0.016235195,0.001308397,-0.000584092,0.014926798,0.027545906,0.034056706,0.037151945,0.044140255,0.039668018,0.005244325,7.5354642064e-08,0.442086246674424,1,"119"
"28492020","2020","TSE","M2800",0,0,"1","0",19.55678474,1.262136173,0.889161243,-0.004799866,0.792307535,30,28,3.401197382,3.33220451,56.29,0,0,34521952,311461016,675749,2171460,-1494971,5846961,62477,306071408,6413132,64282,6409398,0.009170644,0,1.262136173,0.019886659,0.01771537,0.01805155,0.002357206,0.008895755,0.010078342,0.011979005,3.27e-09,-0.0018498,-0.001843903,0.002207815,0.007094619,1.262136173,-0.004884386,0.007094619,0.008286276,-0.001191657,-0.004884386,3.27e-09,0.019103258,-0.0018498,1.22e-05,0.020953058,0.019886659,0.01771537,0.01805155,0.021331303,0.012435548,0.018974097,1.420046405649e-06,0.201288296492206,1,"25"
"28492021","2021","TSE","M2800",0,0,"1","0",19.62386617,1.230432558,0.895411956,0.014575389,0.812722317,30,28,3.401197382,3.33220451,57.1,0,0,34835242,333070977,676370,2323700,4854639,5937038,57987,311461016,5846961,62477,6413132,0.009336587,0,1.230432558,0.00509636,0.005188511,0.005244453,-0.006627246,0.006663757,0.009685395,-0.008126022,3.21e-09,0.000289208,0.000303624,0.002171604,0.007460645,1.230432558,0.015586667,0.007460645,0.009892978,-0.002432333,0.015586667,3.21e-09,0.019061898,0.000289208,-0.001817791,0.01877269,0.00509636,0.005188511,0.005244453,0.009721906,0.003058149,0.016349152,5.916243822889e-06,0.264745493901543,1,"65"
"28492022","2022","TSE","M2800",0,0,"1","0",19.66976782,1.103404841,0.906157008,-0.003540657,0.906285674,30,28,3.401197382,3.33220451,57.23,0,0,32724534,348715801,729151,1065618,-1234683,5981753,68412,333070977,5937038,57987,5846961,0.008860316,0,1.103404841,-0.000850993,0.00404755,0.01219809,0.017316188,0.003116819,0.002002535,0.006906339,3e-09,0.000134251,0.000102951,0.002189176,0.003199372,1.103404841,-0.003706967,0.003199372,0.004811556,-0.001612184,-0.003706967,3e-09,0.017959394,0.000134251,0.000270444,0.017825144,0.000850993,0.00404755,0.01219809,0.022435542,0.019318723,0.005119354,2.599137249856e-06,0.321722364296531,1,"71"
"28502018","2018","TSE","M2800",0,0,"1","0",17.31301462,1.11038018,0.679355107,0.136676098,0.900592444,60,23,4.094344562,3.135494216,49.99,0,0,10591831,33032901,1024792,1770368,4514808,14749316,260337,32050676,13958399,278345,12767896,0.098482135,0.298902432,1.11038018,-0.076311261,-0.063142921,-0.077767318,-0.087253498,-0.027074296,-0.018436037,-0.085628147,3.12e-08,0.024677077,0.025238937,0.031974115,0.055236526,1.11038018,0.140864673,0.055236526,0.007050821,0.048185705,0.140864673,3.12e-08,0.460187361,0.024677077,0.037144396,0.435510284,0.076311261,0.063142921,0.077767318,-0.132763831,-0.105689535,-0.045510333,0.00232186216634703,0.0228087871804379,1,"223"
"28512021","2021","TSE","M2800",0,0,"1","0",17.71677488,1.129136079,0.665370907,0.064166325,0.885632847,55,23,4.007333185,3.135494216,56.88,0,0,16552411,49464949,268554,2065077,3173984,20440955,197,42713588,17656923,832,16092924,0.011553911,0.409155068,1.129136079,-0.053507432,-0.061713202,-0.05341927,-0.017184489,0.078051454,0.061801505,-0.025961458,2.34e-08,0.065179071,0.065193938,0.00628732,0.048347074,1.129136079,0.074308532,0.048347074,0.009892978,0.038454096,0.074308532,2.34e-08,0.478558603,0.065179071,0.036615959,0.413379532,0.053507432,0.061713202,0.05341927,0.12266847,0.044617016,0.139852959,0.00147871749917722,0.112958085853704,1,"253"
"28552020","2020","TSE","M2800",1,1,"1","0",18.54917743,0.995707315,0.740752577,0.065626103,1.004311192,35,24,3.555348061,3.17805383,59.52,0,0,29479482,113711765,2453712,3614596,7462460,9581272,18854008,95754400,7142397,12185285,5774276,0.051374485,0.011015985,0.995707315,-0.072314506,-0.091975593,-0.095709548,-0.087558488,-0.018267481,-0.025369815,-0.040184723,1.04e-08,0.025470109,-0.044173928,0.025625057,0.037748615,0.995707315,0.077933338,0.037748615,0.008286276,0.029462339,0.077933338,1.04e-08,0.100060906,0.025470109,0.014287813,0.074590797,0.072314506,0.091975593,0.095709548,-0.131195784,-0.112928303,-0.043637296,0.000868029419350921,0.14062264440726,1,"78"
"28552021","2021","TSE","M2800",1,1,"1","0",18.58354675,1.337846296,0.730077346,0.019451346,0.747470022,35,24,3.555348061,3.17805383,61.33,0,0,31766630,117687899,2447128,4011373,2289188,11621619,16729659,113711765,9581272,18854008,7142397,0.055053705,0.009619154,1.337846296,0.005072103,-0.008352641,-0.006870154,-0.002853817,-0.031123992,-0.02708785,0.015145179,8.79e-09,0.017943148,0.036625023,0.021520447,0.035276675,1.337846296,0.020131497,0.035276675,0.009892978,0.025383697,0.020131497,8.79e-09,0.102202433,0.017943148,0.021447869,0.084259285,0.005072103,0.008352641,0.006870154,-0.061065659,-0.029941667,-0.058211842,0.000644332073387809,0.173172318929231,1,"79"
"28552022","2022","TSE","M2800",0,1,"1","0",18.36823797,1.176658933,0.685886635,0.078515695,0.849863943,35,24,3.555348061,3.17805383,57.95,0,0,29806488,94890862,2609642,736245,7450422,6271336,10142909,117687899,11621619,16729659,9581272,0.038893107,0.00846709,1.176658933,-0.018301551,-0.034572444,-0.040138935,-0.035813811,-0.025485052,-0.015204024,-0.0570507,8.5e-09,-0.045461624,0.010506322,0.022174259,0.006255911,1.176658933,0.063306611,0.006255911,0.004811556,0.001444355,0.063306611,8.5e-09,0.053287858,-0.045461624,0.017336931,0.098749481,0.018301551,0.034572444,0.040138935,-0.076502887,-0.051017835,-0.040689076,2.086161366025e-06,0.176154028201449,1,"80"
"28672019","2019","TSE","M2800",0,0,"1","0",20.95640354,1.9490893,0.92756455017,0.074090282,0.513060125,30,11,3.401197382,2.397895273,60.77,0,0,42625750,1262555321,8442542,5011512,51950719.6799996,179022429,148926,1143823929,167844489,242674,184987213,0.00736110322,0.14811014,1.9490893,-0.087371455,-0.077327627,-0.050290185,-0.081236212,0.059799977,0.027199841,-0.077399647,8.74e-10,0.009772431,0.009854391,0.00738098,0.004381367,1.9490893,0.081781013,0.004381367,0.008140667,-0.003759301,0.081781013,8.74e-10,0.156512226,0.009772431,-0.014987205,0.146739795,0.087371455,0.077327627,0.050290185,0.00576360599999999,-0.054036371,0.086999818,1.4132344008601e-05,0.249311320469316,1,"245"
"28672020","2020","TSE","M2800",0,0,"1","0",21.01506734,1.939106646,0.92756455017,0.059644287,0.515701394,30,11,3.401197382,2.397895273,62.45,0,0,42111789,1338837240,8418496,1444538,51950719.6799996,157231964,123345,1262555321,179022429,148926,167844489,0.00736110322,0.119644512,1.939106646,-0.052535077,-0.074662869,-0.0731643,-0.028268524,0.025487829,0.0272227,-0.062103778,7.92e-10,-0.017259018,-0.017238757,0.006667823,0.001144138,1.939106646,0.063247916,0.001144138,0.008286276,-0.007142138,0.063247916,7.92e-10,0.124534713,-0.017259018,0.008853426,0.141793731,0.052535077,0.074662869,0.0731643,0.024442005,-0.001045824,0.052710529,5.1010135211044e-05,0.359707056665441,1,"97"
"28672021","2021","TSE","M2800",0,0,"1","0",21.06014328,2.249695268,0.92756455017,0.045009556,0.444504647,30,11,3.401197382,2.397895273,61.29,0,0,41438390,1400567397,11785486,1090798,51950719.6799996,143138547,89451,1338837240,157231964,123345,179022429,0.00736110322,0.104379552,2.249695268,-0.03115382,-0.028812603,-0.029533908,-0.027354162,0.013364137,0.025494001,-0.04627009,7.47e-10,-0.01052661,-0.010501294,0.008802777,0.000814735,2.249695268,0.047084825,0.000814735,0.009892978,-0.009078242,0.047084825,7.47e-10,0.106912583,-0.01052661,-0.016275664,0.117439192,0.03115382,0.028812603,0.029533908,0.011503976,-0.001860161,0.038858138,8.2414477810564e-05,0.41828463156248,1,"230"
"28672022","2022","TSE","M2800",0,0,"1","0",21.1004914,1.293569022,0.92756455017,-0.045664526,0.773055,30,11,3.401197382,2.397895273,53.96,0,0,28848252,1458233193,10772359,-1011794.3,-6045505.1,109647090,58938,1400567397,143138547,89451,157231964,0.00736110322,0.085855705,1.293569022,0.04919028,0.050850162,0.06424623,0.066231455,0.024773793,0.017186272,0.037792344,7.14e-10,-0.023912778,-0.023890992,0.007691425,-0.009752335,1.293569022,-0.047544679,-0.009752335,0.004811556,-0.014563891,-0.047544679,7.14e-10,0.078287621,-0.023912778,-0.010062648,0.102200399,0.04919028,0.050850162,0.06424623,0.10819152,0.083417727,0.041960065,0.000212106921059881,0.426006301376244,1,"100"
"28802019","2019","TSE","M2800",1,1,"1","0",21.3359702041,0.961656627,0.92756455017,-0.005583697,1.039872208,22,22,3.091042453,3.091042453,68.66,0,0,188700657,1845571405.91995,31915460,15955368,-6045505.1,46704333,12350692,1690389934.65995,46002484,8332651,42220548,0.009761823,0,0.961656627,0.006147992,0.004293747,0.020829946,0.009138745,0.010188658,0.007946567,0.011626924,5.9516e-10,0.000261474,-0.001235446,0.01189009,0.005944165,0.961656627,-0.005682759,0.005944165,0.008140667,-0.002196502,-0.005682759,5.9516e-10,0.017399677,0.000261474,0.001408958,0.017138204,0.006147992,0.004293747,0.020829946,0.02727397,0.017085312,0.018135225,4.824621036004e-06,0.300204581755887,1,"81"
"28802020","2020","TSE","M2800",1,1,"1","0",21.3359702041,0.912330898,0.92756455017,0.022535806,1.096093536,22,22,3.091042453,3.091042453,67.37,0,0,189404165,1845571405.91995,31777373,8653483,51950719.6799996,39964524,18439873,1690389934.65995,46704333,12350692,46002484,0.009444708,0,0.912330898,-0.025627068,-0.025029664,-0.023267268,-0.028354393,0.012078574,0.009331616,-0.022414258,5.9516e-10,-0.002467142,-0.004696119,0.011632273,0.003167653,0.912330898,0.025581911,0.003167653,0.008286276,-0.005118624,0.025581911,5.9516e-10,0.014629223,-0.002467142,0.000256915,0.017096365,0.025627068,0.025029664,0.023267268,-0.006944203,-0.019022777,0.02141019,2.6200311653376e-05,0.408914709536171,1,"82"
"28802021","2021","TSE","M2800",1,1,"1","0",21.3359702041,0.739514268,0.92756455017,-0.007685057,1.352238954,22,22,3.091042453,3.091042453,69.08,0,0,200706807,1845571405.91995,32434819,17206321,-6045505.1,51072538,18894468,1690389934.65995,39964524,18439873,46704333,0.009059331,0,0.739514268,0.01988177,0.020639324,0.024622899,0.017003592,0.011485767,0.009228104,0.014125375,5.9516e-10,0.00358198,0.003435387,0.010459193,0.005548489,0.739514268,-0.008576886,0.005548489,0.009892978,-0.004344489,-0.008576886,5.9516e-10,0.016469263,0.00358198,-0.002173373,0.012887283,0.01988177,0.020639324,0.024622899,0.037717463,0.026231696,0.020713871,1.8874584671121e-05,0.487519947585127,1,"83"
"28802022","2022","TSE","M2800",1,1,"1","0",21.3359702041,0.627496384,0.92756455017,0.011904477,1.593634681,22,22,3.091042453,3.091042453,63.55,0,0,184827106,1845571405.91995,32656522,17308471,43215176,53666752,8052711,1690389934.65995,51072538,18894468,39964524,0.008167203,0,0.627496384,-0.007161927,-0.000883595,0.000968319,0.000829912,0.006187209,0.00229432,-0.007485423,5.9516e-10,0.000749566,0.003882158,0.0094357,0.005001069,0.627496384,0.012486493,0.005001069,0.004811556,0.000189513,0.012486493,5.9516e-10,0.015506347,0.000749566,0.003209524,0.014756781,0.007161927,0.000883595,0.000968319,0.009311441,0.003124232,0.008481529,3.5915177169e-08,0.518849634978344,1,"84"
"28812019","2019","TSE","M2800",1,1,"1","0",21.3359702041,1.997165613,0.927502584,0.015733424,0.500709602,22,22,3.091042453,3.091042453,68.88,0,0,247021877.119998,1845571405.91995,57380993,26092307.3299995,51950719.6799996,349829393.93,50538159,1690389934.65995,333795247.01,39682731,319302641.14,0.008168761,0,1.997165613,-0.015888427,-0.013551461,-0.001002922,-0.01500939,-0.021125594,0.014235625,-0.009709805,5.9516e-10,0.004803484,0.00339644,0.007437531,0.007721636,1.997165613,0.017431442,0.007721636,0.008140667,-0.000419031,0.017431442,5.9516e-10,0.058067265,0.004803484,0.000620642,0.053263781,0.015888427,0.013551461,0.001002922,-0.021899359,-0.000773764999999999,-0.006889969,1.75586978961e-07,0.306445607079838,1,"85"
"28812020","2020","TSE","M2800",1,1,"1","0",21.3359702041,1.419317613,0.915973089,0.005502575,0.704563933,22,22,3.091042453,3.091042453,74.4421,0,0,247021877.119998,1845571405.91995,58089952,26092307.3299995,50868295,349829393.93,27367710,1690389934.65995,333795247.01,50538159,319302641.14,0.00736110322,0,1.419317613,0.004545569,0.015939103,0.016135797,-0.004798078,-0.01585651,0.015893638,0.004691715,5.9516e-10,0.003335828,0.006046551,0.006795973,0.010642823,1.419317613,0.005951108,0.010642823,0.008286276,0.002356547,0.005951108,5.9516e-10,0.055746691,0.003335828,0.004335571,0.052410863,0.004545569,0.015939103,0.016135797,-0.00476095,0.01109556,3.71280000000009e-05,5.553313763209e-06,0.443970703107458,1,"86"
