Code,Key,Industry,YICounts,Year,Equity,Asset,PPE,NI_Ctd,OCF,S,AR,Asset_1,S_1,AR_1,S_2,EXP,PROD,BM
1413,14132022,M1400,51,2022,1227959,2665203,1125962,99041,95303,3145933,136405,2833785,2965326,134880,1558963,110244,2937786,1.027053389
1414,14142022,M1400,51,2022,3103396,4462226,1542513,104362,138641,688943,25780,4601845,809714,46877,702471,84940,523144,0.788063992
1416,14162022,M9900,90,2022,3677089,4493601,35768,96256,167599,249391,21637,3875923,236931,47252,20370,114652,182848,1.72517222
1417,14172022,M1400,51,2022,2704667,4498294,846260,-48476,-136165,1511442,358205,3984631,1322446,343188,1035869,600713,1075305,1.034842751
1418,14182022,M1400,51,2022,1229531,3886513,637176,21810,-111883,20754,0,3555900,39297,0,100142,75541,27919,1.037588622
1419,14192022,M1400,51,2022,11742942,16698647,630474,2070986,282238,3349289,349067,16135125,2748914,429761,2149213,618188,2431251,0.934299145
1423,14232022,M1400,51,2022,3043922,3320728,327620,73350,315202,175942,7783,3423248,190145,5393,202723,34965,177375,0.767666879
1432,14322022,M3700,23,2022,730572,4897015,619840,-36918,367415,1106827,50153,4892868,778055,42035,1154819,427141,686247,0.434089127
1434,14342022,M1400,51,2022,55767215,75409835,11529353,3404981,3624078,34722655,2988967,81342188,32799007,3835997,28783492,2498926,30953904,1.250107678
1436,14362022,M2500,83,2022,3278938,13047975,35265,630641,1633119,3939725,2611,13691109,2579156,1300,1631881,400492,2676245,0.593441403
1437,14372022,M9900,90,2022,7107748,12580598,2720,406767,341291,801868,17484,11947292,698041,15128,605384,69949,315712,1.230621952
1438,14382022,M2500,83,2022,2013934,8275306,17553,373549,46880,595265,12080,5243213,12297,0,98432,31518,147124,0.754653347
1439,14392022,M2500,83,2022,2815004,4822764,167,143592,-619155,570153,26052,4876860,615535,28266,113119,83289,446013,1.38139366
1440,14402022,M1400,51,2022,27906975,50167210,20577892,1191758,2705633,21968232,1444470,50196558,20193510,1840769,17628221,2048133,19556386,1.043602121
1441,14412022,M1400,51,2022,691420,2526097,940694,-319852,-297488,1588312,91525,2374065,1546490,100353,1509851,207237,1696512,0.416066665
1442,14422022,M2500,83,2022,6046566,16548990,24073,644460,-1672504,2003352,972141,14090974,3450135,21746,2231333,210507,1264216,0.538699948
1443,14432022,M9900,90,2022,1338127,6505544,4409349,143013,325443,847500,169403,6397558,866817,234126,569401,100240,501431,0.34329624
1444,14442022,M1400,51,2022,12123334,18997324,7135919,468577,1429456,12237226,749587,20704529,10878183,1238677,8373609,1011262,11185719,1.156534337
1445,14452022,M1400,51,2022,1633037,2130781,803323,10988,138877,1511208,195394,2010401,1254148,233625,917470,152937,1392090,0.614142305
1446,14462022,M1400,51,2022,1440636,4677845,967,-37806,-348627,155705,12862,4339468,193226,18865,490557,59466,137389,0.277490062
1447,14472022,M1400,51,2022,10296633,19703197,5575680,-17916,834950,28501393,2531188,19756797,24252436,3001427,13559461,841990,27995196,1.402174782
1449,14492022,M1400,51,2022,1580593,6127627,399247,98636,107855,2484187,140444,6356309,2785873,145607,1929151,341188,2201379,0.937769098
1451,14512022,M1400,51,2022,7603071,9165792,1378016,426456,190928,8695169,1677307,9050041,8012461,1739633,7019373,496647,7888120,1.843854641
1452,14522022,M1400,51,2022,2697577,2902664,532853,128244,677389,1818424,239399,3195884,2097672,327858,1271905,115878,1600211,1.203398201
1453,14532022,M2500,83,2022,1387000,1844308,100364,-12289,-25290,248555,0,1893590,44286,0,219411,52041,231979,0.960787345
1454,14542022,M1400,51,2022,1598356,2042138,796175,32191,125307,1796280,144453,2053953,1574819,151366,1204928,161240,1607171,0.734532581
1455,14552022,M1400,51,2022,6589372,9182843,4547680,-281794,952388,9301445,824764,10776815,11218513,1607436,7675607,458810,9087845,1.180314843
1456,14562022,M2500,83,2022,1527311,10823448,62054,-75463,-3677716,617250,44940,7125566,2363236,76193,716457,107267,442848,0.981718809
1457,14572022,M1400,51,2022,9032065,19939909,3305364,2030138,-322358,4335382,512003,18519803,4146179,378043,2707215,263704,3762208,1.710994271
1459,14592022,M1400,51,2022,2817443,5444085,2121291,-443367,41639,1957172,137472,6500355,2469456,214507,1783734,148946,1925948,0.860476385
1460,14602022,M1400,51,2022,7054714,14977520,5625211,21842,337321,9807785,1203790,14607752,10006733,1964662,7343877,1598244,8115340,1.103900477
1463,14632022,M1400,51,2022,2321569,2825093,460491,68879,141412,495932,84600,2741683,456564,86310,441609,71987,419379,0.940260884
1464,14642022,M1400,51,2022,5716917,18333178,4933403,406232,1874538,12277001,1800627,19131909,10475685,2008577,8594659,1633830,10494287,1.029493974
1465,14652022,M1400,51,2022,1684047,2002003,441594,96750,96366,611734,96741,1825244,441525,77146,425282,86377,527470,1.203122255
1466,14662022,M1400,51,2022,1595893,3487291,1786914,-66744,19799,2785426,365028,3684929,3570655,500383,2635433,289993,2614571,1.206479623
1467,14672022,M1400,51,2022,3218955,8656489,1936570,-41674,656485,6129220,753719,8618265,6637936,1294717,8598587,1270260,4828337,1.115651705
1468,14682022,M1400,51,2022,1227237,2629275,677635,35816,298430,1412468,71902,3432779,1139750,72585,961757,122175,1394289,0.469378221
1470,14702022,M1400,51,2022,972984,1144833,400331,32843,189179,845152,68802,1254881,894789,128657,630757,105941,670834,0.572954704
1471,14712022,M2328,205,2022,1585511,1736576,44169,-157299,1445,237989,59855,1188370,355816,65943,1085366,150156,240544,0.77222785
1472,14722022,M2500,83,2022,776764,2761080,100512,3283,165390,1169012,0,2425319,601943,41706,329104,115121,1060821,0.757258978
1473,14732022,M1400,51,2022,3538070,5176890,1053270,301032,587511,7529845,1184600,5213244,5761476,1145551,5970540,983539,6310580,1.010647968
1474,14742022,M1400,51,2022,2136872,3882578,1492068,80569,370187,3189020,501945,4262799,3503869,787572,2858477,347155,2782976,1.329871527
1475,14752022,M1400,51,2022,1009342,1281898,108,307487,249359,1195744,390751,889252,478666,246815,168113,64904,896416,0.699521815
1476,14762022,M1400,51,2022,25141967,33363523,13627154,6790348,12318001,39736173,3800016,29278767,35917247,4877211,28175401,3328319,28670846,0.183455985
1477,14772022,M1400,51,2022,15445028,24429146,5227399,3540001,3714921,32082917,1198597,22222828,28930505,1160282,24924170,3824147,23826844,0.211457501
1503,15032022,M1500,94,2022,28688783,49381800,7080724,2122149,1023396,30757777,7661888,45195290,27689810,6888117,25684003,2985975,25517225,0.37293649
1504,15042022,M1500,94,2022,86318499,126603110,19131777,3992010,6377629,58315216,11391437,136612450,51248387,11202655,45823430,8110648,45129917,0.757193896
1506,15062022,M1500,94,2022,2400784,2822873,1118423,91915,71177,1141618,251079,2432163,1064137,266804,855851,186138,939000,0.459280218
1512,15122022,M2200,34,2022,376637,2352972,427538,-184642,-2440,775474,216097,1863571,1002270,227846,1188984,196642,728429,0.097348373
1513,15132022,M1500,94,2022,13365614,41652205,14330543,2466498,5471429,18546885,2412866,34259773,18027267,1570979,15390789,1893313,13802437,0.210012309
1514,15142022,M1500,94,2022,3919804,10083111,1536559,525880,225040,7709152,3619678,8192043,5681629,3115895,5113892,791949,6418988,0.27497519
1515,15152022,M1500,94,2022,3509327,7753957,3119127,-299120,-1874042,4549308,778517,12521433,18366823,1758010,11374207,584437,4394448,0.556486479
1516,15162022,M9900,90,2022,450333,674436,44738,48521,233320,1502111,296068,513558,1190598,313969,820184,16587,1426925,0.676676986
1517,15172022,M1500,94,2022,4166521,5426218,1197534,555205,839380,5084564,1013972,5679622,4879953,1400417,3383919,406992,4079617,1.043621571
1519,15192022,M1500,94,2022,4265273,11700438,1976677,822304,837816,7750727,2142149,9922390,9020094,2661505,8471592,1158381,6163119,0.112090757
1521,15212022,M2200,34,2022,1793508,3311021,966643,88824,443204,4746405,832280,3394463,4992142,784862,4797165,540121,4151023,0.607320278
1522,15222022,M2200,34,2022,9169705,26045578,8016711,1001861,1378369,19207226,3452335,24054607,16576615,2780036,14446208,3297077,15023323,0.832549211
1524,15242022,M2200,34,2022,2526041,5431903,3149208,336445,682062,2439452,432705,5403257,1963425,392735,1908786,273363,1883014,0.650239589
1525,15252022,M2200,34,2022,4619811,5609373,549636,269818,-66667,1500265,295996,5323884,1275608,186128,1052991,102750,1352764,0.546925655
1526,15262022,M1500,94,2022,1430837,2904399,727502,386604,269748,2197117,147261,2829038,1887529,423556,1246649,297859,1439286,0.619088352
1527,15272022,M1500,94,2022,4694099,5406694,879484,742053,1334347,3918677,526698,5131540,4484738,912127,3589313,365603,2819216,0.858900761
1528,15282022,M1500,94,2022,2498803,5559022,1012568,153924,123936,3789118,949716,5101589,3587606,964711,3210946,1003902,2667473,0.758165617
1529,15292022,M1500,94,2022,1720233,2999128,701749,46434,-73015,281520,67897,2547046,324446,198016,609148,44730,161798,0.303725788
1530,15302022,M1500,94,2022,3368195,6791798,1797473,349287,221887,3100517,877092,6207280,3630956,791586,3093583,364775,2432617,1.121209289
1531,15312022,M1500,94,2022,3742282,4610206,974119,186461,161575,2471056,775352,4883023,2946998,1018836,1609928,348327,2026501,1.474812696
1532,15322022,M1500,94,2022,16684890,53029395,10610646,988910,1222236,14630178,3823773,49972033,18938168,4073790,13125899,2242112,11337623,1.260236191
1533,15332022,M2200,34,2022,2940975,8010453,2271218,-66343,-390225,3365416,721600,7716585,2932537,722064,2866192,967996,2489277,0.43251267
1535,15352022,M1500,94,2022,3511039,6966460,310550,520519,-17389,8844053,904307,6863041,8484613,799148,8836360,480109,8031190,0.542102356
1536,15362022,M2200,34,2022,8975660,22926311,13759127,629073,-150905,7339165,2950489,21103619,6686364,2691475,5211042,1156625,5643604,0.456773908
1537,15372022,M1500,94,2022,4344816,5845641,742867,881575,854399,7318728,769595,5254878,5797748,699374,7119214,584201,5793008,0.399780626
1538,15382022,M1500,94,2022,61316,293814,19671,-27498,-19339,285107,49023,312246,265553,41568,275762,80673,242520,0.13522561
1539,15392022,M1500,94,2022,1681797,2648548,1181533,391958,552205,2500079,116203,3934638,3142643,828341,2293323,110787,2203568,0.993717729
1540,15402022,M1500,94,2022,1374338,1559314,305796,108136,88476,473291,38080,1520339,360792,20543,311106,66127,331952,0.939743903
1541,15412022,M1500,94,2022,1875926,3611116,645831,272059,1144939,4057447,896111,5195985,6202947,2396161,5271945,423713,3462976,0.679981934
1558,15582022,M1500,94,2022,8225201,12554781,3525829,625195,1195062,7198245,2028943,7966074,7719932,1003194,6965819,1075881,5743805,1.166229347
1560,15602022,M1500,94,2022,6090670,9544895,4559011,1274350,1949833,6907619,1090395,10161515,6027838,1116695,5156550,1097687,4379157,0.356148888
1565,15652022,M1722,126,2022,6267762,8301695,3658997,1019054,1288248,5003499,639310,8600004,5401607,905371,5006588,401753,3529098,0.574192528
1568,15682022,M2200,34,2022,1638347,2923951,1350037,165390,372480,1790943,433463,3214552,1825807,578896,1756718,226331,1411005,0.616002228
1569,15692022,M2325,106,2022,3678670,7219777,2690423,407394,1130401,5004172,1430460,7313299,4770880,1918820,4941442,603683,4031493,1.374958348
1570,15702022,M1500,94,2022,912190,1048248,185920,108116,163683,641014,132084,1061695,691132,140876,556021,73841,462739,0.908311962
1580,15802022,M1500,94,2022,2706346,3719305,1137526,354686,595336,3936519,454936,3717863,4294503,554327,3300489,914278,2469414,0.454062669
1582,15822022,M2328,205,2022,5881329,11447348,2181140,377449,2348763,9809443,2151127,11792293,10194799,3774006,9663341,1279388,8186253,0.831482915
1583,15832022,M1500,94,2022,6829085,15211524,3290127,874634,394967,6385075,2068724,13088087,6725493,1776111,5205033,868564,4702752,0.923386386
1584,15842022,M9900,90,2022,2073127,4079669,829497,146431,-716978,1771224,388701,2818851,1108859,283823,787558,112698,1519810,0.371397461
1586,15862022,M1500,94,2022,1542155,4273290,1973742,43134,21164,2539681,726763,4411082,2639658,713698,2295575,349431,2211042,0.543539793
1587,15872022,M2200,34,2022,1399440,3129001,982674,137605,366719,2535296,412928,3026406,2353243,387265,1725729,423032,1945906,0.918597544
1589,15892022,M1500,94,2022,8492012,21890919,9650666,-444375,-299508,9383925,3742658,18469856,8948211,3241509,8184273,1246250,8040146,1.069203454
1590,15902022,M1500,94,2022,38933090,54599547,28829175,6012658,5226416,26072874,9049809,47678656,25399895,7482725,19103001,4350200,14179871,0.192492213
1591,15912022,M1500,94,2022,503339,628077,277924,85942,251367,681959,6349,632732,572787,66583,613035,54484,517125,0.409182339
1593,15932022,M3700,23,2022,1381415,2107274,875895,199029,136800,874890,191878,1650408,1177477,247328,868646,179947,622171,0.51023798
1595,15952022,M2328,205,2022,2667890,5105553,776784,224652,439762,1795723,497175,4505171,2417036,932822,1692149,348551,1314279,1.4747624
1597,15972022,M1500,94,2022,2423230,4054301,1861738,346787,432264,1635779,295739,3797199,1856920,447754,1381885,333970,925855,0.378677449
1598,15982022,M3700,23,2022,4063960,11964599,3691829,-94683,626766,7122411,1096332,12200791,11742081,1648518,13123756,2441738,5037256,0.775980902
1599,15992022,M1500,94,2022,2017340,3105864,1289521,274863,105167,3379807,155223,3085826,3610997,210567,3225614,489996,2615824,0.741991578
1603,16032022,M1600,16,2022,5907012,9232002,3286848,329512,105973,3466625,1186800,8743442,2564399,1094741,2244267,145990,3018531,0.90183679
1604,16042022,M1600,16,2022,8432273,13991744,5503815,715799,421350,8935666,841962,13033851,8904901,1127073,7670020,892564,7478805,0.820471522
1605,16052022,M1600,16,2022,129821212,252524853,65656466,19140076,13904807,180400719,21892332,183034898,156664766,13731142,112546603,7847591,163054414,0.848589773
1608,16082022,M1600,16,2022,8081493,13520161,3203094,89748,-161454,10749897,1634188,13666035,10484814,1490607,7440063,188515,10220776,0.559173878
1609,16092022,M1600,16,2022,12423380,39325648,12603867,1064522,-295066,26749017,3969158,34316540,27457879,4399914,18300805,1328946,24572112,0.480678653
1611,16112022,M1600,16,2022,4207190,5377875,787021,77314,195626,1570469,269046,5694130,1778424,323425,2074046,348208,1133042,0.718237513
1612,16122022,M1600,16,2022,7106379,8209066,1333899,354129,491169,6385945,888013,8740782,6307283,527406,4567162,244575,5618483,0.89395027
1614,16142022,M1600,16,2022,5560176,6832257,1863369,294886,-40270,6143333,327430,6901569,5797322,352070,5488349,815479,4976849,0.540442586
1615,16152022,M1600,16,2022,2560653,3743418,1190758,431560,128861,4432803,806564,3547914,4524568,650167,3165977,175056,3782199,0.506899834
1616,16162022,M1600,16,2022,1655070,3232467,771504,18454,-15107,3717472,584923,3126997,3208797,564716,2682733,181460,3422227,0.808032351
1617,16172022,M1600,16,2022,2128046,3297915,1145042,40659,338011,3581378,695546,3615245,4619634,912075,2984283,294480,3329477,0.82315097
1618,16182022,M1600,16,2022,4300470,4831518,1309001,248077,-99039,2864412,487110,4583435,2803841,339246,2822947,98654,2542078,1.142161925
1626,16262022,M1600,16,2022,3214905,8824855,2787713,473197,946982,9220863,1762172,9949720,10156591,2488529,9207346,1687691,7777614,1.30087675
1701,17012022,M1722,126,2022,7429577,12822563,4115976,479298,167272,8456512,2265496,12786876,7948998,2052572,8181056,2708683,5368631,0.980515012
1702,17022022,M1200,29,2022,12379973,30463782,11954365,691717,1427614,20478405,2196341,29413868,19861770,2100972,17621763,4452218,15133045,0.879617787
1707,17072022,M1722,126,2022,11141073,15053038,7360082,2169687,2990437,10391231,269647,14060879,9798246,300696,9168195,5929212,1909186,0.447666084
1708,17082022,M1721,41,2022,7131288,13836576,9472908,1204422,1732791,8025189,808220,12126036,4795266,682212,4034992,1099600,5177065,0.7997621
1709,17092022,M1721,41,2022,8549684,13270332,3765307,1081323,1127623,10571226,1084149,11587688,9199154,1162917,8481829,920630,8622732,0.786453033
1710,17102022,M1721,41,2022,14294735,34907804,14736488,-790025,-1045600,22081099,1126551,33776171,27481719,1337439,18763159,1102714,22136114,0.735281211
1711,17112022,M1721,41,2022,8806697,13132503,4541097,392540,853174,8891702,1534805,14136270,9200988,1842446,7769066,1614415,6896531,0.73751794
1712,17122022,M1721,41,2022,8654676,16549289,5548342,1655325,2225304,23042876,3360028,16012080,18645875,2347742,17484401,4460635,16547510,0.577341145
1713,17132022,M1721,41,2022,2585299,2750190,327468,285908,110737,571458,80565,2582254,624599,145571,475644,70149,508241,0.532378914
1714,17142022,M1721,41,2022,16023976,23044418,5256670,642566,262506,22644215,3432950,24009123,20211458,3027464,25849191,1264787,20582745,1.79895361
1717,17172022,M1721,41,2022,25071340,59455276,17472950,2619481,6581357,49014100,17132279,60535689,50471397,20071472,38370366,6885940,38851315,0.65876732
1718,17182022,M1721,41,2022,74962794,835701961,27015984,2796826,1421290,33475057,14582855,801138255,32294374,14224936,27277647,8731954,20690305,5.408318842
1720,17202022,M1722,126,2022,7435601,10968259,3658581,1153620,1227834,5851368,1262980,10095039,4604082,1158249,4305400,1369192,3363755,0.603310689
1721,17212022,M1721,41,2022,2398046,4184256,1556541,61330,294144,3008554,568517,4091352,2850638,770014,2752601,223186,2752806,0.842790363
1722,17222022,M1721,41,2022,53060996,80752474,13488766,2669649,5578896,15052251,1032242,79343199,13659406,1934703,10169742,1780562,13760212,0.932068746
1723,17232022,M1721,41,2022,8075552,11208338,3811156,1702879,2629469,10526620,647652,11732869,7986319,693897,5363774,579468,8160784,0.30607764
1725,17252022,M1721,41,2022,4179663,7061641,864006,253824,457446,9210806,1061465,7032885,10670339,1282316,7073550,240798,8783976,1.076658191
1726,17262022,M1721,41,2022,9573199,11417491,3324419,814474,580637,9735561,2663674,11237793,8865627,2391950,7987996,1287830,7578255,0.824871873
1727,17272022,M1721,41,2022,1579022,2854781,1465215,46901,338140,2306669,582692,2592677,2012931,676589,1772950,215737,2024723,0.429276289
1730,17302022,M1721,41,2022,1915705,2593708,517748,277566,350007,2784615,540609,2657969,3138791,616696,3058759,944260,1514705,0.535539858
1731,17312022,M1722,126,2022,1996993,2529909,725048,161830,147884,1245105,227827,2692439,1289211,242889,1065325,617398,428548,0.650415028
1732,17322022,M1721,41,2022,482267,654088,181181,5167,27537,587101,92812,669827,619352,109910,620713,226139,364557,0.398681772
1733,17332022,M1722,126,2022,1817893,2514701,641370,181451,26616,2244176,486769,2670467,2131656,474408,2005337,400279,1667337,0.639297856
1734,17342022,M1722,126,2022,3216848,6185191,3119747,164174,425298,2856651,685189,6220931,2433516,592972,2388452,893965,1765351,0.545961927
1735,17352022,M1721,41,2022,1495499,3388842,1373046,35210,340901,2957191,728772,3716818,3201106,957553,2363415,389307,2571177,0.939854973
1736,17362022,M3700,23,2022,9482280,38865944,4494351,224941,392453,33612947,8777860,35262576,30779328,7608704,28366756,14821305,19006576,0.438269121
1737,17372022,M1200,29,2022,6661904,8211666,3674664,427516,580689,3613607,177524,8467640,4095651,195596,3130347,831555,2337002,0.997291018
1742,17422022,M1721,41,2022,1264292,2624601,559334,-123635,-698128,482012,100853,2405413,500464,26242,333591,235885,381296,0.701990257
1752,17522022,M1722,126,2022,2411029,3584545,1600075,351999,369186,1940487,386711,3428891,1780098,350441,1754827,373303,1245585,0.378358333
1760,17602022,M1722,126,2022,2007113,3093539,1496625,182345,489872,2398648,354031,2953095,1901211,333900,1568637,904632,1080052,0.177385531
1762,17622022,M1722,126,2022,3193019,4564144,1960581,466140,733779,2117144,301401,4380761,1934702,379880,1543589,498225,1155387,0.453046912
