"","X","Code","Key","AC","A1","A2","A3","A4","DA","DA_ROA"
"1",1,1101,11012022,-0.00458114271547356,2.26405922422115e-09,0.0137219716571527,0.259778116898128,0.00941188664012137,0.0131695127493048,0.0217313979946156
"2",2,1102,11022022,-0.00855209934492691,3.15401626959552e-09,-0.0105570822553786,0.125516206409536,0.0397315718943074,-0.00358456402831645,-0.00228552070013099
"3",3,1103,11032022,0.00541524771222052,2.48461705255792e-08,0.00154943204014565,0.120464993099846,-0.00432040120801087,0.00885123317983174,0.0201190440190618
"4",4,1104,11042022,0.0466363828854506,3.98456824533401e-08,0.0517395389742972,0.315240630865533,0.0870027288714085,0.0674199512748257,0.0596496040528317
"5",5,1108,11082022,-0.00789036162706688,1.24351661524725e-07,0.082224054336702,0.37597911389493,0.0722757970630625,0.0170369616744568,0.012997727332717
"6",6,1109,11092022,-0.0834123417144171,8.54529583600552e-08,-0.160972608481462,0.235443665350834,0.0442422437554182,-0.0546948245887343,-0.0584222023459866
"7",7,1110,11102022,0.0351108272117534,9.12533649678332e-08,-0.00176776018615686,0.144211707806725,0.009866678833782,0.0413229116755172,0.0491605862141797
"8",8,1201,12012022,-0.0338322746125166,5.56820962126486e-08,0.00284658012258302,0.50636073289666,0.013424006801234,0.0116871800776501,0.0188484087022106
"9",9,1203,12032022,0.0735138460934812,1.04354297868282e-07,0.061607229415306,0.309084907770106,0.0928099993123052,0.0927674997159934,0.0837617679008895
"10",10,1210,12102022,0.0089901789338775,1.76266958423736e-08,0.226194856424393,0.391940351966337,0.050238304114441,0.0244792000077101,0.0292141822347721
"11",11,1213,12132022,-0.0762388988041167,8.90589320765337e-07,-0.0619743296534183,0.586240216876311,-0.0675146858178994,-0.0179268617256137,0.00289715630152781
"12",12,1215,12152022,0.00637066889779869,4.31453438925522e-08,0.193393783411754,0.594946894984923,0.0668827903232932,0.0466190167852277,0.0467172316466038
"13",13,1216,12162022,-0.0705129505287365,1.94537530112221e-09,0.102282374609911,0.244849405871683,0.0516028637714178,-0.0613574691627285,-0.0599098024419088
"14",14,1217,12172022,0.0115070174594165,7.22711811293586e-08,0.0111202220980122,0.17700563729667,0.0207991400307615,0.0203178992054347,0.026108819370783
"15",15,1218,12182022,0.596851689127073,9.40001932643974e-08,0.114892112218183,0.186941944352638,0.556346911849251,0.598564685360932,0.488536763226995
"16",16,1219,12192022,0.0602783875097744,1.09287288412979e-07,0.256998129548059,0.407502244487686,0.0333908730906828,0.074934024984104,0.0838688091615372
"17",17,1220,12202022,0.0531735977567754,3.03795314868654e-07,0.111876574039475,0.361636120047757,0.0217535673164848,0.0739761497491792,0.0812864246389611
"18",18,1225,12252022,0.0381685791721044,1.09779510049655e-07,0.254763772059095,0.360820110025416,0.0381096275752077,0.0478913824331378,0.0557413376933585
"19",19,1227,12272022,-0.0221547208575446,3.53492541660863e-08,-0.216788739424387,0.151393467599227,0.0439782899020614,0.0018167427892679,-0.00305843551716158
"20",20,1229,12292022,0.0167243593642322,1.39527909272368e-08,0.0139197367655301,0.0631244353567127,0.0675205132885753,0.012927383363114,0.00868155875558849
"21",21,1231,12312022,0.0102448671143805,1.08592854872491e-07,0.153729583593096,0.495679687565325,0.0945828562939713,0.0426679512738685,0.0354886798689884
"22",22,1232,12322022,0.134641003681303,1.42785790757704e-07,0.647017961595763,0.1175635375351,0.181023682736827,0.0868691475364973,0.0728712775852198
"23",23,1233,12332022,-0.0651550394981372,4.32998654240183e-07,0.016154746791047,0.38288815298362,0.0223392665695595,-0.0346635265166503,-0.0302693717413669
"24",24,1234,12342022,0.00319868936804503,4.38819827424449e-08,0.0169854868240836,0.26061237482445,0.0388853607774764,0.0207320525142079,0.0227339128243571
"25",25,1235,12352022,0.0498703886416623,2.13791931278722e-07,0.00528130207837826,0.036802784426113,0.0418247568918501,0.0436226785830822,0.0442295574192689
"26",26,1236,12362022,0.0789082353921428,2.89310330461832e-07,0.124732966564984,0.524044292254352,0.122712712527369,0.116488593198455,0.101804848518908
"27",27,1240,12402022,0.034706585579421,4.69001575376292e-07,0.199139944911075,0.198694862416043,-0.00888992486125761,0.0306137910443049,0.0464052563794071
"28",28,1256,12562022,0.0307091735531019,2.07401925851323e-07,-0.0843358451089233,0.395237554017832,0.0963780157277028,0.0707338827656256,0.0569645860961929
"29",29,1259,12592022,-0.172145548312508,1.89157420967192e-07,0.134171250266239,0.101981386153147,0.0223113069605013,-0.181363322888353,-0.173184568528884
"30",30,1264,12642022,0.0280579472140762,2.34604105571848e-07,0.111211730205279,0.354338768328446,0.171533607038123,0.0482007825200498,0.0226171716684399
"31",31,1268,12682022,-0.101645855763498,2.14471691881389e-07,0.185425790649892,0.226648107716263,0.0278924724725583,-0.101283804407047,-0.0931817338722705
"32",32,1301,13012022,-0.0379980649682056,1.83932089241451e-09,-0.0583107431926522,0.197387609961454,0.0664783322241799,-0.0214107394424303,-0.0272275948864114
"33",33,1303,13032022,-0.0550499027968469,1.49544922985307e-09,-0.101737993747724,0.316985919804148,0.0575519433896617,-0.0219619294585724,-0.0269233488393226
"34",34,1304,13042022,-0.115661082984843,1.1788947703556e-08,-0.0798118950788842,0.300855171445311,-0.000721353921032889,-0.08607467285221,-0.0776421717597928
"35",35,1305,13052022,-0.0679866618086321,5.89090688449669e-08,-0.188815642007232,0.497634653613202,-0.0198945940031157,-0.00835866842516634,0.00139128278346597
"36",36,1307,13072022,-0.0752365127088204,6.78420666538807e-08,0.168334484726275,0.331523284380986,0.0318935053229225,-0.061872331583878,-0.0546589566233676
"37",37,1308,13082022,-0.114620477248362,5.26910754912415e-08,-0.00521404537523581,0.17722527321113,0.0762634292426828,-0.10447698628364,-0.111286497072145
"38",38,1309,13092022,-0.064293524810792,9.3069496202718e-08,-0.327004514522052,0.182493739447664,0.0383518918562236,-0.0283267508280839,-0.0348878481401117
"39",39,1310,13102022,-0.0347608770226224,1.07536247780721e-07,0.128730029174584,0.3926008609352,-0.0357157989029152,-0.0116498443004526,0.00937470108212627
"40",40,1312,13122022,-0.0533285858544825,2.0444471394801e-08,-0.101045879867591,0.384806576593914,-0.00928972246814082,-0.0128978978000952,-0.00315371769471228
"41",41,1313,13132022,-0.0355097920763141,1.85970933040719e-08,-0.195719771112927,0.300078866553284,-0.022990173072733,0.00309516639297717,0.0135450127875275
"42",42,1314,13142022,0.0696426705715879,7.39419042894512e-09,-0.0905422167235736,0.201048777182061,0.00151874453153404,0.0891575012434413,0.0968736017865114
"43",43,1315,13152022,0.0144997257486716,7.84023237194313e-08,0.0237018064836213,0.154454772992344,0.0557616142850288,0.0198463807588422,0.0182134285080077
"44",44,1316,13162022,0.0597825297311577,9.43471882179231e-08,0.120722699461749,0.156900034436724,0.00529155639839044,0.0577495964630784,0.0696303204783428
"45",45,1319,13192022,-0.103184214484363,2.90246627784067e-08,0.0907716432992009,0.528016984536066,0.0591151111740366,-0.0621740096989886,-0.0628462956163794
"46",46,1321,13212022,-0.00762662591120634,7.70405163008873e-08,-0.00850142097380291,0.260263356841733,-0.00328631730384695,0.0118307363181887,0.0224141589953647
"47",47,1323,13232022,-0.0721221698864978,1.7456232424847e-07,-0.0403317522059877,0.414065848050828,0.0508168382119721,-0.0334556036497708,-0.0359683965604677
"48",48,1324,13242022,-0.0613130995982536,8.0301096993286e-07,-0.109166932329463,0.273112863994835,0.00385686168858753,-0.0334433994638996,-0.0291916943256417
