代號,名稱,年/月,Year,Key,BVE,LNAT,NIS,Industry,Price,RPA,LN_RPA_Count,RPA_Count,Finance,KY
1101,台泥,22-Dec,2022,11012022,33.3,20,0.6,M1100,35.91,0,0,0,0,0
1101,台泥,21-Dec,2021,11012021,36.84,20,3.2,M1100,43.67,0,0,0,0,0
1101,台泥,20-Dec,2020,11012020,37.66,20,4.85,M1100,38.26,0,0,0,0,0
1101,台泥,19-Dec,2019,11012019,38.14,20,4.8,M1100,29.1,0,0,0,0,0
1101,台泥,18-Dec,2018,11012018,38.64,20,4.45,M1100,26.26,0,0,0,0,0
1101,台泥,17-Dec,2017,11012017,35.95,19,2.59,M1100,20.44,0,0,0,0,0
1102,亞泥,22-Dec,2022,11022022,51.96,20,3.11,M1100,41.08,0,0,0,0,0
1102,亞泥,21-Dec,2021,11022021,50.84,20,5.07,M1100,42.58,0,0,0,0,0
1102,亞泥,20-Dec,2020,11022020,50.54,20,5.61,M1100,39.08,0,0,0,0,0
1102,亞泥,19-Dec,2019,11022019,50.41,20,6.22,M1100,30.12,0,0,0,0,0
1102,亞泥,18-Dec,2018,11022018,47.32,19,4.74,M1100,28.82,0,0,0,0,0
1102,亞泥,17-Dec,2017,11022017,43.37,19,1.96,M1100,19.98,0,0,0,0,0
1103,嘉泥,22-Dec,2022,11032022,28.39,17,0.19,M1100,18.31,1,0.693147181,1,0,0
1103,嘉泥,21-Dec,2021,11032021,33.44,18,0.45,M1100,19.51,0,0,0,0,0
1103,嘉泥,20-Dec,2020,11032020,32.29,18,1.81,M1100,18.19,0,0,0,0,0
1103,嘉泥,19-Dec,2019,11032019,30.56,17,-0.15,M1100,12.47,0,0,0,0,0
1103,嘉泥,18-Dec,2018,11032018,27,17,-0.07,M1100,11.75,0,0,0,0,0
1103,嘉泥,17-Dec,2017,11032017,24.86,17,-0.4,M1100,8.71,0,0,0,0,0
1104,環泥,22-Dec,2022,11042022,32.93,17,2.58,M1100,24.49,0,0,0,0,0
1104,環泥,21-Dec,2021,11042021,29.66,17,1.71,M1100,18.85,0,0,0,0,0
1104,環泥,20-Dec,2020,11042020,28.74,17,2.07,M1100,19.23,0,0,0,0,0
1104,環泥,19-Dec,2019,11042019,27.7,17,1.75,M1100,12.55,0,0,0,0,0
1104,環泥,18-Dec,2018,11042018,27.28,17,1.6,M1100,14.86,0,0,0,0,0
1104,環泥,17-Dec,2017,11042017,26.25,17,2.08,M1100,15.91,0,0,0,0,0
1108,幸福,22-Dec,2022,11082022,12.12,16,1.5,M1100,13.46,0,0,0,0,0
1108,幸福,21-Dec,2021,11082021,11.48,16,0.61,M1100,10.61,0,0,0,0,0
1108,幸福,20-Dec,2020,11082020,11.51,16,0.93,M1100,10.88,0,0,0,0,0
1108,幸福,19-Dec,2019,11082019,10.68,16,0.1,M1100,5.31,0,0,0,0,0
1108,幸福,18-Dec,2018,11082018,10.44,16,-0.49,M1100,6.3,0,0,0,0,0
1108,幸福,17-Dec,2017,11082017,10.94,16,-0.25,M1100,6.54,0,0,0,0,0
1109,信大,22-Dec,2022,11092022,28.33,16,1.52,M1100,16.29,0,0,0,0,0
1109,信大,21-Dec,2021,11092021,28.81,16,3.43,M1100,18.76,0,0,0,0,0
1109,信大,20-Dec,2020,11092020,27.9,16,4.17,M1100,19.14,0,0,0,0,0
1109,信大,19-Dec,2019,11092019,25.24,16,4.21,M1100,12.48,0,0,0,0,0
1109,信大,18-Dec,2018,11092018,22.49,16,3.57,M1100,10.69,0,0,0,0,0
1109,信大,17-Dec,2017,11092017,18.88,16,1.97,M1100,10.69,0,0,0,0,0
1110,東泥,22-Dec,2022,11102022,15.26,16,0.07,M1100,17.46,0,0,0,0,0
1110,東泥,21-Dec,2021,11102021,15.23,16,0.2,M1100,21.06,0,0,0,0,0
1110,東泥,20-Dec,2020,11102020,14.95,16,0.02,M1100,15.86,0,0,0,0,0
1110,東泥,19-Dec,2019,11102019,14.98,16,0.02,M1100,15.67,0,0,0,0,0
1110,東泥,18-Dec,2018,11102018,14.88,16,0.1,M1100,15.91,0,0,0,0,0
1110,東泥,17-Dec,2017,11102017,15,16,-0.19,M1100,13.45,0,0,0,0,0
1201,味全,22-Dec,2022,12012022,14.29,17,0.9,M1200,19.76,0,0,0,0,0
1201,味全,21-Dec,2021,12012021,13.94,17,1.14,M1200,20.67,0,0,0,0,0
1201,味全,20-Dec,2020,12012020,13.55,17,1.34,M1200,20.24,0,0,0,0,0
1201,味全,19-Dec,2019,12012019,13.72,17,0.35,M1200,17.62,0,0,0,0,0
1201,味全,18-Dec,2018,12012018,12.25,17,0.21,M1200,20.86,0,0,0,0,0
1201,味全,17-Dec,2017,12012017,15.43,17,0.88,M1200,21.03,0,0,0,0,0
1203,味王,22-Dec,2022,12032022,27.4,16,3.25,M1200,37.73,0,0,0,0,0
1203,味王,21-Dec,2021,12032021,26.05,16,2.91,M1200,31.54,0,0,0,0,0
1203,味王,20-Dec,2020,12032020,26.3,16,2.89,M1200,34.78,0,0,0,0,0
1203,味王,19-Dec,2019,12032019,25.9,16,2.96,M1200,23.12,0,0,0,0,0
1203,味王,18-Dec,2018,12032018,24.5,16,2.91,M1200,21.84,0,0,0,0,0
1203,味王,17-Dec,2017,12032017,23.37,16,3.1,M1200,21.26,0,0,0,0,0
1210,大成,22-Dec,2022,12102022,32.29,18,1.28,M1200,49.64,0,0,0,0,0
1210,大成,21-Dec,2021,12102021,32.55,18,2.71,M1200,48.68,0,0,0,0,0
