代號,名稱,年/月,Year,Key,Equity,TA,NI,BVE,NB,LNAT,NIS,Industry,Price3m,RPA,LN_RPA_Count,RPA_Count,Finance,KY,Price
1110,東泥,20-Dec,2020,11102020,8548719,9865320,12863,14.95,0.00150467,16,0.02,M1100,15.86,0,0,0,0,0,15.27
1110,東泥,19-Dec,2019,11102019,8570984,9740348,10103,14.98,0.001178744,16,0.02,M1100,15.67,0,0,0,0,0,15.96
1110,東泥,18-Dec,2018,11102018,8512138,9247751,58718,14.88,0.006898149,16,0.1,M1100,15.91,0,0,0,0,0,16.25
1110,東泥,17-Dec,2017,11102017,8579809,9365291,-108408,15,-0.012635246,16,-0.19,M1100,13.45,0,0,0,0,0,13.69
1201,味全,22-Dec,2022,12012022,7232656,17608226,455999,14.29,0.06304724,17,0.9,M1200,19.76,0,0,0,0,0,20.05
1201,味全,21-Dec,2021,12012021,7052053,17959094,576643,13.94,0.081769522,17,1.14,M1200,20.67,0,0,0,0,0,19.46
1201,味全,20-Dec,2020,12012020,6855788,18031521,678202,13.55,0.098924004,17,1.34,M1200,20.24,0,0,0,0,0,20.1
1201,味全,19-Dec,2019,12012019,6943795,19096943,176864,13.72,0.025470798,17,0.35,M1200,17.62,0,0,0,0,0,20.31
1201,味全,18-Dec,2018,12012018,6200442,21242697,104659,12.25,0.016879281,17,0.21,M1200,20.86,0,0,0,0,0,28.21
1201,味全,17-Dec,2017,12012017,7807916,32862642,444045,15.43,0.056871129,17,0.88,M1200,21.03,0,0,0,0,0,20.73
1203,味王,22-Dec,2022,12032022,6575579,10000966,779655,27.4,0.118568266,16,3.25,M1200,37.73,0,0,0,0,0,44.64
1203,味王,21-Dec,2021,12032021,6251420,9582739,699389,26.05,0.111876822,16,2.91,M1200,31.54,0,0,0,0,0,31.63
1203,味王,20-Dec,2020,12032020,6312382,9331602,692673,26.3,0.109732427,16,2.89,M1200,34.78,0,0,0,0,0,31.46
1203,味王,19-Dec,2019,12032019,6215574,9425026,711057,25.9,0.114399249,16,2.96,M1200,23.12,0,0,0,0,0,25.99
1203,味王,18-Dec,2018,12032018,5879648,9025005,697733,24.5,0.118669179,16,2.91,M1200,21.84,0,0,0,0,0,22.52
1203,味王,17-Dec,2017,12032017,5609073,9192281,743410,23.37,0.132537052,16,3.1,M1200,21.26,0,0,0,0,0,20.78
1210,大成,22-Dec,2022,12102022,28896226,62341521,1147885,32.29,0.039724392,18,1.28,M1200,49.64,0,0,0,0,0,51.78
1210,大成,21-Dec,2021,12102021,27739609,56732130,2306606,32.55,0.083152073,18,2.71,M1200,48.68,0,0,0,0,0,43.99
1210,大成,20-Dec,2020,12102020,27886752,51693036,4117566,33.71,0.147653122,18,4.98,M1200,45.4,0,0,0,0,0,49.97
1210,大成,19-Dec,2019,12102019,24324519,47300737,3182623,29.4,0.130840121,18,3.85,M1200,29.34,0,0,0,0,0,33.87
1210,大成,18-Dec,2018,12102018,22222633,42526281,2133268,28.2,0.095995286,18,2.71,M1200,25.68,0,0,0,0,0,29.06
1210,大成,17-Dec,2017,12102017,21722937,40747852,2728953,29.5,0.125625416,18,3.71,M1200,22.35,0,0,0,0,0,26.36
1213,大飲,22-Dec,2022,12132022,365894,1058384,-75809,6.46,-0.207188421,14,-1.34,M1200,7,0,0,0,0,0,6.45
1213,大飲,21-Dec,2021,12132021,441715,1122852,-92898,7.8,-0.210312079,14,-1.64,M1200,7.9,0,0,0,0,0,7.53
1213,大飲,20-Dec,2020,12132020,536146,1255281,-27252,9.47,-0.050829438,14,-0.48,M1200,9.68,0,0,0,0,0,8.88
1213,大飲,19-Dec,2019,12132019,563407,1266002,-43093,9.95,-0.076486448,14,-0.76,M1200,5.85,0,0,0,0,0,6
6689,伊雲谷,20-Dec,2020,66892020,1619896,3454826,164967,32.91,0.101838019,15,3.35,M2331,#N/A,1,0.693147181,1,0,0,#N/A
1213,大飲,17-Dec,2017,12132017,696026,864866,1989,12.29,0.002857652,14,0.04,M1200,15.1,0,0,0,0,0,14.7
1215,卜蜂,22-Dec,2022,12152022,9487764,26393745,1544863,32.18,0.162826879,17,5.24,M1200,80.21,0,0,0,0,0,90.73
1215,卜蜂,21-Dec,2021,12152021,8593007,23177472,1315857,32.06,0.153131145,17,4.91,M1200,68.67,0,0,0,0,0,68.33
1215,卜蜂,20-Dec,2020,12152020,8733486,19546349,1557466,32.59,0.178332684,17,5.81,M1200,61.32,0,0,0,0,0,68.08
1215,卜蜂,19-Dec,2019,12152019,8626994,18650361,1035296,32.19,0.120006575,17,3.86,M1200,44.69,0,0,0,0,0,54.59
1215,卜蜂,18-Dec,2018,12152018,7256685,15790164,997471,27.08,0.137455463,17,3.72,M1200,37.47,0,0,0,0,0,50.06
1215,卜蜂,17-Dec,2017,12152017,6957514,13886122,1475578,25.96,0.212084086,16,5.51,M1200,44.92,0,0,0,0,0,41.28
1216,統一,22-Dec,2022,12162022,192194954,551399914,26297163,33.83,0.13682546,20,4.63,M1200,68.93,0,0,0,0,0,73.15
1216,統一,21-Dec,2021,12162021,180993745,514039630,27718528,31.85,0.153146331,20,4.88,M1200,60.41,0,0,0,0,0,61.7
1216,統一,20-Dec,2020,12162020,180598593,495338492,28898990,31.78,0.160017803,20,5.09,M1200,64.66,0,0,0,0,0,64.84
1216,統一,19-Dec,2019,12162019,174005305,477455273,28120518,30.62,0.161607245,20,4.95,M1200,56.05,0,0,0,0,0,60.92
1216,統一,18-Dec,2018,12162018,170300834,407150086,26497612,29.97,0.155592967,20,4.66,M1200,61.94,0,0,0,0,0,68.48
1216,統一,17-Dec,2017,12162017,191300194,414655454,14788021,33.67,0.077302697,20,2.6,M1200,53.15,0,0,0,0,0,59.62
1217,愛之味,22-Dec,2022,12172022,7517472,13755189,130615,15.2,0.017374857,16,0.26,M1200,11.21,0,0,0,0,0,12.8
1217,愛之味,21-Dec,2021,12172021,7397369,13836774,210361,14.96,0.028437273,16,0.43,M1200,10.8,0,0,0,0,0,9.82
1217,愛之味,20-Dec,2020,12172020,6858474,13340859,223646,13.87,0.032608712,16,0.45,M1200,8.49,0,0,0,0,0,10.94
1217,愛之味,19-Dec,2019,12172019,6439266,12895986,23601,13.02,0.003665169,16,0.05,M1200,6.43,0,0,0,0,0,7.16
1217,愛之味,18-Dec,2018,12172018,6271960,12584818,-35217,12.68,-0.005614991,16,-0.07,M1200,6.8,0,0,0,0,0,6.7
1217,愛之味,17-Dec,2017,12172017,6123799,12242288,-44018,12.38,-0.007188022,16,-0.09,M1200,6.98,0,0,0,0,0,7.36
1218,泰山,22-Dec,2022,12182022,12567859,16654604,-285606,25.14,-0.022725112,17,-0.57,M1200,28.31,0,0,0,0,0,27.53
1218,泰山,21-Dec,2021,12182021,6991127,10638276,581097,13.98,0.083119217,16,1.16,M1200,26.5,0,0,0,0,0,29.88
