"Key","Year","Fin","Industry","Trade","RPA_Ctd","Adopt","Big4","LGTA","INST","MS","BM.x","LEV","OCF","MTB","Age_","Age","ESG","RD","ADV","Equity","Asset","PPE","NI_Ctd","OCF.y","S","AR","Asset_1","S_1","AR_1","S_2","EXP","PROD_origin","PROD","BM.y","DA","DA1","DA2","ABCFO","ABPROD","ABEXP","AC","A1","A21","A2","A3","A4","A5","A6","ROA","Median_ROA","ADJROA","CFO","R1","R2","R3","R4","R5","ABSDA","ABSDA1","ABSDA2","RM","RM1","RM2","RPA","ADJROA_sq","distance","weights","subclass"
"12012019","2019","0","M1200","TSE",0,"0","1",16.76503883,0.5479,0.027866962,0.675588707,0.636392327,0.07479904,1.480190521,69,4.234106505,63.04,0.011642012,0.217668682,6943795,19096943,9780396,1350879,1428433,20228119,2664153,21242697,19436763,2886335,17749330,0.262564589,14105933,0.663805213,0.675588707,0.004177672,0.006336872,0.015100015,0.018676828,-0.051912514,-0.111718296,-0.003650855,4.71e-08,0.037253085,0.047712303,0.46041216,0.063592631,0.675588707,0.067243486,0.063592631,0.062567601,0.001025031,0.067243486,4.71e-08,0.952238739,0.037253085,0.079435912,0.914985654,0.004177672,0.006336872,0.015100015,-0.144953982,-0.093041468,-0.16363081,0,1.050688550961e-06,0.0259403574504064,1,"134"
"12162020","2020","0","M1200","TSE",0,"0","1",20.02075191,0.7131,0.244432376889998,0.490195117,0.635403677,0.124602644,2.040004001,56,4.025351691,74.4421,0.002018421,0.227097549,180598593,495338492,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,17539588,477455273,333795247.01,18045472,319302641.14,0.260226187,258967339.939998,0.617030362,0.490195117,-0.042292362,-0.041593184,-0.043268607,-0.008121101,-0.08335331,-0.12160012,-0.064759618,2.09e-09,-0.001377561,-0.000318019,0.265945828,0.064510053,0.490195117,0.129269671,0.064510053,0.057104441,0.007405612,0.129269671,2.09e-09,0.936883525,-0.001377561,0.034625616,0.938261086,0.042292362,0.041593184,0.043268607,-0.213074531,-0.129721221,-0.20495343,0,5.4843089094544e-05,0.348543847329476,1,"77"
"12162021","2021","0","M1200","TSE",0,"0","1",20.05781092,0.7093,0.244432376889998,0.516268974,0.647899239,0.10962759,1.936974814,56,4.025351691,74.4421,0.001969482,0.222019424,180993745,514039630,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,20668592,495338492,333795247.01,17539588,319302641.14,0.257831481,258967339.939998,0.656243472,0.516268974,-0.082972814,-0.084468455,-0.076833464,-0.047638699,-0.07324955,-0.122769943,-0.055631717,2.02e-09,0.052856159,0.046539258,0.247473447,0.058134781,0.516268974,0.113766499,0.058134781,0.058282943,-0.000148161,0.113766499,2.02e-09,0.955915352,0.052856159,-0.001327827,0.903059193,0.082972814,0.084468455,0.076833464,-0.243658192,-0.170408642,-0.196019493,0,2.1951681921e-08,0.450801576021695,1,"125"
"12162022","2022","0","M1200","TSE",0,"0","1",20.1279709,0.6991,0.244432376889998,0.462407932,0.651441814,0.113841817,2.162592661,56,4.025351691,70.54,0.001750729,0.218909469,192194954,551399914,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,21915791,514039630,333795247.01,20668592,319302641.14,0.269693916,258967339.939998,0.707157147,0.462407932,-0.090335631,-0.092075604,-0.06445664,-0.055469303,-0.117394096,-0.137401199,-0.070512951,1.95e-09,0.099856104,0.097429834,0.244849406,0.051602864,0.462407932,0.122115814,0.051602864,0.050238304,0.00136456,0.122115814,1.95e-09,1.020994556,0.099856104,0.050933213,0.921138452,0.090335631,0.092075604,0.06445664,-0.310264598,-0.192870502,-0.254795295,0,1.8620239936e-06,0.497768366697648,1,"119"
"12272018","2018","0","M1200","TSE",0,"0","1",16.99346672,0.8117,0.039419983,0.354329608,0.331587843,0.109979366,2.822230989,37,3.610917913,61.68,0.006137176,0.146668577,16040325,23997656,5478238,2968307,2639247,27340587,6166606,22709488,26477924,5086398,27073564,0.224774288,19086242,0.824652982,0.354329608,0.014893533,0.017489173,0.003940824,-0.029785212,-0.13519535,-0.065224348,0.014489979,4.4e-08,0.037986898,-0.009579476,0.241231242,0.130707791,0.354329608,0.116217812,0.130707791,0.059232717,0.071475073,0.116217812,4.4e-08,1.203927935,0.037986898,-0.026228685,1.165941038,0.014893533,0.017489173,0.003940824,-0.23020491,-0.09500956,-0.200419698,0,0.00510868606035533,0.0109369708185841,1,"214"
"13012019","2019","0","M1300","TSE",0,"0","1",20.02427755,0.8124,0.192543116,0.765830916,0.29760254,0.093706611,1.30577126,69,4.234106505,53.05,0.005996683,0.029211723,247021877.119998,497087959,85635983,26092307.3299995,46580428,207848572,13538935,501513267,230370027,16150069,206709755,0.023763248,175734622,0.345449202,0.765830916,-0.015517211,-0.012261932,-0.018415028,-0.051922407,-0.020657668,0.017470063,-0.018456672,1.99e-09,-0.044906997,-0.039700487,0.17075517,0.07442308,0.765830916,0.092879752,0.07442308,0.040700657,0.033722423,0.092879752,1.99e-09,0.414442819,-0.044906997,0.047177759,0.459349816,0.015517211,0.012261932,0.018415028,-0.055110012,-0.034452344,-0.003187605,0,0.00113720181299093,0.0668303947100578,1,"16"
"13032021","2021","0","M1300","TSE",1,"1","1",20.32083919,0.7936,0.244432376889998,0.747615367,0.358839946,0.117955514,1.337586203,65,4.17438727,61,0,0.031422189,247021877.119998,668695386,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,62127981,584712347,273353806,52051383,286303059,0.039070952,258967339.939998,0.554520497,0.747615367,-0.025528686,-0.025767021,-0.042213582,-0.109021823,-0.063418551,0.007990111,0.010187089,1.71e-09,0.236554924,0.219321497,0.316031868,0.145084716,0.747615367,0.134897627,0.145084716,0.067987185,0.077097532,0.134897627,1.71e-09,0.704056265,0.236554924,-0.022146365,0.46750134,0.025528686,0.025767021,0.042213582,-0.164450263,-0.101031712,-0.05542844,1,0.00594402944049102,0.272160361203066,1,"14"
"13032022","2022","0","M1300","TSE",1,"1","1",20.31577291,0.7987,0.244432376889998,0.685412154,0.407647888,0.113173766,1.458976171,65,4.17438727,59.09,0,0.03420203,247021877.119998,665316156,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,50583345,668695386,333795247.01,62127981,273353806,0.032718277,258967339.939998,0.443692921,0.685412154,0.007942355,0.007628954,0.027556965,-0.036684935,-0.032582086,0.012189435,-0.055049903,1.5e-09,-0.084473577,-0.06720916,0.31698592,0.057551943,0.685412154,0.112601846,0.057551943,0.003856862,0.053695082,0.112601846,1.5e-09,0.531158592,-0.084473577,0.206845431,0.615632169,0.007942355,0.007628954,0.027556965,-0.057077586,-0.0244955,-0.020392651,1,0.00288316183098672,0.31819056450282,1,"15"
"13042020","2020","0","M1300","TSE",1,"1","1",18.16352162,0.4781,0.053575971,1.288083249,0.369881048,0.139874409,0.776347337,58,4.060443011,70.05,0.007230115,0.040249019,48723643,77324516,23169313,5682637,10815721,50201273,7481916,71425786,55656741,7045512,60892513,0.050308022,39721391,0.547394928,1.288083249,-0.049609831,-0.04960235,-0.050088712,-0.044345038,0.02500789,0.000233306,-0.071865978,1.4e-08,-0.07637953,-0.082489425,0.324383032,0.079560021,1.288083249,0.151425999,0.079560021,0.04030715,0.03925287,0.151425999,1.4e-08,0.70284523,-0.07637953,-0.073303667,0.779224761,0.049609831,0.04960235,0.050088712,-0.019103842,-0.044111732,0.025241196,1,0.0015407878032369,0.066853509662048,1,"16"
"13042021","2021","0","M1300","TSE",1,"1","1",18.25610338,0.5808,0.052271948,2.140333331,0.344004465,0.105312662,0.467216945,58,4.060443011,71.39,0.005990199,0.044084706,55644961,84825213,24471011,10079451,8933169,71755542,9391222,77324516,50201273,7481916,55656741,0.062991445,54001841,0.741103326,2.140333331,-0.024027624,-0.024194647,-0.035880481,-0.077997758,-0.078596391,-0.00671796,0.014824302,1.29e-08,0.278750778,0.254058661,0.31647157,0.130352591,2.140333331,0.115528289,0.130352591,0.067987185,0.062365406,0.115528289,1.29e-08,0.927979194,0.278750778,-0.070552889,0.649228415,0.024027624,0.024194647,0.035880481,-0.163312109,-0.084715718,-0.085314351,1,0.00388944386554484,0.0854145845774879,1,"17"
