"Key","Year","Fin","Industry","Trade","RPA_Ctd","Adopt","Big4","LGTA","INST","MS","BM.x","LEV","OCF","MTB","Age_","Age","ESG","RD","ADV","Equity","Asset","PPE","NI_Ctd","OCF.y","S","AR","Asset_1","S_1","AR_1","S_2","EXP","PROD_origin","PROD","BM.y","DA","DA1","DA2","ABCFO","ABPROD","ABEXP","AC","A1","A21","A2","A3","A4","A5","A6","ROA","Median_ROA","ADJROA","CFO","R1","R2","R3","R4","R5","ABSDA","ABSDA1","ABSDA2","RM","RM1","RM2","RPA","ADJROA_sq","distance","weights","subclass"
"12012020","2020","0","M1200","TSE",0,"0","1",16.70763195,0.5439,0.025463321,0.673995096,0.619788702,0.103907984,1.483690321,69,4.234106505,74.35,0.012287898,0.205154601,6855788,18031521,9426888,536142,1873619,18650871,2513451,19096943,20228119,2664153,19436763,0.253925982,13206608,0.688321162,0.673995096,-0.012310597,-0.010597663,-0.012760324,0.036533036,-0.004745124,-0.108269568,-0.070036183,5.24e-08,-0.082591648,-0.074700228,0.493633353,0.028074755,0.673995096,0.098110938,0.028074755,0.057104441,-0.029029686,0.098110938,5.24e-08,0.976641706,-0.082591648,0.041438884,1.059233355,0.012310597,0.010597663,0.012760324,-0.076481656,-0.071736532,-0.113014692,0,0.000842722669258596,0.0580755475842366,1,"152"
"12032022","2022","0","M1200","TSE",0,"0","0",16.11819225,0.7755,0.007276213,0.613759987,0.342505614,0.018489214,1.62930139,64,4.158883083,60.84,0.001242335,0.103569352,6575579,10000966,2961880,889374,184910,6385557,493355,9582739,5824838,463708,6043700,0.103521864,4560378,0.54240296,0.613759987,0.064471824,0.063384304,0.052631415,0.039661229,0.049276053,0.017424343,0.073513846,1.04e-07,0.058513438,0.055419646,0.309084908,0.092809999,0.613759987,0.019296153,0.092809999,0.050238304,0.042571695,0.019296153,1.04e-07,0.666360317,0.058513438,-0.02283919,0.60784688,0.064471824,0.063384304,0.052631415,0.106361625,0.057085572,0.066700396,0,0.00181234921517303,0.0486113382250045,1,"315"
"12162019","2019","0","M1200","TSE",0,"0","1",19.98398104,0.7123,0.244432376889998,0.502689968,0.635556847,0.123302211,1.989297706,56,4.025351691,73.73,0.002038552,0.22800264,174005305,477455273,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,18045472,407150086,333795247.01,17785761,319302641.14,0.305379931,258967339.939998,0.727565645,0.502689968,-0.074943983,-0.074658989,-0.069745829,-0.048003925,-0.121813026,-0.146654859,-0.074635222,2.46e-09,0.040604641,0.039966765,0.320244466,0.069958364,0.502689968,0.144593586,0.069958364,0.062567601,0.007390764,0.144593586,2.46e-09,1.100276577,0.040604641,0.077574752,1.059671936,0.074943983,0.074658989,0.069745829,-0.31647181,-0.194658784,-0.268467885,0,5.4623392503696e-05,0.245580553817457,1,"325"
"12162020","2020","0","M1200","TSE",0,"0","1",20.02075191,0.7131,0.244432376889998,0.490195117,0.635403677,0.124602644,2.040004001,56,4.025351691,74.4421,0.002018421,0.227097549,180598593,495338492,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,17539588,477455273,333795247.01,18045472,319302641.14,0.260226187,258967339.939998,0.617030362,0.490195117,-0.042292362,-0.041593184,-0.043268607,-0.008121101,-0.08335331,-0.12160012,-0.064759618,2.09e-09,-0.001377561,-0.000318019,0.265945828,0.064510053,0.490195117,0.129269671,0.064510053,0.057104441,0.007405612,0.129269671,2.09e-09,0.936883525,-0.001377561,0.034625616,0.938261086,0.042292362,0.041593184,0.043268607,-0.213074531,-0.129721221,-0.20495343,0,5.4843089094544e-05,0.347656848450515,1,"77"
"12162021","2021","0","M1200","TSE",0,"0","1",20.05781092,0.7093,0.244432376889998,0.516268974,0.647899239,0.10962759,1.936974814,56,4.025351691,74.4421,0.001969482,0.222019424,180993745,514039630,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,20668592,495338492,333795247.01,17539588,319302641.14,0.257831481,258967339.939998,0.656243472,0.516268974,-0.082972814,-0.084468455,-0.076833464,-0.047638699,-0.07324955,-0.122769943,-0.055631717,2.02e-09,0.052856159,0.046539258,0.247473447,0.058134781,0.516268974,0.113766499,0.058134781,0.058282943,-0.000148161,0.113766499,2.02e-09,0.955915352,0.052856159,-0.001327827,0.903059193,0.082972814,0.084468455,0.076833464,-0.243658192,-0.170408642,-0.196019493,0,2.1951681921e-08,0.446487321850833,1,"125"
"12162022","2022","0","M1200","TSE",0,"0","1",20.1279709,0.6991,0.244432376889998,0.462407932,0.651441814,0.113841817,2.162592661,56,4.025351691,70.54,0.001750729,0.218909469,192194954,551399914,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,21915791,514039630,333795247.01,20668592,319302641.14,0.269693916,258967339.939998,0.707157147,0.462407932,-0.090335631,-0.092075604,-0.06445664,-0.055469303,-0.117394096,-0.137401199,-0.070512951,1.95e-09,0.099856104,0.097429834,0.244849406,0.051602864,0.462407932,0.122115814,0.051602864,0.050238304,0.00136456,0.122115814,1.95e-09,1.020994556,0.099856104,0.050933213,0.921138452,0.090335631,0.092075604,0.06445664,-0.310264598,-0.192870502,-0.254795295,0,1.8620239936e-06,0.491949560720021,1,"113"
"12272020","2020","0","M1200","TSE",0,"0","1",17.14140456,0.8154,0.047055445,0.411523273,0.352511632,0.087341398,2.429996225,37,3.610917913,61.67,0.004817322,0.122788779,18015627,27823862,4201645,3255830,2430175,34466244,6310663,25488265,31266232,6445302,27340587,0.218346561,24856790,1.03319916,0.411523273,0.013401187,0.008033656,0.007646745,0.049050022,0.030614998,-0.064123587,0.032393535,3.92e-08,0.125548444,0.130830835,0.164846254,0.127738393,0.411523273,0.095344858,0.127738393,0.057104441,0.070633952,0.095344858,3.92e-08,1.352239707,0.125548444,0.154017741,1.226691264,0.013401187,0.008033656,0.007646745,0.015541433,-0.015073565,-0.033508589,0,0.0049891551751383,0.0408668241917797,1,"176"
"12352022","2022","0","M1200","TSE",0,"0","0",15.09791748,0.8842,7.18e-05,0.175143262,0.529164091,-0.010438223,5.709611598,51,3.931825633,42.92,6.35e-05,0.015215721,1697508,3605307,172143,195633,-37633,63027,6232,4677445,41090,3466,78579,0.00736110322,38090,0.007961184,0.175143262,0.035652755,0.034746967,0.060283437,0.054908332,0.0352736,0.090158955,0.049870389,2.14e-07,0.004689954,0.004098605,0.036802784,0.041824757,0.175143262,-0.008045632,0.041824757,0.050238304,-0.008413547,-0.008045632,2.14e-07,0.013474664,0.004689954,-0.008014846,0.01123599126,0.035652755,0.034746967,0.060283437,0.180340887,0.145067287,0.125432555,0,7.0787773121209e-05,0.0270084605421858,1,"305"
"12592021","2021","0","M2700","OTC",0,"0","1",15.48068625,0.7493,0.055436466,0.982289904,0.604416977,0.141791646,1.018029398,33,3.496507561,62.53,0,0.161130845,2091290,5286602,440015,88945,749596,5034182,114261,4663025,5342094,88470,5484492,0.267129814,3796202,0.815387222,0.982289904,-0.079429425,-0.080106658,-0.091191831,-0.004589364,0.153650671,0.061790959,-0.141678631,2.14e-07,-0.066032672,-0.071563631,0.094362565,0.019074528,0.982289904,0.160753159,0.019074528,0.00188306,0.032868939,0.160753159,2.14e-07,1.079595756,-0.066032672,-0.030537687,1.145628428,0.079429425,0.080106658,0.091191831,0.210852266,0.057201595,0.21544163,0,0.00108036715098572,0.0804052830911095,1,"268"
"13032019","2019","0","M1300","TSE",0,"1","1",20.13389955,0.7871,0.244432376889998,0.847363987,0.358960938,0.094287657,1.180130399,65,4.17438727,59.24,0,0.033745871,247021877.119998,554678679,95511754.8199994,23209523,51950719.6799996,286303059,44063533,570249344,333061560,48246064,306139952,0.032006774,258172796,0.439631731,0.847363987,-0.023020342,-0.021586132,-0.021809064,-0.042463182,-0.006852074,0.012776163,-0.051012474,1.75e-09,-0.081996589,-0.074662024,0.273731773,0.040700657,0.847363987,0.091713131,0.040700657,0.040700657,0,0.091713131,1.75e-09,0.502066442,-0.081996589,0.047210239,0.584063031,0.023020342,0.021586132,0.021809064,-0.036539093,-0.029687019,0.005924089,0,0,0.120490121149786,1,"24"
"13032021","2021","0","M1300","TSE",1,"1","1",20.32083919,0.7936,0.244432376889998,0.747615367,0.358839946,0.117955514,1.337586203,65,4.17438727,61,0,0.031422189,247021877.119998,668695386,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,62127981,584712347,273353806,52051383,286303059,0.039070952,258967339.939998,0.554520497,0.747615367,-0.025528686,-0.025767021,-0.042213582,-0.109021823,-0.063418551,0.007990111,0.010187089,1.71e-09,0.236554924,0.219321497,0.316031868,0.145084716,0.747615367,0.134897627,0.145084716,0.067987185,0.077097532,0.134897627,1.71e-09,0.704056265,0.236554924,-0.022146365,0.46750134,0.025528686,0.025767021,0.042213582,-0.164450263,-0.101031712,-0.05542844,1,0.00594402944049102,0.274290750601513,1,"14"
"13032022","2022","0","M1300","TSE",1,"1","1",20.31577291,0.7987,0.244432376889998,0.685412154,0.407647888,0.113173766,1.458976171,65,4.17438727,59.09,0,0.03420203,247021877.119998,665316156,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,50583345,668695386,333795247.01,62127981,273353806,0.032718277,258967339.939998,0.443692921,0.685412154,0.007942355,0.007628954,0.027556965,-0.036684935,-0.032582086,0.012189435,-0.055049903,1.5e-09,-0.084473577,-0.06720916,0.31698592,0.057551943,0.685412154,0.112601846,0.057551943,0.003856862,0.053695082,0.112601846,1.5e-09,0.531158592,-0.084473577,0.206845431,0.615632169,0.007942355,0.007628954,0.027556965,-0.057077586,-0.0244955,-0.020392651,1,0.00288316183098672,0.321163502814955,1,"15"
"13042020","2020","0","M1300","TSE",1,"1","1",18.16352162,0.4781,0.053575971,1.288083249,0.369881048,0.139874409,0.776347337,58,4.060443011,70.05,0.007230115,0.040249019,48723643,77324516,23169313,5682637,10815721,50201273,7481916,71425786,55656741,7045512,60892513,0.050308022,39721391,0.547394928,1.288083249,-0.049609831,-0.04960235,-0.050088712,-0.044345038,0.02500789,0.000233306,-0.071865978,1.4e-08,-0.07637953,-0.082489425,0.324383032,0.079560021,1.288083249,0.151425999,0.079560021,0.04030715,0.03925287,0.151425999,1.4e-08,0.70284523,-0.07637953,-0.073303667,0.779224761,0.049609831,0.04960235,0.050088712,-0.019103842,-0.044111732,0.025241196,1,0.0015407878032369,0.0664356415184351,1,"16"
"13042021","2021","0","M1300","TSE",1,"1","1",18.25610338,0.5808,0.052271948,2.140333331,0.344004465,0.105312662,0.467216945,58,4.060443011,71.39,0.005990199,0.044084706,55644961,84825213,24471011,10079451,8933169,71755542,9391222,77324516,50201273,7481916,55656741,0.062991445,54001841,0.741103326,2.140333331,-0.024027624,-0.024194647,-0.035880481,-0.077997758,-0.078596391,-0.00671796,0.014824302,1.29e-08,0.278750778,0.254058661,0.31647157,0.130352591,2.140333331,0.115528289,0.130352591,0.067987185,0.062365406,0.115528289,1.29e-08,0.927979194,0.278750778,-0.070552889,0.649228415,0.024027624,0.024194647,0.035880481,-0.163312109,-0.084715718,-0.085314351,1,0.00388944386554484,0.0862209803189193,1,"17"
"13042022","2022","0","M1300","TSE",1,"1","1",18.16890067,0.531,0.05207862,1.913287873,0.344946524,0.125412789,0.522660502,58,4.060443011,70.78,0.006577543,0.051270433,50924885,77741569,25520104,-61189,9749787,66437122,7939581,84825213,71755542,9391222,50201273,0.061351511,55496976,0.649533141,1.913287873,-0.058671902,-0.058977137,-0.06884136,-0.031156462,-0.052852198,-0.005946265,-0.115661083,1.18e-08,-0.062698575,-0.045585255,0.300855171,-0.000721354,1.913287873,0.114939729,-0.000721354,0.003856862,-0.004578216,0.114939729,1.18e-08,0.783223757,-0.062698575,0.25410215,0.845922332,0.058671902,0.058977137,0.06884136,-0.089954925,-0.037102727,-0.058798463,1,2.0960061742656e-05,0.110091195816007,1,"18"
"13132019","2019","0","M1300","TSE",1,"1","1",17.6256558,0.6653,0.058096768,1.727091421,0.544440123,0.097166957,0.579008145,47,3.850147602,66.23,0,0.024085967,20571716,45156997,16362557,-140376,4387768,62714942,3732262,45769849,61258498,4061444,50600125,0.05276928,60653888,1.285302165,1.727091421,-0.071847859,-0.069556487,-0.062012062,0.057508561,0.122251304,0.014258282,-0.098932902,2.18e-08,0.031821036,0.03901315,0.357496416,-0.003066997,1.727091421,0.095865905,-0.003066997,0.040700657,-0.043767654,0.095865905,2.18e-08,1.370223922,0.031821036,0.23286887,1.338402886,0.071847859,0.069556487,0.062012062,0.194018147,0.071766843,0.136509586,1,0.00191560753666372,0.0385324887737743,1,"26"
