"","Code","KEY","YEAR","Industry","IndustryY","Cash","CA","PPE","STD","CL","CFO","A","S","NI_Ctd","Cycle","A_1","S_1","CFO_pre","CFO_post","Cash_1","CA_1","CL_1","STD_1","AvgA","deltaWC","deltaS","AQ"
"20",2739,27392013,2013,"M2700","2013M2700",297797,872213,0.380880947987753,29000,1496866,0.276573136663145,3372435,4354902,347167,27.35,3884452,3962057,0.168064626057978,0.17038931431618,201079,1133749,1092377,0,3628443.5,-0.202219767236282,0.108268187171717,-0.112733725487008
"21",2740,27402013,2013,"M2700","2013M2700",88373,160286,0.507782411186864,308,119819,0.438727455032642,289291,622479,58314,32.54,118616,238511,0.14049280840976,0.502109549480641,23504,62083,73007,0,203953.5,-0.0645735424986578,1.88262520623574,0.0572121976548492
"22",2743,27432013,2013,"M2700","2013M2700",343275,794911,0.0746269534518535,0,667413,0.0987380389586295,1047482,4670272,53209,21.64,822861,3147855,-0.0387362104170198,-0.0641401069215647,220581,584315,593523,60000,935171.5,-0.0491760067538414,1.62795487244853,-0.0950424669533459
"23",3252,32522013,2013,"M2700","2013M2700",3818,428152,0.00780782075705092,144414,562105,0.0418039625256762,2851731,315272,10179,668.69,2621243,234095,-0.00516720890689413,-0.10844049323092,9763,563828,667059,269178,2736487,-0.0546470712267224,0.0296646759147769,-0.0885361979704715
"24",3522,35222013,2013,"M2700","2013M2700",284208,1775961,0.176086078816314,389241,1036907,0.0338545270616994,2348693,2699005,34870,176.71,2550445,2689030,0.00702082692914549,0.0253166985702383,405512,1838647,1321642,485948,2449569,0.100689549875917,0.0040721449365174,0.0692913003054932
"25",4530,45302013,2013,"M2700","2013M2700",10513,133225,0.268472625466611,76361,153332,0.0152460942900595,496285,143205,-134783,153.43,660995,393495,-0.0505944974422784,-0.0960579980644269,52058,214129,178163,31943,578640,0.0516556062491359,-0.432548734964745,0.0247658700038648
"26",4804,48042013,2013,"M2700","2013M2700",80966,100887,0.7926223409186,0,89642,0.347647882630884,275474,215707,14846,13.97,123677,87066,0.10486758144161,0.843129542453858,9910,21971,88334,39052,199575.5,-0.162845639870625,0.644573106418373,-0.0460692377975363
"27",5301,53012013,2013,"M2700","2013M2700",78720,519518,0.0236632423640227,0,196059,-0.234650324366939,565689,841134,50699,251.12,598733,479785,-0.208068895984446,-0.289843372935242,21529,532842,479487,36881,582211,0.302350865923179,0.620649558321639,0.121962651976701
"28",5364,53642013,2013,"M2700","2013M2700",68683,170413,0.123818715993339,60000,133039,0.0347093325413913,197545,59023,24987,84.83,179587,8266,-0.351129047654402,-0.082273580603078,5438,149107,129516,0,188566,0.0770976740239492,0.269173658029549,0.0265049059672871
"29",5701,57012013,2013,"M2700","2013M2700",183809,343166,0.702311932185982,0,790288,-0.0116967714218524,4587206,1532483,-353361,46.43,5040066,1595695,-0.0017375638706375,-0.0111566391808604,210172,422948,780693,0,4813636,-0.0130907280899511,-0.0131318612375344,-0.0458232114418118
"30",5703,57032013,2013,"M2700","2013M2700",275262,595734,0.426645373886478,107000,395358,0.0868335040111953,1556264,979118,28892,20.48,1582202,993047,0.0867997295494041,0.0851619867795286,228876,542863,390555,109904,1569233,-0.000778724383185926,-0.00887631091112665,0.00387971292148949
"31",5704,57042013,2013,"M2700","2013M2700",45452,191399,0.595301490319982,0,76165,0.137365061264061,558515,312220,41871,15.46,588487,284499,0.122508940699319,0.162226395420409,47015,209408,68274,0,573501,-0.0424358457962584,0.0483364457952122,-0.00916724846590156
"32",5706,57062013,2013,"M2700","2013M2700",302745,1334053,0.195403778337181,0,516462,0.101069060086153,1790942,3162241,187706,30.59,1806143,3088243,0.170478595863039,0.0602615729125111,301934,1375908,548648,0,1798542.5,-0.00582694042537221,0.041143314656173,-0.00128779265111135
"33",5905,59052013,2013,"M2700","2013M2700",759182,1535921,0.213791967668546,20000,1647516,0.0645719089465157,5317593,1572728,122766,87.52,5253908,1349858,0.035619539741802,0.10093533548358,897403,1358710,596816,0,5285750.5,-0.135320045847794,0.0421643057121217,-0.151765293964808
"34",8077,80772013,2013,"M2700","2013M2700",16862,57607,0,0,64554,-0.279702770916121,92472,311433,-51277,39.82,503432,363796,0.0154051659327677,-0.0427753463645151,14065,96912,191013,27197,297952,0.191842981419826,-0.175743072709698,0.0149588297085184
"35",8940,89402013,2013,"M2700","2013M2700",253644,501069,0.72150106923705,148346,623708,0.0482237958682039,1744012,1296755,-42904,61.91,1451257,1405754,0.162968438651018,0.041538286760833,323051,525125,302588,0,1597634.5,-0.0797572911701644,-0.0682252417558584,-0.0777508294202815
"36",9943,99432013,2013,"M2700","2013M2700",428827,1395949,0.163481502546622,0,507425,0.150834491187191,3991519,3278270,396115,8.54,4138465,3429622,0.157016791176957,0.167585569664098,1045253,1449672,504785,0,4064992,0.137777146916894,-0.0372330376049941,0.1646874528233
"37",1259,12592014,2014,"M2700","2014M2700",1407086,1851128,0.174946427581568,0,795639,0.149696143053761,2440181,4252752,45089,9.53,2412596,4304908,0.100509048736425,0.162790089056225,1141410,1664628,765960,0,2426388.5,-0.0448629722734014,-0.0214953211326216,-0.0326331634925464
"38",2701,27012014,2014,"M2700","2014M2700",86195,963092,0.0526841514454079,0,98986,0.0208773294906572,7348052,372171,280347,0.02,6819852,359409,0.0167448904227471,0.0208478261851577,63926,807944,87303,0,7083952,0.0171085292503394,0.00180153676930617,-0.0156530744287442
"39",2702,27022014,2014,"M2700","2014M2700",540537,800857,0.657162367802514,115000,860716,0.0726095988963536,2525089,704273,62846,11.57,2398227,646667,0.0629510679387632,0.0899113524299476,406341,630413,345146,90000,2461658,-0.184559349836574,0.0234013010743166,-0.131775231514683
"40",2704,27042014,2014,"M2700","2014M2700",398873,3452424,0.533971617386141,60000,923948,0.0605002051284091,12033959,3479525,410339,27.92,12107017,3214810,0.0559310443786531,0.0591896533097916,372979,3516280,831133,0,12070488,-0.0101541047884725,0.0219307620371272,0.0239320171019972
