代號,名稱,Year,Industry,Key,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,Asset,NI,Price,MVE,BVE,Earnings,NetDiv,ADV,RD,ROA,S,SG,BM
1109,信大,2019,M1100,11092019,0,0,0,0,0,341958,8630122,11191294,1439626,14.12,4828446.96,8630122,1439626,376153,0.023127244,0,2.01,7822895,16.74,1.609526415
1109,信大,2018,M1100,11092018,0,0,0,0,0,341958,7690087,10172476,1222069,14.32,4896838.56,7690087,1222069,273566,0.024853569,0,6.35,6701130,24.65,2.179108162
1109,信大,2017,M1100,11092017,0,0,0,0,0,359956,6795076,8576925,708939,11.67,4200686.52,6795076,708939,35995,0.027890891,0,6.13,5375877,23.69,1.908748065
1110,東泥,2022,M1100,11102022,0,0,0,0,0,572001,8726668,11989689,41631,19.15,10953819.15,8726668,41631,57200,0.015751262,0,0.02,1794015,-2.86,0.819795052
1110,東泥,2021,M1100,11102021,0,0,0,0,0,572001,8710709,10958500,115778,19.48,11142579.48,8710709,115778,114400,0.018989216,0,1.22,1846785,16.08,0.764098626
1110,東泥,2020,M1100,11102020,0,0,0,0,0,572001,8548719,9865320,12863,15.27,8734455.27,8548719,12863,57200,0.009473999,0,-0.11,1590986,0.38,0.852554866
1110,東泥,2019,M1100,11102019,0,0,0,0,0,572001,8570984,9740348,10103,15.96,9129135.96,8570984,10103,57200,0.010183351,0,0.15,1584940,-5.44,0.882462401
1110,東泥,2018,M1100,11102018,0,0,0,0,0,572001,8512138,9247751,58718,16.25,9295016.25,8512138,58718,57200,0.01251531,0,0.03,1676187,-2.36,0.907398422
1110,東泥,2017,M1100,11102017,0,0,0,0,0,572001,8579809,9365291,-108408,13.69,7830693.69,8579809,-108408,57200,0.015198124,0,-1.64,1716725,16.11,1.058549037
1201,味全,2022,M1200,12012022,0,0,0,0,0,506063,7232656,17608226,455999,20.05,10146563.15,7232656,455999,120442,0.20565391,0.010531206,-1.39,19972832,0.78,0.759405267
1201,味全,2021,M1200,12012021,0,0,0,0,0,506063,7052053,17959094,576643,19.46,9847985.98,7052053,576643,253537,0.20287254,0.011383115,-0.32,19817862,6.26,0.649959358
1201,味全,2020,M1200,12012020,0,0,0,0,0,506063,6855788,18031521,678202,20.1,10171866.3,6855788,678202,268213,0.205154601,0.012287898,-4.25,18650871,-7.8,0.646958043
1201,味全,2019,M1200,12012019,0,0,0,0,0,506063,6943795,19096943,176864,20.31,10278139.53,6943795,176864,675037,0.217668682,0.011642012,2.2,20228119,4.07,0.620307715
1201,味全,2018,M1200,12012018,0,0,0,0,0,506063,6200442,21242697,104659,28.21,14276037.23,6200442,104659,404850,0.225401524,0.012653496,-0.54,19436763,9.51,0.640141717
1201,味全,2017,M1200,12012017,0,0,0,0,0,506063,7807916,32862642,444045,20.73,10490685.99,7807916,444045,0,0.232328488,0.01382824,5.42,17749330,3.95,0.848199179
1203,味王,2022,M1200,12032022,0,0,0,0,0,240000,6575579,10000966,779655,44.64,10713600,6575579,779655,264000,0.103569352,0.001242335,2.05,6385557,9.63,0.806305057
1203,味王,2021,M1200,12032021,0,0,0,0,0,240000,6251420,9582739,699389,31.63,7591200,6251420,699389,264000,0.119302717,0.001677128,-0.16,5824838,-3.62,0.85011695
1203,味王,2020,M1200,12032020,0,0,0,0,0,240000,6312382,9331602,692673,31.46,7550400,6312382,692673,264000,0.12104307,0.0014051,-0.26,6043700,-4.42,0.789126663
1203,味王,2019,M1200,12032019,0,0,0,0,0,240000,6215574,9425026,711057,25.99,6237600,6215574,711057,240000,0.111740079,0.001401023,0.35,6323237,3.98,1.084969627
1203,味王,2018,M1200,12032018,0,0,0,0,0,240000,5879648,9025005,697733,22.52,5404800,5879648,697733,240000,0.111022621,0.001688365,-0.54,6081031,-1.84,1.109032745
1203,味王,2017,M1200,12032017,0,0,0,0,0,240000,5609073,9192281,743410,20.78,4987200,5609073,743410,312000,0.103683659,0.001266955,1.31,6195171,-2.39,1.147331247
1210,大成,2022,M1200,12102022,0,0,0,0,0,894767,28896226,62341521,1147885,51.78,46331035.26,28896226,1147885,1342150,0.049476984,0.001341488,1.59,113297286,11.69,0.729823581
1210,大成,2021,M1200,12102021,0,0,0,0,0,852159,27739609,56732130,2306606,43.99,37486474.41,27739609,2306606,1704317,0.055679733,0.001363298,-3.43,101437842,24.23,0.677464134
1210,大成,2020,M1200,12102020,0,0,0,0,0,827339,27886752,51693036,4117566,49.97,41342129.83,27886752,4117566,2482016,0.066879208,0.00207138,2,81650892,4.99,0.797977283
1210,大成,2019,M1200,12102019,0,0,0,0,0,827339,24324519,47300737,3182623,33.87,28021971.93,24324519,3182623,1820145,0.069888993,0.002134808,2.42,77769986,7.35,0.848266285
1210,大成,2018,M1200,12102018,0,0,0,0,0,787942,22222633,42526281,2133268,29.06,22897594.52,22222633,2133268,1575882,0.077246527,0.000605884,-0.44,72442933,-4.59,1.157299417
1210,大成,2017,M1200,12102017,0,0,0,0,0,736394,21722937,40747852,2728953,26.36,19411345.84,21722937,2728953,1988264,0.064926132,0.001808089,0.11,75931014,0.18,1.35877791
1213,大飲,2022,M1200,12132022,0,0,0,0,0,56623,365894,1058384,-75809,6.45,365218.35,365894,-75809,0,0.060505601,0,1.64,393947,-8.04,0.906301884
1213,大飲,2021,M1200,12132021,0,0,0,0,0,56623,441715,1122852,-92898,7.53,426371.19,441715,-92898,0,0.059175037,0,-5.53,428407,4.59,0.926482415
1213,大飲,2020,M1200,12132020,0,0,0,0,0,56623,536146,1255281,-27252,8.88,502812.24,536146,-27252,0,0.049429704,0,1.37,409612,-5.92,1.224928391
1213,大飲,2019,M1200,12132019,0,0,0,0,0,56623,563407,1266002,-43093,6,339738,563407,-43093,0,0.054553849,0,3.83,435368,-26.74,1.589479862
6689,伊雲谷,2020,M2331,66892020,1,0.693147181,1,0,0,49224,1619896,3454826,164967,#N/A,#N/A,1619896,164967,112678,0.032590977,0.005822822,0.57,7025288,3.86,#N/A
1213,大飲,2017,M1200,12132017,0,0,0,0,0,56623,696026,864866,1989,14.7,832358.1,696026,1989,0,0.066002383,0,-1.68,649522,-3.31,0.787966927
1215,卜蜂,2022,M1200,12152022,0,0,0,0,0,294790,9487764,26393745,1544863,90.73,26746296.7,9487764,1544863,1031765,0.039754006,0,1.77,28959220,16.58,0.425894179
1215,卜蜂,2021,M1200,12152021,0,0,0,0,0,267991,8593007,23177472,1315857,68.33,18311825.03,8593007,1315857,1071963,0.042958986,0,-1.36,24841345,11.95,0.470983193
1215,卜蜂,2020,M1200,12152020,0,0,0,0,0,267991,8733486,19546349,1557466,68.08,18244827.28,8733486,1557466,1205959,0.044994386,0,-0.72,22189635,4.8,0.562359426
1215,卜蜂,2019,M1200,12152019,0,0,0,0,0,267991,8626994,18650361,1035296,54.59,14629628.69,8626994,1035296,1071963,0.047355404,0,5.91,21173634,-0.29,0.643183959
1215,卜蜂,2018,M1200,12152018,0,0,0,0,0,267991,7256685,15790164,997471,50.06,13415629.46,7256685,997471,803972,0.047312782,0,-2.91,21235086,6.9,0.703509799
1215,卜蜂,2017,M1200,12152017,0,0,0,0,0,267991,6957514,13886122,1475578,41.28,11062668.48,6957514,1475578,803972,0.051360634,0,2.3,19865000,9.31,0.588835223
1216,統一,2022,M1200,12162022,0,0,0,0,0,5682015,192194954,551399914,26297163,73.15,415639397.3,192194954,26297163,17898348,0.218909469,0.001750729,-0.19,524831664,10.84,0.529759439
1216,統一,2021,M1200,12162021,0,0,0,0,0,5682015,180993745,514039630,27718528,61.7,350580325.5,180993745,27718528,15341441,0.222019424,0.001969482,-0.38,473501669,5.85,0.504255116
1216,統一,2020,M1200,12162020,0,0,0,0,0,5682015,180598593,495338492,28898990,64.84,368421852.6,180598593,28898990,15341441,0.227097549,0.002018421,0.58,447319979,-0.15,0.531598116
1216,統一,2019,M1200,12162019,0,0,0,0,0,5682015,174005305,477455273,28120518,60.92,346148353.8,174005305,28120518,14205038,0.22800264,0.002038552,3.05,447977703,3.83,0.483026386
1216,統一,2018,M1200,12162018,0,0,0,0,0,5682015,170300834,407150086,26497612,68.48,389104387.2,170300834,26497612,14205038,0.224449636,0.002197038,-8.03,431445520,7.9,0.518545131
1216,統一,2017,M1200,12162017,0,0,0,0,0,5682015,191300194,414655454,14788021,59.62,338761734.3,191300194,14788021,31251084,0.220106353,0.002434624,9.22,399860953,-3.27,0.662227929
1217,愛之味,2022,M1200,12172022,0,0,0,0,0,494513,7517472,13755189,130615,12.8,6329766.4,7517472,130615,197805,0.187408931,0.010113475,0.46,4800625,1.91,1.470190349
1217,愛之味,2021,M1200,12172021,0,0,0,0,0,494513,7397369,13836774,210361,9.82,4856117.66,7397369,210361,148354,0.194153958,0.011098139,-0.25,4710880,2.09,1.467997737
1217,愛之味,2020,M1200,12172020,0,0,0,0,0,494513,6858474,13340859,223646,10.94,5409972.22,6858474,223646,0,0.205846112,0.009077934,1.33,4614486,3.27,1.481746584
1217,愛之味,2019,M1200,12172019,0,0,0,0,0,494513,6439266,12895986,23601,7.16,3540713.08,6439266,23601,0,0.20923035,0.009500837,0.03,4468238,3.39,1.949315743
