代號,名稱,Year,Industry,Key,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,TA,NI,Price,MBV,EARNBV
1201,味全,2018,M1200,12012018,0,0,0,0,0,506063,6200442,21242697,104659,28.21,2.30242251,0.016879281
1201,味全,2017,M1200,12012017,0,0,0,0,0,506063,7807916,32862642,444045,20.73,1.343596164,0.056871129
1203,味王,2022,M1200,12032022,0,0,0,0,0,240000,6575579,10000966,779655,44.64,1.629301389,0.118568266
1203,味王,2021,M1200,12032021,0,0,0,0,0,240000,6251420,9582739,699389,31.63,1.214316107,0.111876822
1203,味王,2020,M1200,12032020,0,0,0,0,0,240000,6312382,9331602,692673,31.46,1.19612533,0.109732427
1203,味王,2019,M1200,12032019,0,0,0,0,0,240000,6215574,9425026,711057,25.99,1.003543679,0.114399249
1203,味王,2018,M1200,12032018,0,0,0,0,0,240000,5879648,9025005,697733,22.52,0.919238703,0.118669179
1203,味王,2017,M1200,12032017,0,0,0,0,0,240000,5609073,9192281,743410,20.78,0.889130878,0.132537052
1210,大成,2022,M1200,12102022,0,0,0,0,0,894767,28896226,62341521,1147885,51.78,1.603359389,0.039724392
1210,大成,2021,M1200,12102021,0,0,0,0,0,852159,27739609,56732130,2306606,43.99,1.351369964,0.083152073
1210,大成,2020,M1200,12102020,0,0,0,0,0,827339,27886752,51693036,4117566,49.97,1.482500717,0.147653122
1210,大成,2019,M1200,12102019,0,0,0,0,0,827339,24324519,47300737,3182623,33.87,1.152005182,0.130840121
1210,大成,2018,M1200,12102018,0,0,0,0,0,787942,22222633,42526281,2133268,29.06,1.030372707,0.095995286
1210,大成,2017,M1200,12102017,0,0,0,0,0,736394,21722937,40747852,2728953,26.36,0.89358754,0.125625416
1213,大飲,2022,M1200,12132022,0,0,0,0,0,56623,365894,1058384,-75809,6.45,0.998153427,-0.207188421
1213,大飲,2021,M1200,12132021,0,0,0,0,0,56623,441715,1122852,-92898,7.53,0.9652631,-0.210312079
1213,大飲,2020,M1200,12132020,0,0,0,0,0,56623,536146,1255281,-27252,8.88,0.937827084,-0.050829438
1213,大飲,2019,M1200,12132019,0,0,0,0,0,56623,563407,1266002,-43093,6,0.603006352,-0.076486448
6689,伊雲谷,2020,M2331,66892020,1,0.693147181,1,0,0,49224,1619896,3454826,164967,#N/A,#N/A,0.101838019
1213,大飲,2017,M1200,12132017,0,0,0,0,0,56623,696026,864866,1989,14.7,1.195872137,0.002857652
1215,卜蜂,2022,M1200,12152022,0,0,0,0,0,294790,9487764,26393745,1544863,90.73,2.819030564,0.162826879
1215,卜蜂,2021,M1200,12152021,0,0,0,0,0,267991,8593007,23177472,1315857,68.33,2.131014793,0.153131145
1215,卜蜂,2020,M1200,12152020,0,0,0,0,0,267991,8733486,19546349,1557466,68.08,2.089065842,0.178332684
1215,卜蜂,2019,M1200,12152019,0,0,0,0,0,267991,8626994,18650361,1035296,54.59,1.695796785,0.120006575
1215,卜蜂,2018,M1200,12152018,0,0,0,0,0,267991,7256685,15790164,997471,50.06,1.848726996,0.137455463
1215,卜蜂,2017,M1200,12152017,0,0,0,0,0,267991,6957514,13886122,1475578,41.28,1.590031796,0.212084086
1216,統一,2022,M1200,12162022,0,0,0,0,0,5682015,192194954,551399914,26297163,73.15,2.162592662,0.13682546
1216,統一,2021,M1200,12162021,0,0,0,0,0,5682015,180993745,514039630,27718528,61.7,1.936974814,0.153146331
1216,統一,2020,M1200,12162020,0,0,0,0,0,5682015,180598593,495338492,28898990,64.84,2.040004003,0.160017803
1216,統一,2019,M1200,12162019,0,0,0,0,0,5682015,174005305,477455273,28120518,60.92,1.989297704,0.161607245
1216,統一,2018,M1200,12162018,0,0,0,0,0,5682015,170300834,407150086,26497612,68.48,2.284806117,0.155592967
1216,統一,2017,M1200,12162017,0,0,0,0,0,5682015,191300194,414655454,14788021,59.62,1.770838425,0.077302697
1217,愛之味,2022,M1200,12172022,0,0,0,0,0,494513,7517472,13755189,130615,12.8,0.842007313,0.017374857
1217,愛之味,2021,M1200,12172021,0,0,0,0,0,494513,7397369,13836774,210361,9.82,0.656465516,0.028437273
1217,愛之味,2020,M1200,12172020,0,0,0,0,0,494513,6858474,13340859,223646,10.94,0.788801156,0.032608712
1217,愛之味,2019,M1200,12172019,0,0,0,0,0,494513,6439266,12895986,23601,7.16,0.549862838,0.003665169
1217,愛之味,2018,M1200,12172018,0,0,0,0,0,494513,6271960,12584818,-35217,6.7,0.528261835,-0.005614991
1217,愛之味,2017,M1200,12172017,0,0,0,0,0,494513,6123799,12242288,-44018,7.36,0.594339507,-0.007188022
1218,泰山,2022,M1200,12182022,0,0,0,0,0,499999,12567859,16654604,-285606,27.53,1.095251981,-0.022725112
1218,泰山,2021,M1200,12182021,0,0,0,0,0,499999,6991127,10638276,581097,29.88,2.136990233,0.083119217
1218,泰山,2020,M1200,12182020,0,0,0,0,0,499999,7031602,9240265,831313,26.6,1.891457082,0.118225264
1218,泰山,2019,M1200,12182019,0,0,0,0,0,499999,6605173,9229347,568667,20.87,1.579819201,0.086094187
1218,泰山,2018,M1200,12182018,0,0,0,0,0,499999,6402709,8807002,458649,17.13,1.337712345,0.071633585
1218,泰山,2017,M1200,12182017,0,0,0,0,0,499999,3821989,7482013,265285,15.29,2.0002634,0.069410195
1219,福壽,2022,M1200,12192022,0,0,0,0,0,322014,4433806,10275495,307401,20.38,1.48013813,0.06933118
1219,福壽,2021,M1200,12192021,0,0,0,0,0,322014,4474177,9150195,295079,18.52,1.332915367,0.065951571
1219,福壽,2020,M1200,12192020,0,0,0,0,0,322014,4443414,8550063,281614,20.58,1.491431615,0.063377844
1219,福壽,2019,M1200,12192019,0,0,0,0,0,322014,3959290,8937571,-1823,17.96,1.460709228,-0.000460436
1219,福壽,2018,M1200,12192018,0,0,0,0,0,322014,3816632,8515527,-94723,15.1,1.274005825,-0.024818479
1219,福壽,2017,M1200,12192017,0,0,0,0,0,322014,3947659,8461787,41066,15.31,1.248850101,0.010402621
1220,台榮,2022,M1200,12202022,0,0,0,0,0,177078,2434031,3202925,72368,14.65,1.065801011,0.02973175
1220,台榮,2021,M1200,12202021,0,0,0,0,0,177078,2593610,3291690,193481,14.64,0.99954192,0.074599111
1220,台榮,2020,M1200,12202020,0,0,0,0,0,177078,2548594,3101296,180606,14.51,1.008164415,0.070864955
1220,台榮,2019,M1200,12202019,0,0,0,0,0,177078,2478489,3149822,153765,9.27,0.662303952,0.062039815
1220,台榮,2018,M1200,12202018,0,0,0,0,0,177078,2420348,3106563,110331,8.89,0.650412015,0.045584767
1220,台榮,2017,M1200,12202017,0,0,0,0,0,177078,2386159,3027503,81361,9.48,0.703515332,0.034097057
1225,福懋油,2022,M1200,12252022,0,0,0,0,0,218703,3852374,9441163,347147,52,2.952090321,0.090112486
1225,福懋油,2021,M1200,12252021,0,0,0,0,0,218703,3872444,9109168,486847,44.73,2.526204431,0.125720863
1225,福懋油,2020,M1200,12252020,0,0,0,0,0,218703,3733141,7693394,417787,39.73,2.327549426,0.111912998
1225,福懋油,2019,M1200,12252019,0,0,0,0,0,218703,3648429,7741017,395480,31.7,1.900238459,0.10839734
1225,福懋油,2018,M1200,12252018,0,0,0,0,0,218703,3601285,6426121,300502,61.56,3.738486868,0.083442993
1225,福懋油,2017,M1200,12252017,0,0,0,0,0,218703,3637558,7017020,320546,68.64,4.126882353,0.088121207
1227,佳格,2022,M1200,12272022,0,0,0,0,0,915090,17853740,27929413,1317280,40.24,2.062493438,0.07378174
1227,佳格,2021,M1200,12272021,0,0,0,0,0,915090,18477217,28289140,2564015,43.13,2.136026854,0.138766298
1227,佳格,2020,M1200,12272020,0,0,0,0,0,915090,18015627,27823862,3257860,47.84,2.429996225,0.180835227
1227,佳格,2019,M1200,12272019,0,0,0,0,0,915090,16950691,25488265,3488852,53.52,2.889299132,0.205823586
1227,佳格,2018,M1200,12272018,0,0,0,0,0,915090,16040325,23997656,2602819,49.47,2.82223099,0.162267223
1227,佳格,2017,M1200,12272017,0,0,0,0,0,915090,15023608,22709488,2278310,48.62,2.961450791,0.151648659
1229,聯華,2022,M1200,12292022,0,0,0,0,0,1480130,53432123,69909548,4840308,62.17,1.722179036,0.090587978
1229,聯華,2021,M1200,12292021,0,0,0,0,0,1409648,56423056,71670249,4744160,49,1.224193741,0.08408194
1229,聯華,2020,M1200,12292020,0,0,0,0,0,1281498,44450094,55988518,3497207,38.61,1.113127855,0.078677156
1229,聯華,2019,M1200,12292019,0,0,0,0,0,1104740,37630191,46544943,2606996,26.45,0.776514076,0.069279372
1229,聯華,2018,M1200,12292018,0,0,0,0,0,1052133,24620602,30389304,2474643,21.18,0.905102846,0.100511068
1229,聯華,2017,M1200,12292017,0,0,0,0,0,956485,25285915,29653231,2735161,18.58,0.702821761,0.10816935
1231,聯華食,2022,M1200,12312022,0,0,0,0,0,224233,5171248,10518025,958044,84.44,3.661443915,0.185263596
1231,聯華食,2021,M1200,12312021,0,0,0,0,0,201762,4568168,9208709,778335,70.09,3.095660794,0.170382306
1231,聯華食,2020,M1200,12312020,0,0,0,0,0,183325,4065573,8822575,610730,45.37,2.045826074,0.150219908
1231,聯華食,2019,M1200,12312019,0,0,0,0,0,174595,3654089,7466043,531956,28.31,1.352672157,0.145578282
1231,聯華食,2018,M1200,12312018,0,0,0,0,0,166281,3437917,7003241,552027,27.59,1.334439659,0.160570194
1231,聯華食,2017,M1200,12312017,0,0,0,0,0,159886,3127240,6483870,380721,20.34,1.039920582,0.121743454
1232,大統益,2022,M1200,12322022,0,0,0,0,0,159975,5271072,7393401,1156882,146.5,4.446218435,0.219477556
1232,大統益,2021,M1200,12322021,0,0,0,0,0,159975,4957653,7003498,1238735,145.52,4.695682009,0.249863191
1232,大統益,2020,M1200,12322020,0,0,0,0,0,159975,4641004,6348688,1320636,147.02,5.067766479,0.284558255
1232,大統益,2019,M1200,12322019,0,0,0,0,0,159975,4131485,5807485,1000370,104.42,4.04324099,0.242133277
1232,大統益,2018,M1200,12322018,0,0,0,0,0,159975,3942280,5470902,894321,106.58,4.3249428,0.22685375
1232,大統益,2017,M1200,12322017,0,0,0,0,0,159975,3825227,5452648,879104,73.77,3.085138673,0.229817472
1233,天仁,2022,M1200,12332022,0,0,0,0,0,90592,1489549,2353960,51623,37.54,2.283123066,0.034656799
1233,天仁,2021,M1200,12332021,0,0,0,0,0,90592,1460261,2309476,17198,32.17,1.995769688,0.011777347
1233,天仁,2020,M1200,12332020,0,0,0,0,0,90592,1504274,2433516,58953,32.69,1.968692193,0.039190334
1233,天仁,2019,M1200,12332019,0,0,0,0,0,90592,1616797,2490105,156301,32.62,1.827756385,0.096673237
1233,天仁,2018,M1200,12332018,0,0,0,0,0,90592,1607108,2169779,174856,33.26,1.874852169,0.108801649
1233,天仁,2017,M1200,12332017,0,0,0,0,0,90592,1501952,2072683,175231,31.46,1.897546872,0.116668842
1234,黑松,2022,M1200,12342022,0,0,0,0,0,401871,18345327,22759247,883293,39.43,0.863749855,0.04814812
1234,黑松,2021,M1200,12342021,0,0,0,0,0,401871,18143912,22788396,795714,31.63,0.700575473,0.043855702
