Key,Year,Trade,Industry,Adopt,Adopt_Ind,RPA_Ctd,Big4,Fin,INST,SG,Cycle,CL,Zscore,INSTt,MS,LGTA,BM.x,LEV,OCF,MTB,Age,ESG,RD,ADV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12152018,2018,TSE,M1200,0,0,0,1,0,0.6703,0.064519918,39.81,0.404329239,2.856469178,0.6133,0.030616999,16.57489777,0.540912748,0.540430042,0.063038104,1.848726997,3.828641396,58.38,0,0.047312782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12152019,2019,TSE,M1200,0,0,0,1,0,0.6133,-0.002902289,39.4,0.345846442,2.90001992,0.5775,0.029169537,16.74137606,0.589693299,0.537435549,0.105108797,1.695796784,3.828641396,61.19,0,0.047355404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12152020,2020,TSE,M1200,0,0,0,1,0,0.5775,0.045787188,42.78,0.298782499,2.863243668,0.6098,0.03029466,16.78829908,0.478682854,0.553190931,0.122357684,2.089065843,3.828641396,63.49,0,0.044994386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12152021,2021,TSE,M1200,0,0,0,1,0,0.6098,0.10674583,38.97,0.302346693,2.468610472,0.6246,0.03104338,16.95869133,0.469259999,0.629251758,0.030170547,2.131014794,3.828641396,66.56,0,0.042958986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12152022,2022,TSE,M1200,0,0,0,1,0,0.6246,0.142195646,40.86,0.336255238,2.428104145,0.5959,0.032998447,17.08863761,0.354731876,0.64052983,0.053138272,2.819030563,3.828641396,61.32,0,0.039754006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12162017,2017,TSE,M1200,0,0,0,1,0,0.6899,-0.033770144,17.15,0.338131725,2.906795092,0.6802,0.608938877,19.8429585,0.564704259,0.538652652,0.112050741,1.770838424,4.025351691,74.08,0.002434624,0.220106353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12162018,2018,TSE,M1200,0,0,0,1,0,0.6802,0.073206385,14.41,0.359984473,2.606337741,0.7123,0.622063278,19.82469244,0.437673898,0.581724676,0.105850104,2.284806118,4.025351691,74.48,0.002197038,0.224449636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12162019,2019,TSE,M1200,0,0,0,1,0,0.7123,0.036904031,13.98,0.319124772,2.227876379,0.7123,0.617149708,19.98398104,0.502689968,0.635556847,0.123302211,1.989297706,4.025351691,73.73,0.002038552,0.22800264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12162020,2020,TSE,M1200,0,0,0,1,0,0.7123,-0.001470366,16.07,0.327734552,2.095785833,0.7131,0.610708858,20.02075191,0.490195117,0.635403677,0.124602644,2.040004001,4.025351691,77.14,0.002018421,0.227097549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12162021,2021,TSE,M1200,0,0,0,1,0,0.7131,0.055293765,16.75,0.342701704,2.078750359,0.7093,0.591718856,20.05781092,0.516268974,0.647899239,0.10962759,1.936974814,4.025351691,76.47,0.001969482,0.222019424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
